,sentiment,occurences,sentimentsSummary,sentimentEdges,score
7 hrs sot,"[0.0, -0.16666666666666666]",2,[-0.125  -0.0833 -0.0417],-0.125,0.7515256404065997
auto mode,"[0.5, 0.05000000000000002]",2,[0.1625 0.275  0.3875],0.3875,0.652466491372641
battery life,"[0.33999999999999997, 0.8125, 0.65, 0.030555555555555558, 0.2]",5,[0.2  0.34 0.65],0.65,1.5384663110304893
few months,"[0.0, 0.07166666666666668]",2,[0.0179 0.0358 0.0538],0.05375000000000001,0.6624028723664792
good light,"[0.5, 0.55]",2,[0.5125 0.525  0.5375],0.5375000000000001,0.6631051704163434
low light shots,"[0.5, 0.2]",2,[0.275 0.35  0.425],0.425,0.915084875319664
mobile data,"[0.0, 0.0, 0.072, 0.0]",4,[0.    0.    0.018],0.018,0.7928737345602788
open camera,"[0.0, 0.014285714285714282, 0.014285714285714282]",3,[0.0071 0.0143 0.0143],0.014285714285714282,0.9775651884348054
other side,"[0.2625, 0.2625]",2,[0.2625 0.2625 0.2625],0.2625,0.8133742885889161
package disabler,"[-0.15000000000000002, 0.030555555555555558, -0.2]",3,[-0.175  -0.15   -0.0597],-0.17500000000000002,0.7123152375920104
previous post,"[0.22916666666666669, -0.16666666666666666]",2,[-0.0677  0.0313  0.1302],0.13020833333333334,0.7213045491165583
rear camera,"[0.6083333333333334, 0.0, -0.4133333333333333, 0.0]",4,[-0.1033  0.      0.1521],0.15208333333333335,0.953997045228146
standby drain,"[-0.05681818181818182, -0.2]",2,[-0.1642 -0.1284 -0.0926],-0.1642045454545455,0.8255932560858495
time,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.6115754562664989
unlocked version,"[0.0, 0.3910714285714286]",2,[0.0978 0.1955 0.2933],0.29330357142857144,0.7928097624857459
