,sentiment,occurences,sentimentsSummary,sentimentEdges,score
02:43 am,"[0.07083333333333333, 0.07083333333333333]",2,[0.0708 0.0708 0.0708],0.07083333333333333,0.6812153226543536
1.5 month,"[-0.0625, -0.0625]",2,[-0.0625 -0.0625 -0.0625],-0.0625,0.6175006968311423
bought sandstone red skin,"[0.25, 0.25]",2,[0.25 0.25 0.25],0.25,1.02341003066995
days trying,"[-0.1, -0.1]",2,[-0.1 -0.1 -0.1],-0.1,0.8062391816312202
detail instructions,"[0.17779411764705885, 0.17779411764705885]",2,[0.1778 0.1778 0.1778],0.17779411764705885,0.7466574675226277
exact place,"[0.25, 0.25]",2,[0.25 0.25 0.25],0.25,0.6422814094648672
extra grip,"[0.375, 0.375]",2,[0.375 0.375 0.375],0.375,0.7445667781296476
extra plus point,"[-0.033333333333333326, -0.033333333333333326]",2,[-0.0333 -0.0333 -0.0333],-0.033333333333333326,0.784353391225743
faulty application,"[0.17779411764705885, 0.17779411764705885]",2,[0.1778 0.1778 0.1778],0.17779411764705885,0.8323713929312684
front skin guard,"[0.17779411764705885, 0.17779411764705885]",2,[0.1778 0.1778 0.1778],0.17779411764705885,0.7027748309733689
good feel,"[0.17779411764705885, 0.17779411764705885]",2,[0.1778 0.1778 0.1778],0.17779411764705885,0.804798734631029
india,"[-0.1, -0.1, 0.0, 0.0]",4,[-0.1  -0.05  0.  ],-0.1,0.7863552416499335
last one week,"[0.07083333333333333, 0.07083333333333333]",2,[0.0708 0.0708 0.0708],0.07083333333333333,0.6799396256650787
little bit,"[0.17779411764705885, 0.17779411764705885]",2,[0.1778 0.1778 0.1778],0.17779411764705885,0.8033763362600671
mit tapatalk,"[-0.30000000000000004, 0.0, -0.30000000000000004, 0.0]",4,[-0.3  -0.15  0.  ],-0.30000000000000004,0.6192554093620048
new kernel changes,"[0.005681818181818177, 0.005681818181818177]",2,[0.0057 0.0057 0.0057],0.005681818181818177,0.9198386098978324
nice texture,"[0.17779411764705885, 0.17779411764705885]",2,[0.1778 0.1778 0.1778],0.17779411764705885,0.8040699681803966
nougat,"[0.8, 0.8]",2,[0.8 0.8 0.8],0.8,0.6008554319557705
other device,"[-0.125, 0.008333333333333331]",2,[-0.0917 -0.0583 -0.025 ],-0.09166666666666667,0.87291400618023
other files,"[-0.125, -0.125]",2,[-0.125 -0.125 -0.125],-0.125,0.8272316905874907
other indian websites,"[-0.0625, -0.0625]",2,[-0.0625 -0.0625 -0.0625],-0.0625,0.9044907731622545
polish forum,"[-0.2, -0.2]",2,[-0.2 -0.2 -0.2],-0.2,0.7479933287311981
previous post,"[0.07083333333333333, 0.07083333333333333, -0.16666666666666666]",3,[-0.0479  0.0708  0.0708],0.07083333333333333,1.1432406619493263
same time,"[0.2, 0.2]",2,[0.2 0.2 0.2],0.2,0.950777476180093
sides making proper positioning,"[0.17779411764705885, 0.17779411764705885]",2,[0.1778 0.1778 0.1778],0.17779411764705885,1.0152683137771368
source code,"[-0.3791666666666667, 0.0, 0.0]",3,[-0.1896  0.      0.    ],-0.18958333333333335,1.1275806638357744
still building,"[-0.30000000000000004, -0.30000000000000004]",2,[-0.3 -0.3 -0.3],-0.30000000000000004,0.8745920969004177
two adhesive protectors,"[0.17779411764705885, 0.17779411764705885]",2,[0.1778 0.1778 0.1778],0.17779411764705885,0.67589122762243
was finding skins,"[-0.0625, -0.0625]",2,[-0.0625 -0.0625 -0.0625],-0.0625,0.8902954106789404
was going,"[0.07083333333333333, 0.07083333333333333]",2,[0.0708 0.0708 0.0708],0.07083333333333333,0.8498599385052816
