,sentiment,occurences,sentimentsSummary,sentimentEdges,score
auto brightness,"[0.0, 0.0, -0.3125]",3,[-0.1562  0.      0.    ],-0.15625,1.1564624871177296
battery life,"[0.6000000000000001, -0.125, 0.125, 1.0, 0.03333333333333333, 0.1, -0.16071428571428573]",7,[-0.0458  0.1     0.3625],0.36250000000000004,1.860101085904112
camera port,"[0.0, 0.16874999999999998, 0.5, -0.033333333333333326, 0.04444444444444445]",5,[0.     0.0444 0.1687],0.16874999999999998,0.8441382926609136
case,"[-0.15555555555555553, 0.0]",2,[-0.1167 -0.0778 -0.0389],-0.11666666666666664,0.6783525904436862
day,"[0.0, 0.06666666666666668]",2,[0.0167 0.0333 0.05  ],0.05000000000000001,0.6036477988584675
lot,"[0.5, 0.0, 0.0, 0.23214285714285715]",4,[0.     0.1161 0.2991],0.29910714285714285,1.362695033780892
portrait mode,"[0.01428571428571429, 0.65]",2,[0.1732 0.3321 0.4911],0.4910714285714286,0.6467577171418235
standby drain,"[0.23214285714285715, 0.0]",2,[0.058  0.1161 0.1741],0.17410714285714285,0.8255932560858495
was using,"[0.0, 0.65]",2,[0.1625 0.325  0.4875],0.48750000000000004,0.9451648335069538
wifi,"[0.0, 0.0, 0.35]",3,[0.    0.    0.175],0.175,0.8464964369003187
