,sentiment,occurences,sentimentsSummary,sentimentEdges,score
app updates,"[0.06507936507936506, 0.06507936507936506]",2,[0.0651 0.0651 0.0651],0.06507936507936506,0.9506492353129318
apps,"[0.0, 0.2375]",2,[0.0594 0.1188 0.1781],0.17812499999999998,0.6103506053928607
auto brightness,"[0.0, -0.3]",2,[-0.225 -0.15  -0.075],-0.22499999999999998,0.7296465920118238
auto mode,"[0.18, 0.5, -0.3888888888888889, 0.3833333333333333, 0.47, -0.25, -0.6]",7,[-0.3194  0.18    0.4267],0.42666666666666664,1.831705016032639
battery capacity,"[-0.05, -0.375]",2,[-0.2938 -0.2125 -0.1312],-0.29375,0.7914373979681542
battery drain,"[0.2, 0.2375, 0.0657142857142857]",3,[0.1329 0.2    0.2188],0.21875,1.407759624340582
battery life,"[0.7, 0.2, 0.44749999999999995, 0.0, 0.4166666666666667, 0.36666666666666664, 0.26749999999999996, 0.0, -0.4318181818181818, 0.5333333333333333, 0.65, -0.4, 0.1333333333333333, 0.0, 0.0, -1.0]",16,[0.     0.1667 0.4244],0.424375,2.6503255021859253
battery time,"[0.8, 0.3625]",2,[0.4719 0.5812 0.6906],0.690625,0.9639336288547082
battery usage,"[0.0, 0.5]",2,[0.125 0.25  0.375],0.375,0.9324721875338766
camera app,"[0.05, 0.0]",2,[0.0125 0.025  0.0375],0.037500000000000006,0.7061292862153775
cm development,"[0.0, -0.4, 0.2]",3,[-0.2  0.   0.1],-0.2,1.0866236246201921
curved glass,"[-0.16666666666666666, -0.8, -0.8]",3,[-0.8    -0.8    -0.4833],-0.8,1.0178354120789959
deep sleep,"[-0.006084656084656091, 0.0, 0.0]",3,[-0.003  0.     0.   ],-0.0030423280423280455,0.9601083422421173
device,"[0.1708333333333333, 0.11875, 0.0, 0.0, 0.0, 0.05000000000000002]",6,[0.     0.025  0.1016],0.1015625,1.2708878608673295
direct sunlight,"[0.1, 0.1, 0.37777777777777777, -0.09583333333333334]",4,[0.051  0.1    0.1694],0.16944444444444445,1.285896191752933
few months,"[0.19999999999999998, -0.2]",2,[-0.1 -0.   0.1],-0.10000000000000003,0.6624028723664792
fingerprint scanner,"[0.4, 0.11666666666666665, 0.625, 0.29]",4,[0.2467 0.345  0.4562],0.45625000000000004,1.5551493707847561
flagship device,"[0.11875, -0.05]",2,[-0.0078  0.0344  0.0766],0.07656249999999999,0.7277623465752667
force gpu rendering,"[-0.03636363636363636, 0.0, 0.0]",3,[-0.0182  0.      0.    ],-0.01818181818181818,0.9959648106409899
front camera,"[0.1, 0.4, 0.0, -0.15]",4,[-0.0375  0.05    0.175 ],0.17500000000000002,1.1520308794720606
front facing camera,"[0.8, 0.9099999999999999]",2,[0.8275 0.855  0.8825],0.8824999999999998,0.7694480093424971
