,sentiment,occurences,sentimentsSummary,sentimentEdges,score
200 gb card,"[0.425, -0.3499999999999999]",2,[-0.1562  0.0375  0.2312],0.23125,0.7539754951038868
app,"[0.0, 0.0, 0.08333333333333333]",3,[0.     0.     0.0417],0.041666666666666664,1.1191884393123699
auto mode,"[-0.6999999999999998, 0.0]",2,[-0.525 -0.35  -0.175],-0.5249999999999999,0.652466491372641
back cover,"[0.0, -0.125, 0.5125]",3,[-0.0625  0.      0.2562],0.25625,1.4571915108052271
battery life,"[-0.5, 0.0, 0.20634920634920637, -0.07777777777777779, 0.11388888888888889]",5,[-0.0778  0.      0.1139],0.11388888888888889,1.5384663110304893
call quality,"[0.0, -0.6]",2,[-0.45 -0.3  -0.15],-0.44999999999999996,0.703932686307918
device,"[0.0, -0.375, 0.0, 0.0]",4,[-0.0938  0.      0.    ],-0.09375,0.9832930733136559
factory reset,"[0.3666666666666667, 0.0]",2,[0.0917 0.1833 0.275 ],0.275,0.710273734555309
fast charger,"[0.11666666666666665, 0.2]",2,[0.1375 0.1583 0.1792],0.1791666666666667,0.8057809420774842
few days,"[-0.2, -0.1777777777777778]",2,[-0.1944 -0.1889 -0.1833],-0.19444444444444448,0.7495650257792309
front facing camera,"[0.0, -1.0, 0.0]",3,[-0.5  0.   0. ],-0.5,1.2195462410624
good job,"[0.85, 0.7]",2,[0.7375 0.775  0.8125],0.8125,0.7636056932017851
idle apps,"[0.0, 0.375]",2,[0.0938 0.1875 0.2812],0.28125,0.8627739528316298
little bit,"[0.20625, 0.15625]",2,[0.1688 0.1812 0.1937],0.19374999999999998,0.8033763362600671
minimum brightness,"[0.0, 0.7000000000000001]",2,[0.175 0.35  0.525],0.525,0.6988665104151907
one time,"[0.0, 0.35]",2,[0.0875 0.175  0.2625],0.26249999999999996,0.6115754562664989
only thing,"[0.0, -0.165]",2,[-0.1238 -0.0825 -0.0412],-0.12375,0.8708685799884505
other devices,"[-0.125, 0.1875]",2,[-0.0469  0.0312  0.1094],0.109375,0.8521130375671512
other phones,"[0.234375, 0.05833333333333334]",2,[0.1023 0.1464 0.1904],0.19036458333333334,0.9184390089617068
poor quality,"[-0.52, -0.52]",2,[-0.52 -0.52 -0.52],-0.52,0.6055167551866454
power button,"[-0.05, -0.1, 0.0, -0.20833333333333334, 0.0]",5,[-0.1  -0.05  0.  ],-0.1,1.482476616164373
previous post,"[0.4166666666666667, 0.11388888888888889]",2,[0.1896 0.2653 0.341 ],0.34097222222222223,0.7213045491165583
removable battery,"[0.65625, 0.425, 0.2]",3,[0.3125 0.425  0.5406],0.540625,1.434443642604065
same time,"[-0.0625, 0.08, 0.2]",3,[0.0088 0.08   0.14  ],0.14,1.50694664627575
stainless steel sides,"[0.2333333333333333, 0.2, 0.2, 0.5125]",4,[0.2    0.2167 0.3031],0.303125,1.1320097519943775
standby time,"[0.5, 0.6000000000000001]",2,[0.525 0.55  0.575],0.5750000000000001,0.9080780738381546
time,"[0.0, 0.5, 0.0, 0.0]",4,[0.    0.    0.125],0.125,1.2231509125329978
verizon version,"[0.0, 0.4]",2,[0.1 0.2 0.3],0.30000000000000004,0.7843427560077417
volume buttons,"[-0.20833333333333334, 0.29000000000000004, 0.25]",3,[0.0208 0.25   0.27  ],0.27,1.1746159737864619
wifi calling,"[-0.07777777777777779, 0.0, 0.0]",3,[-0.0389  0.      0.    ],-0.038888888888888896,1.19154682560462
youtube videos,"[0.39999999999999997, 0.1]",2,[0.175 0.25  0.325],0.325,0.7658144481906308
