,sentiment,occurences,sentimentsSummary,sentimentEdges,score
auto mode,"[-0.1, 0.16666666666666666]",2,[-0.0333  0.0333  0.1   ],0.1,0.652466491372641
battery issues,"[0.3114285714285715, 0.0]",2,[0.0779 0.1557 0.2336],0.23357142857142862,0.900639657449015
battery life,"[0.8, 0.3114285714285715, 0.7, 0.25, 0.5, 0.8, 0.6000000000000001]",7,[0.4057 0.6    0.75  ],0.75,1.860101085904112
camera app,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.7061292862153775
complete sources,"[0.26666666666666666, -0.10000000000000002, 0.1]",3,[-0.      0.1     0.1833],0.18333333333333335,1.0470583571952856
custom roms,"[0.9099999999999999, 0.0, 0.5]",3,[0.25  0.5   0.705],0.705,1.0101835360408002
day,"[0.03125, 0.0, 0.0, 0.0, 0.8]",5,[0.     0.     0.0312],0.03125,1.4016267835863911
good light,"[0.20555555555555557, 0.55]",2,[0.2917 0.3778 0.4639],0.4638888888888889,0.6631051704163434
good looking,"[0.37166666666666665, 0.35]",2,[0.3554 0.3608 0.3662],0.36624999999999996,0.820216044655553
great battery life,"[0.8, 0.38333333333333336]",2,[0.4875 0.5917 0.6958],0.6958333333333334,0.8925550996394357
great pictures,"[0.8, 0.375]",2,[0.4812 0.5875 0.6938],0.6937500000000001,0.7711249582027762
great potential,"[0.3333333333333334, 0.3333333333333334]",2,[0.3333 0.3333 0.3333],0.3333333333333334,0.7494891624838665
heavy games,"[-0.2, 0.1858333333333333, 0.1111111111111111]",3,[-0.0444  0.1111  0.1485],0.1484722222222222,1.3532354750594218
home,"[0.15000000000000002, 0.0, 0.0]",3,[0.    0.    0.075],0.07500000000000001,0.6781546677927358
light usage,"[0.2, 0.2833333333333333, 0.4, 0.4]",4,[0.2625 0.3417 0.4   ],0.4,1.4540138044225785
low light,"[0.3333333333333333, 0.01666666666666668, 0.2]",3,[0.1083 0.2    0.2667],0.26666666666666666,1.2280762254234248
manual mode,"[0.1, 0.2, 0.0]",3,[0.05 0.1  0.15],0.15000000000000002,0.9692653921456544
mi5,"[-0.19999999999999996, 0.0, -0.09999999999999999, -0.1607142857142857, 0.0]",5,[-0.1607 -0.1     0.    ],-0.1607142857142857,0.6386782914679912
next time,"[0.43333333333333335, 0.25]",2,[0.2958 0.3417 0.3875],0.3875,0.8522479847514267
open camera,"[0.25, 0.26666666666666666]",2,[0.2542 0.2583 0.2625],0.2625,0.616774963439207
original camera,"[0.004166666666666663, 0.375]",2,[0.0969 0.1896 0.2823],0.28229166666666666,0.6144699388714978
output impedance,"[0.0, 0.16]",2,[0.04 0.08 0.12],0.12,0.7692877916954214
playing heavy games,"[-0.2, -0.44999999999999996]",2,[-0.3875 -0.325  -0.2625],-0.38749999999999996,0.9992560688534846
same problem,"[0.0, -0.0625]",2,[-0.0469 -0.0312 -0.0156],-0.046875,0.9988854426106751
same time,"[0.125, 0.2]",2,[0.1438 0.1625 0.1813],0.18125000000000002,0.950777476180093
sensitive iem,"[0.1, 0.0875, 0.1]",3,[0.0938 0.1    0.1   ],0.1,0.8102921239279034
shutter speed,"[0.2, -0.1, 0.075]",3,[-0.0125  0.075   0.1375],0.1375,0.8347769565688548
software update,"[0.25, 0.0]",2,[0.0625 0.125  0.1875],0.1875,0.9700793942245736
sot,"[0.0, 0.25, 0.0]",3,[0.    0.    0.125],0.125,0.7393841993227288
speakerphone sound,"[0.4, 0.2125]",2,[0.2594 0.3062 0.3531],0.353125,0.6446402421224304
standard charger,"[0.0, 0.175]",2,[0.0438 0.0875 0.1312],0.13124999999999998,0.7645977219736078
stock camera,"[0.43333333333333335, 0.0, 5.551115123125783e-17]",3,[0.     0.     0.2167],0.2166666666666667,0.8097900376890398
stock camera app,"[0.4375, 0.0]",2,[0.1094 0.2188 0.3281],0.328125,0.9361293576346902
taking picture,"[0.45, 0.0]",2,[0.1125 0.225  0.3375],0.3375,0.6154578715379687
taking pictures,"[-0.18125000000000002, 0.0]",2,[-0.1359 -0.0906 -0.0453],-0.13593750000000002,0.6693770085992069
time,"[0.5, -0.2, 0.0]",3,[-0.1   0.    0.25],0.25,0.9693241645438324
use,"[0.0, 0.7]",2,[0.175 0.35  0.525],0.5249999999999999,0.7065725584689245
while,"[0.5, -0.25]",2,[-0.0625  0.125   0.3125],0.3125,0.6418409868069157
wifi signal,"[-0.07500000000000001, 0.2599999999999999]",2,[0.0087 0.0925 0.1762],0.1762499999999999,0.826532370322215
