,sentiment,occurences,sentimentsSummary,sentimentEdges,score
battery drain issue,"[0.35, 0.0, 0.3625]",3,[0.175  0.35   0.3562],0.35624999999999996,1.7236999421146297
battery life,"[0.0, 1.0, 0.5, 0.0, 0.5, 0.5, 0.5, 0.7]",8,[0.375 0.5   0.55 ],0.55,1.9877441266394438
build quality,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.7643149769713367
call partner,"[0.14166666666666666, 0.14166666666666666]",2,[0.1417 0.1417 0.1417],0.14166666666666666,0.7051972795845698
call volume,"[-0.15555555555555559, -0.15555555555555559, 0.0]",3,[-0.1556 -0.1556 -0.0778],-0.15555555555555559,1.2168853727054443
camera app,"[-0.25, 0.0, 0.0, -0.19999999999999998, 0.35, -0.5]",6,[-0.2375 -0.1     0.    ],-0.2375,1.8253177255277473
case,"[0.5499999999999999, 0.0]",2,[0.1375 0.275  0.4125],0.4125,0.6783525904436862
charger,"[0.13636363636363635, 0.16666666666666666, 0.0]",3,[0.0682 0.1364 0.1515],0.1515151515151515,0.7689151900098105
current signal,"[0.14166666666666666, 0.14166666666666666]",2,[0.1417 0.1417 0.1417],0.14166666666666666,0.7572529272408242
full wipe,"[0.35, 0.35, 0.3625]",3,[0.35   0.35   0.3562],0.35624999999999996,1.042213166507164
games,"[0.35, 0.0, 0.0, -0.8]",4,[-0.2     0.      0.0875],-0.2,1.174192857029635
good battery life,"[0.65625, 0.475]",2,[0.5203 0.5656 0.6109],0.6109375,0.8855331467232364
good contrast,"[0.7, 0.18169642857142856]",2,[0.3113 0.4408 0.5704],0.5704241071428571,0.625828356441688
good price,"[0.7, 1.0]",2,[0.775 0.85  0.925],0.925,0.7956499354874587
hardware issue,"[0.25, 0.11818181818181818]",2,[0.1511 0.1841 0.217 ],0.21704545454545454,0.9010101139877079
heavy usage,"[-0.2, -0.2, 0.07777777777777778]",3,[-0.2    -0.2    -0.0611],-0.2,1.322543064843147
heavy use,"[-0.2, -0.2, 0.07499999999999998, 0.15]",4,[-0.2    -0.0625  0.0937],-0.2,1.8746068018393076
hissing sound,"[0.4, 0.35833333333333334, 0.35833333333333334, 0.3, 0.3]",5,[0.3    0.3583 0.3583],0.35833333333333334,1.2317678721196021
internal storage,"[-0.10104166666666667, 0.0]",2,[-0.0758 -0.0505 -0.0253],-0.07578125,0.6688702420913953
issue,"[0.0, 0.0, 0.4]",3,[0.  0.  0.2],0.2,0.8662454500999403
light use,"[0.4, 0.19583333333333333]",2,[0.2469 0.2979 0.349 ],0.34895833333333337,0.845722411388986
lot,"[0.2, 0.05000000000000001, 0.0, 0.0]",4,[0.     0.025  0.0875],0.08750000000000001,1.362695033780892
low light,"[0.2, 0.21666666666666667, 0.17386363636363636, 0.18333333333333335, 0.03333333333333335, 0.2, 0.05000000000000001, 0.2, -0.19999999999999998]",9,[0.05   0.1833 0.2   ],0.2,2.4561524508468495
low light shots,"[0.2, 0.25833333333333336]",2,[0.2146 0.2292 0.2438],0.24375000000000002,0.915084875319664
low volume,"[0.0, 0.0, 0.35833333333333334]",3,[0.     0.     0.1792],0.17916666666666667,1.3423403811881653
manual mode,"[-0.2699999999999999, -0.3]",2,[-0.2925 -0.285  -0.2775],-0.2925,0.6115383750117998
moderate usage,"[-0.4, 0.07777777777777778]",2,[-0.2806 -0.1611 -0.0417],-0.2805555555555556,0.7813078444852753
other apps,"[-0.125, -0.125]",2,[-0.125 -0.125 -0.125],-0.125,0.9438530778041819
photos,"[0.0, -0.1, 0.0]",3,[-0.05  0.    0.  ],-0.05,0.6427311431516638
portrait mode,"[0.16666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0]",6,[0.    0.    0.125],0.125,1.6718444458636343
previous post,"[0.4166666666666667, 0.16666666666666669]",2,[0.2292 0.2917 0.3542],0.3541666666666667,0.7213045491165583
problem,"[0.0, 0.05]",2,[0.0125 0.025  0.0375],0.037500000000000006,0.6884191253461895
quick charge,"[0.0, 0.3333333333333333, 0.16666666666666666]",3,[0.0833 0.1667 0.25  ],0.25,1.1914044468535234
receiver test,"[0.25, 1.0]",2,[0.4375 0.625  0.8125],0.8125,0.7961013859519273
remote control,"[0.22000000000000003, -0.1]",2,[-0.02  0.06  0.14],0.14000000000000004,0.6711549048489189
same problem,"[0.19999999999999998, 0.19999999999999998]",2,[0.2 0.2 0.2],0.19999999999999998,0.9988854426106751
signal strength,"[0.0, 0.8, 0.5, 0.8, -0.08333333333333333, 0.0]",6,[0.    0.25  0.725],0.7250000000000001,2.112524403686309
software keys,"[-0.12187500000000001, -0.12187500000000001]",2,[-0.1219 -0.1219 -0.1219],-0.12187500000000001,0.8141516349827794
sot,"[0.0, 0.5, 0.05, 0.3, 0.0]",5,[0.   0.05 0.3 ],0.3,1.0831782736450235
standby time,"[0.1875, -0.2]",2,[-0.1031 -0.0063  0.0906],-0.10312500000000002,0.9080780738381546
time,"[0.25, -0.2, 0.0]",3,[-0.1    0.     0.125],0.125,0.9693241645438324
video recording,"[0.12857142857142861, -0.45]",2,[-0.3054 -0.1607 -0.0161],-0.3053571428571429,0.7102559766665868
wcdma mode,"[0.25, 0.5]",2,[0.3125 0.375  0.4375],0.4375,0.6171285205547411
wi-fi signal bar loosing,"[0.19999999999999998, 0.19999999999999998]",2,[0.2 0.2 0.2],0.19999999999999998,0.8807269404301818
