,sentiment,occurences,sentimentsSummary,sentimentEdges,score
1 context aware core,"[0.08333333333333333, 0.08333333333333333]",2,[0.0833 0.0833 0.0833],0.08333333333333333,0.9227921302507542
1 low power audio processing,"[0.08333333333333333, 0.08333333333333333]",2,[0.0833 0.0833 0.0833],0.08333333333333333,0.9419689009885173
3 days,"[0.25, 0.25, 0.25]",3,[0.25 0.25 0.25],0.25,0.9118323394281177
4 gpu cores,"[0.08333333333333333, 0.08333333333333333]",2,[0.0833 0.0833 0.0833],0.08333333333333333,0.6593230982588921
5 days,"[0.4666666666666667, 0.4666666666666667, 0.4666666666666667]",3,[0.4667 0.4667 0.4667],0.4666666666666667,0.9118323394281177
bass audio output,"[-0.15000000000000002, -0.15000000000000002]",2,[-0.15 -0.15 -0.15],-0.15000000000000002,0.8848531717486782
case,"[0.25, 0.0, 0.0, 0.0, 0.6]",5,[0.   0.   0.25],0.25,1.5750859379908155
cheap bumper case,"[0.4, 0.4]",2,[0.4 0.4 0.4],0.4,1.0704726266480293
clear version,"[0.2, 0.14444444444444443]",2,[0.1583 0.1722 0.1861],0.18611111111111112,0.8157071280384143
email sync,"[-0.21875, -0.21875, -0.21875]",3,[-0.2188 -0.2188 -0.2188],-0.21875,0.980446071054722
few generations,"[-0.2, -0.2, -0.2]",3,[-0.2 -0.2 -0.2],-0.2,1.0001006418597884
ideal circumstances,"[0.9, 0.9, 0.9]",3,[0.9 0.9 0.9],0.9,0.9755132202586776
nice review,"[0.6, 0.15, 0.15]",3,[0.15  0.15  0.375],0.375,1.3303867640481475
normal polling,"[0.175, 0.175, 0.175]",3,[0.175 0.175 0.175],0.175,0.9172509257371368
other apps syncing,"[-0.21875, -0.21875, -0.21875]",3,[-0.2188 -0.2188 -0.2188],-0.21875,1.7884491758361696
review,"[0.2, 0.0, 0.0]",3,[0.  0.  0.1],0.1,0.6662112655707983
syncing stuff running,"[0.175, 0.175, 0.175]",3,[0.175 0.175 0.175],0.175,1.6966932744669605
whole lot,"[0.2, 0.2, 0.2]",3,[0.2 0.2 0.2],0.2,1.5264247849343577
