,sentiment,occurences,sentimentsSummary,sentimentEdges,score
battery tests,"[0.0, 0.15]",2,[0.0375 0.075  0.1125],0.11249999999999999,0.7940700950780084
case,"[-0.30000000000000004, 1.0, 0.6000000000000001]",3,[0.15 0.6  0.8 ],0.8,1.0751634181202994
charging speed,"[0.41111111111111115, 0.8, -0.15555555555555559]",3,[0.1278 0.4111 0.6056],0.6055555555555556,0.6895020663987016
cloud logo,"[0.05, 0.0]",2,[0.0125 0.025  0.0375],0.037500000000000006,0.712992336125475
dry hands,"[-0.06666666666666665, 0.048611111111111126]",2,[-0.0378 -0.009   0.0198],-0.037847222222222206,0.6896498820667609
fingerprint sensor,"[0.0, 0.25, 0.0]",3,[0.    0.    0.125],0.125,1.327344770258096
next update,"[0.041666666666666664, 0.0]",2,[0.0104 0.0208 0.0312],0.03125,0.8745966879819349
other phones,"[0.1875, -0.0625]",2,[0.     0.0625 0.125 ],0.125,0.9184390089617068
photo,"[0.0, 0.4000000000000001, 0.4000000000000001]",3,[0.2 0.4 0.4],0.4000000000000001,0.6112906827192056
power button,"[0.0, -0.2438888888888889]",2,[-0.1829 -0.1219 -0.061 ],-0.18291666666666667,0.6384679264739628
youtube channel,"[0.0, 0.4166666666666667]",2,[0.1042 0.2083 0.3125],0.3125,0.827438355643053
