,sentiment,occurences,sentimentsSummary,sentimentEdges,score
app launch speed,"[1.0, 0.5]",2,[0.625 0.75  0.875],0.875,0.9263458502130502
apps,"[0.18333333333333332, 0.07777777777777777]",2,[0.1042 0.1306 0.1569],0.15694444444444441,0.6103506053928607
basement,"[0.0, 0.4166666666666667, -0.2, 0.25]",4,[-0.05    0.125   0.2917],0.2916666666666667,0.6730722866718829
battery,"[0.3, 0.2, -0.75]",3,[-0.275  0.2    0.25 ],-0.275,1.0501666339174147
battery drain,"[0.06375, 0.0, 0.4, -1.0]",4,[-0.25    0.0319  0.1478],-0.25,1.7763948657461017
battery graph,"[0.10833333333333332, -0.3]",2,[-0.1979 -0.0958  0.0062],-0.19791666666666666,0.847058542985682
battery life,"[0.35, -0.16666666666666666, 0.0, 0.0, -0.15, 0.0, 0.0, 0.0, 0.8, 0.16666666666666669, 0.75]",11,[0.     0.     0.2583],0.2583333333333333,2.292154960485691
bit,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.6508794473304713
booster setup,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.7264298049569471
build quality,"[0.0, 0.425]",2,[0.1062 0.2125 0.3188],0.31875,0.7643149769713367
camera app,"[-0.15000000000000002, 0.0, 0.0, 0.5, 0.0, 0.2, 0.1]",7,[0.   0.   0.15],0.15000000000000002,1.9823555272657627
case,"[0.0, 0.9099999999999999, 0.0, 0.0]",4,[0.     0.     0.2275],0.22749999999999998,1.3567051808873725
cell reception,"[-0.11666666666666663, 0.6000000000000001]",2,[0.0625 0.2417 0.4208],0.4208333333333334,0.7761923153606173
cell strength,"[0.5, 0.16666666666666666]",2,[0.25   0.3333 0.4167],0.4166666666666667,0.8484153997395778
charging,"[0.0, 0.0, 0.13333333333333333, 0.4]",4,[0.     0.0667 0.2   ],0.2,0.8700547376798868
color saturation,"[0.0, 0.5]",2,[0.125 0.25  0.375],0.375,0.6957006434458759
custom kernel,"[0.0, 0.11111111111111112, 0.0]",3,[0.     0.     0.0556],0.05555555555555556,0.9497083107433119
day,"[0.0, -0.15555555555555559, 0.02777777777777779, 0.02777777777777779, 0.0, 0.0, 0.0, 0.10000000000000002, 0.0]",9,[0.     0.     0.0278],0.02777777777777779,1.9135182496670764
device,"[0.0, 0.08333333333333333, 0.0]",3,[0.     0.     0.0417],0.041666666666666664,0.7792413242105017
direct sunlight,"[0.25833333333333336, -0.2638888888888889, 0.25833333333333336, 0.05, 0.1, 0.12, -0.00833333333333334]",7,[0.0208 0.1    0.1892],0.18916666666666668,1.8049835015863627
doing something,"[0.24, -0.5]",2,[-0.315 -0.13   0.055],-0.315,0.9413494172757211
fast charger,"[0.2, 0.4]",2,[0.25 0.3  0.35],0.35000000000000003,0.8057809420774842
fast charging,"[0.1, 0.2, 0.225, 0.225]",4,[0.175  0.2125 0.225 ],0.225,1.5493160036041178
few days,"[-0.2, -0.2, 0.175]",3,[-0.2    -0.2    -0.0125],-0.2,1.188032457712168
few months,"[-0.2, -0.05, -0.2]",3,[-0.2   -0.2   -0.125],-0.2,1.0498837130708518
fingerprint reader,"[0.0, 0.4166666666666667, 0.08]",3,[0.04   0.08   0.2483],0.24833333333333335,1.2513411669843995
fingerprint scanner,"[0.25, 0.3]",2,[0.2625 0.275  0.2875],0.2875,0.7775746853923781
first day,"[0.375, 0.125]",2,[0.1875 0.25   0.3125],0.3125,0.6036477988584675
first time,"[0.125, 0.25, 0.25, 0.25]",4,[0.2188 0.25   0.25  ],0.25,1.2231509125329978
full charge,"[0.35, 0.13653846153846153]",2,[0.1899 0.2433 0.2966],0.29663461538461533,0.6268118596108575
good job,"[0.33749999999999997, 0.24]",2,[0.2644 0.2887 0.3131],0.313125,0.7636056932017851
good signal,"[0.39999999999999997, 0.34062499999999996]",2,[0.3555 0.3703 0.3852],0.38515625,0.7889192328544417
