,sentiment,occurences,sentimentsSummary,sentimentEdges,score
2 weeks,"[1.0, 0.0, 0.3066666666666667]",3,[0.1533 0.3067 0.6533],0.6533333333333333,0.9389014458369299
911 update,"[0.0, 0.8]",2,[0.2 0.4 0.6],0.6000000000000001,0.6429940700581986
airplane mode,"[-0.05, -0.05, 0.0]",3,[-0.05  -0.05  -0.025],-0.05,1.0438444817182597
audio jack performance,"[0.0, 0.3333333333333333]",2,[0.0833 0.1667 0.25  ],0.25,0.6781442002760613
battery,"[0.6, 0.1375]",2,[0.2531 0.3688 0.4844],0.48437499999999994,0.6625813755464813
battery life,"[0.1875, 0.48888888888888893, 0.6000000000000001, 0.0, 0.475, 1.0, 0.15416666666666667]",7,[0.1708 0.475  0.5444],0.5444444444444445,1.860101085904112
camera app,"[0.2, -0.125, 0.7]",3,[0.0375 0.2    0.45  ],0.44999999999999996,1.1191884393123699
cellular reception,"[0.46, -0.10333333333333328]",2,[0.0375 0.1783 0.3192],0.3191666666666667,0.6378429562700184
dark theme,"[-0.16, -0.034126984126984124]",2,[-0.1285 -0.0971 -0.0656],-0.12853174603174602,0.7184168705256745
dash charge,"[0.5625, 0.7, 0.5, 0.0]",4,[0.375  0.5312 0.5969],0.596875,0.8428724898590435
dash charging,"[0.0, 0.26666666666666666, 0.0]",3,[0.     0.     0.1333],0.13333333333333333,0.6895020663987016
device,"[0.0, 1.0, 0.2, 0.3047619047619048]",4,[0.15   0.2524 0.4786],0.4785714285714286,0.9832930733136559
few days,"[0.15075757575757576, 0.10909090909090909]",2,[0.1195 0.1299 0.1403],0.1403409090909091,0.7495650257792309
few seconds,"[0.2625, -0.14166666666666666, -0.24444444444444438]",3,[-0.1931 -0.1417  0.0604],-0.19305555555555554,0.9232644783087212
full bars,"[0.35, -0.325]",2,[-0.1563  0.0125  0.1812],0.18124999999999997,0.6109164336189682
heavy usage,"[0.07777777777777778, -0.1]",2,[-0.0556 -0.0111  0.0333],-0.055555555555555566,0.8344317699891267
high volume,"[0.16, 0.23200000000000004]",2,[0.178 0.196 0.214],0.21400000000000005,0.7232131848466945
idle drain,"[0.35, 0.0, -0.6999999999999998]",3,[-0.35   0.     0.175],-0.3499999999999999,1.22884419700398
jelly effect,"[0.0, 0.0, -0.22121212121212122, 0.0]",4,[-0.0553  0.      0.    ],-0.055303030303030305,1.4828765654761817
little bit,"[0.178125, -0.4437499999999999, 0.15625, 0.2756428571428572]",4,[0.0063 0.1672 0.2025],0.2025044642857143,1.6067526725201342
low light,"[0.178125, -0.19999999999999998, 0.2, 0.2, 0.13333333333333333, 0.17500000000000002, 0.2057692307692308]",7,[0.1542 0.1781 0.2   ],0.2,2.1752223377749944
low light photos,"[0.2, 0.2]",2,[0.2 0.2 0.2],0.2,0.9350091459246332
low light pictures,"[0.36, 0.2]",2,[0.24 0.28 0.32],0.32,0.9740936173690946
mobile data,"[0.0, 0.0, 0.5]",3,[0.   0.   0.25],0.25,0.6283375685423909
only issue,"[0.0, 0.16666666666666666, 0.0]",3,[0.     0.     0.0833],0.08333333333333333,1.441838351423571
other devices,"[-0.05625, 0.11249999999999999]",2,[-0.0141  0.0281  0.0703],0.07031249999999999,0.8521130375671512
picture quality,"[-0.34444444444444433, 0.0]",2,[-0.2583 -0.1722 -0.0861],-0.25833333333333325,0.6370664333521909
portrait mode,"[0.0, 0.2, 0.17500000000000002]",3,[0.0875 0.175  0.1875],0.1875,1.0250867287218108
pro mode,"[-0.18888888888888888, 0.2, -0.005494505494505503]",3,[-0.0972 -0.0055  0.0973],0.09725274725274725,0.6023639062847522
same conditions,"[-0.3499999999999999, 0.0]",2,[-0.2625 -0.175  -0.0875],-0.26249999999999996,0.899462844260817
scrolling,"[0.0, 0.0, -0.24444444444444438]",3,[-0.1222  0.      0.    ],-0.12222222222222219,0.7913643582468649
social media,"[0.26666666666666666, 0.26666666666666666]",2,[0.2667 0.2667 0.2667],0.26666666666666666,0.7156387211516096
standby drain,"[0.0, 0.0, 0.5, 0.35714285714285715]",4,[0.     0.1786 0.3929],0.39285714285714285,1.651186512171699
status bar,"[0.0625, 0.0, 0.4222222222222222]",3,[0.0312 0.0625 0.2424],0.2423611111111111,1.128653956960684
stock camera,"[0.25, 0.25, 0.0, 0.2, 0.2, 0.2, -0.08333333333333333]",7,[0.1   0.2   0.225],0.225,1.434335542389904
time,"[1.0, -0.05]",2,[0.2125 0.475  0.7375],0.7375,0.6115754562664989
tree pictures,"[0.2, 0.0]",2,[0.05 0.1  0.15],0.15000000000000002,0.7309027142030005
watching videos,"[0.0, 0.4]",2,[0.1 0.2 0.3],0.30000000000000004,0.6698516243148024
wifi,"[0.0, 0.7, 0.0, 0.3, -1.0]",5,[0.  0.  0.3],0.3,1.2400948654410404
