,sentiment,occurences,sentimentsSummary,sentimentEdges,score
adaptive brightness,"[0.55, 0.2, 0.0, 0.0]",4,[0.     0.1    0.2875],0.28750000000000003,1.3155777992124744
battery saver,"[0.2, 0.0]",2,[0.05 0.1  0.15],0.15000000000000002,0.8741470677622335
call volume,"[0.06666666666666667, -0.025, 0.0]",3,[-0.0125  0.      0.0333],0.03333333333333333,1.2168853727054443
camera app,"[0.08333333333333337, 0.2]",2,[0.1125 0.1417 0.1708],0.17083333333333336,0.7061292862153775
good work,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.7164452878419404
low light,"[0.01666666666666668, -0.19999999999999998]",2,[-0.1458 -0.0917 -0.0375],-0.14583333333333331,0.7748298302733668
many years,"[0.49375, 0.55]",2,[0.5078 0.5219 0.5359],0.5359375000000001,0.8074845827732279
other end,"[-0.125, -0.125]",2,[-0.125 -0.125 -0.125],-0.125,0.7883465728206704
other flagship phones,"[-0.125, -0.21250000000000002]",2,[-0.1906 -0.1688 -0.1469],-0.19062500000000002,1.0558510476313108
other phones,"[0.037500000000000006, 0.09687499999999999]",2,[0.0523 0.0672 0.082 ],0.08203125,0.9184390089617068
previous phones,"[-0.08333333333333333, 0.14444444444444446]",2,[-0.0264  0.0306  0.0875],0.08750000000000001,0.7792119380758614
sharp corners,"[0.3275, -0.125]",2,[-0.0119  0.1013  0.2144],0.214375,0.6971883392445121
using virgin mobile,"[0.4166666666666667, 0.4166666666666667]",2,[0.4167 0.4167 0.4167],0.4166666666666667,0.939235912014129
