,sentiment,occurences,sentimentsSummary,sentimentEdges,score
18 apps,"[0.625, 0.0]",2,[0.1562 0.3125 0.4688],0.46875,0.6103506053928607
2 days,"[0.45, -0.25, 0.25]",3,[0.   0.25 0.35],0.35,0.9118323394281177
android system,"[0.25, 0.15, 0.15]",3,[0.15 0.15 0.2 ],0.2,0.7286432047577275
auto brightness,"[0.0, 0.0, 0.0, 0.6]",4,[0.   0.   0.15],0.15,1.4592931840236476
auto mode,"[0.0, -0.3]",2,[-0.225 -0.15  -0.075],-0.22499999999999998,0.652466491372641
basic mode,"[0.0, 0.0875]",2,[0.0219 0.0438 0.0656],0.06562499999999999,0.7408811871277546
battery,"[0.0, 0.0, 0.225, 0.16666666666666666, 0.0, 0.35833333333333334, 0.2, 0.2, 0.0]",9,[0.     0.1667 0.2   ],0.2,2.1003332678348294
battery drain,"[0.175, 0.2, 0.0, 0.2, 0.15, 0.05, 0.16666666666666666]",7,[0.1    0.1667 0.1875],0.1875,2.4934854349350877
battery life,"[0.5, 0.0, 0.05, 0.0, -1.0, 0.5, -0.07500000000000001, 1.0, 0.55, 0.1349206349206349, -0.175]",11,[-0.0375  0.05    0.5   ],0.5,2.292154960485691
battery usage,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.9324721875338766
beauty mode,"[-0.15555555555555559, 0.1]",2,[-0.0917 -0.0278  0.0361],-0.0916666666666667,0.7010749254810125
bit,"[0.0, 0.0, -0.5000000000000001]",3,[-0.25  0.    0.  ],-0.25000000000000006,1.031619516508908
blue coral,"[0.1, -0.15]",2,[-0.0875 -0.025   0.0375],-0.0875,0.6625023806146715
calls,"[-0.6, 0.0, 0.10833333333333334, 0.0]",4,[-0.15    0.      0.0271],-0.15,1.0890900257876472
camera app,"[0.16, 0.0, 0.55, 0.0]",4,[0.     0.08   0.2575],0.2575,1.412258572430755
closing apps,"[0.1, 0.4]",2,[0.175 0.25  0.325],0.32500000000000007,0.7507484460667814
color reproduction,"[0.5, 0.47750000000000004]",2,[0.4831 0.4888 0.4944],0.494375,0.6016298565270061
custom roms,"[0.10833333333333334, 0.0]",2,[0.0271 0.0542 0.0812],0.08125,0.6373548494561655
deep sleep,"[-0.40833333333333327, 0.25]",2,[-0.2437 -0.0792  0.0854],-0.24374999999999997,0.6057609197727195
device,"[0.2, 0.675, 0.1, -0.3, 0.0, 0.4]",6,[0.025 0.15  0.35 ],0.35000000000000003,1.2708878608673295
difference,"[0.10000000000000002, 0.13636363636363635, 0.2, 0.0]",4,[0.075  0.1182 0.1523],0.15227272727272728,1.1254832477857657
display,"[-0.5, 0.2, 0.0]",3,[-0.25  0.    0.1 ],-0.25,0.6158474389937951
display brightness,"[0.6, -0.16499999999999995]",2,[0.0263 0.2175 0.4087],0.40874999999999995,0.7096773778341802
exynos variant,"[0.0, 0.5, 0.0, 0.0]",4,[0.    0.    0.125],0.125,0.7151338710054381
exynos version,"[0.8, 0.0, 1.0, 0.08333333333333331, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",14,[0.     0.     0.6208],0.6208333333333335,1.692193204196134
fast charge,"[0.175, 0.04999999999999999]",2,[0.0812 0.1125 0.1438],0.14375,0.7663632498162143
fast charger,"[0.2, 0.24285714285714285, -0.1, 0.2, 0.2, 0.2]",6,[0.2 0.2 0.2],0.2,2.0829135190660626
fast charging,"[0.1, 0.2583333333333333, 0.2, 0.1]",4,[0.1    0.15   0.2146],0.21458333333333335,1.5493160036041178
fast device,"[0.2, 0.2]",2,[0.2 0.2 0.2],0.2,0.8098902533243607
few days,"[-0.29500000000000004, -0.12916666666666668]",2,[-0.2535 -0.2121 -0.1706],-0.2535416666666667,0.7495650257792309
few games,"[-0.03333333333333333, -0.15]",2,[-0.1208 -0.0917 -0.0625],-0.12083333333333332,0.7587547836556777
fingerprint scanner,"[0.16, 0.6]",2,[0.27 0.38 0.49],0.48999999999999994,0.7775746853923781
first time,"[0.25, 0.25]",2,[0.25 0.25 0.25],0.25,0.6115754562664989
frame drops,"[-0.2, 0.06666666666666668]",2,[-0.1333 -0.0667  0.    ],-0.13333333333333336,0.7068768733106
front facing camera,"[0.0, 0.4]",2,[0.1 0.2 0.3],0.30000000000000004,0.7694480093424971
