brand,handle,num_followers
LG,LGUSAMobile,320024
Sony,SonyMobileNews,207384
Sony,sonyxperia,1069227
Sony,sonyxperiaus,83386
Sony,sonyxperiagb,96253
Nokia,Nokiamobile,66708
Samsung,SamsungMobile,12463294
Samsung,SamsungSG,16046
Samsung,SamsungMobileUS,5346288
Samsung,SamsungUK,185076
Huawei,HuaweiMobile,303065
Xiaomi,xiaomi,484090
Xiaomi,XiaomiSG,4233
Xiaomi,XiaomiUSA,6391
OPPO,oppo,160967
ZTE,zteusa,151158
ZTE,ZTE_UK,11947
HTC,htc,2691391
HTC,HTCUSA,233363
HTC,HTC_UK,98855
HTC,HTC_Singapore,176
