,comments,created_time,id,likes,link,message,shares,type
0,0,2016-03-28T06:42:37+0000,1487483941513530_1650183625243560,2,https://www.facebook.com/AlcatelmobileSingapore/photos/a.1489514514643806.1073741828.1487483941513530/1650183625243560/?type=3,"Sometimes you gotta stop to smell the flowers… and snap a pic. Take a break, still have a few hours to go.

#alcatelsg #monday #sunflowers #takeabreak #smartphone #cameraphone",1,photo
1,2,2016-03-17T06:24:16+0000,1487483941513530_1644628942465695,15,https://www.facebook.com/AlcatelmobileSingapore/photos/a.1489514514643806.1073741828.1487483941513530/1644628942465695/?type=3,"Enjoy super fast LTE CAT 6 speed and a long lasting 3600mAh battery with power bank function! Get alcatel Y900NB mobile WiFi now at Qoo10.sg and M1,

Qoo10 --> http://goo.gl/k6Bz1s
M1 --> https://goo.gl/KdhQn2",6,photo
2,1,2016-03-09T04:23:38+0000,1487483941513530_1641494609445795,41,https://www.facebook.com/AlcatelmobileSingapore/photos/a.1489514514643806.1073741828.1487483941513530/1641494609445795/?type=3,"Dustproof, shockproof, waterproof smartwatch, ALCATEL GO Watch is ready for wherever your adventures take you. Go Watch is available at IT SHOW 2016 and Lazada Singapore.",2,photo
3,0,2016-02-19T08:26:34+0000,1487483941513530_1635731836688739,70,https://www.facebook.com/AlcatelmobileSingapore/photos/a.1489514514643806.1073741828.1487483941513530/1635731836688739/?type=3,"Check out the greatness of ALCATEL ONETOUCH Flash2 13megapixels camera at main m1 shop.

More Info: www.alcatelflash.com
Buy now: https://goo.gl/15TejU

#alcatelsg #flash2 #m1 #cameraphone #camera #megapixels #isocell #realtone",4,photo
4,0,2016-01-29T08:54:45+0000,1487483941513530_1629322537329669,2,http://www.alcatelonetouch.com/global-en/news/detail?id=10418,ALCATEL ONETOUCH Recognized Twice in the 2015-2016 Global Top Brands.,1,link
5,3,2016-01-28T06:16:25+0000,1487483941513530_1628800124048577,22,https://www.facebook.com/AlcatelmobileSingapore/photos/a.1489514514643806.1073741828.1487483941513530/1628800124048577/?type=3,Enter this code MONKEY18 at checkout to enjoy the discount. Get your ALCATEL Flash 2 at http://goo.gl/tVPwyD,5,photo
6,1,2016-01-26T10:28:39+0000,1487483941513530_1628193257442597,6,https://www.facebook.com/AlcatelmobileSingapore/photos/a.1489514514643806.1073741828.1487483941513530/1628193257442597/?type=3,"No excuse to miss Flash 2. We are giving $18 discount for each purchase. Hurry now, get yours at http://goo.gl/tVPwyD

#alcatelsg #flash2 #lazada #lazadasg #cny #Sg #sgdeals #discount #deals #red #yearofmonkey",1,photo
7,0,2016-01-19T09:52:15+0000,1487483941513530_1626116280983628,8,https://www.facebook.com/AlcatelmobileSingapore/photos/a.1489514514643806.1073741828.1487483941513530/1626116280983628/?type=3,"Just WATCH.

#alcatelsg #smartwatch #fitnesstracker #nofilter #affordable #instapic #green #sunny #tuesday",1,photo
8,0,2016-01-19T04:13:59+0000,1487483941513530_1626063560988900,10,http://onlywilliam.blogspot.sg/2016/01/10-reasons-why-alcatel-flash-2.html,"10 Reasons to love ALCATEL FLASH2!

Thank you, William Tan",2,link
9,0,2016-01-13T09:03:38+0000,1487483941513530_1624362964492293,11,https://www.facebook.com/AlcatelmobileSingapore/photos/a.1489514514643806.1073741828.1487483941513530/1624362964492293/?type=3,"Congratulations to all winners and  thanks for participating.

#alcatelsg #congratulations #thankyou #winner #contest",1,photo
10,0,2016-01-13T02:44:05+0000,1487483941513530_1624311087830814,2,https://www.facebook.com/AlcatelmobileSingapore/photos/a.1489514514643806.1073741828.1487483941513530/1624311087830814/?type=3,"For today only, Flash2 at $179!!! While stocks last!!!
Buy here: http://goo.gl/FA79Ux",1,photo
11,0,2016-01-06T04:15:56+0000,1487483941513530_1622192548042668,7,https://www.facebook.com/AlcatelmobileSingapore/photos/a.1489514514643806.1073741828.1487483941513530/1622192548042668/?type=3,"Our street,  our memories. 

Photo credit: @musicdiary Chester Tan, musicphotolife.com. Photo taken by ALCATEL FLASH2. 

#alcatelsg #flash2 #singapore #nofilter",1,photo
12,0,2016-01-05T04:02:37+0000,1487483941513530_1621935998068323,31,http://musicphotolife.com/2016/01/alcatel-flash2-review/,"Smartphone below $200, perform like a flagship. 

Get it now >>>  http://lzd.co/Alcatel-Flash-2 #alcatelSG #LazadaSG",6,link
