,comments,created_time,id,likes,link,message,shares,type
0,9,2016-03-31T13:37:11+0000,371974171604_10153988601351605,103,https://www.facebook.com/BLU.Products/photos/a.10150160140431605.342398.371974171604/10153988601351605/?type=3,"Back in stock! Don't miss out!

Buy the Vivo 5 on Amazon.com for $199 
http://amzn.to/232uMYD

#BLU #BoldLikeUs #GoForBold #Vivo5 #VivoSeries #Amazon #FullMetal #Metal #MetalBody #Beautiful #Mobile #Smartphone #Unlocked #Mediatek",7,photo
1,9,2016-03-30T20:16:34+0000,371974171604_10153985909346605,148,https://www.facebook.com/BLU.Products/photos/a.10150160140431605.342398.371974171604/10153985909346605/?type=3,"Hey BLU Fans! The Vivo 5 is back in stock. Get yours today on Amazon.com

Buy it now for $199:
http://amzn.to/232uMYD",15,photo
2,17,2016-03-30T17:47:23+0000,371974171604_10153985538731605,93,https://www.facebook.com/BLU.Products/photos/a.10150160140431605.342398.371974171604/10153985538731605/?type=3,"DEAL ALERT! The Life One X is $50 off FOR ONE DAY ONLY!  Get it now on Amazon.com for only $99

http://www.amazon.com/gp/product/B0189RMNTG

#BLU #GoForBold #BoldLikeUs #LifeOneX #DealOfTheDay #MoreBangForYourBuck #Amazon #AmazingPrice",11,photo
3,13,2016-03-30T13:59:41+0000,371974171604_10153984960731605,145,https://www.facebook.com/BLU.Products/photos/a.10150160140431605.342398.371974171604/10153984960731605/?type=3,"Hey BLU fans! Don't miss out today's deal of the day! The popular Life One X is only $99.99 on Amazon.com

http://www.amazon.com/gp/product/B0189RMNTG

#BLU #GoForBold #BoldLikeUs #LifeOneX #DealOfTheDay #MoreBangForYourBuck #Amazon #AmazingPrice",16,photo
4,9,2016-03-29T13:51:07+0000,371974171604_10153981314081605,92,https://www.facebook.com/BLU.Products/photos/a.10150160140431605.342398.371974171604/10153981314081605/?type=3,"Make your Win HD LTE your own with the Windows 10 update.

Buy it on Amazon.com for only $89!
http://www.amazon.com/gp/product/B00XPUCCPI

#BLU #GoForBold #BoldLikeUs #WinHDLTE #Win10 #Windows10 #Update #Amazon",7,photo
5,13,2016-03-28T15:57:56+0000,371974171604_10153977857836605,117,https://www.facebook.com/BLU.Products/photos/a.10150160140431605.342398.371974171604/10153977857836605/?type=3,"Reflect your personality on your Win HD LTE now upgradeable to Windows 10!

Buy the Win HD LTE on Amazon.com for only $89!
http://www.amazon.com/gp/product/B00XPUCCPI

#BLU #GoForBold #BoldLikeUs #WinHDLTE #Win10 #Windows10 #Update #Amazon",8,photo
6,9,2016-03-25T18:00:01+0000,371974171604_10153961891371605,77,https://www.facebook.com/BLU.Products/photos/a.10150160140431605.342398.371974171604/10153961891371605/?type=3,"Discover everything the Windows 10 update has to offer with the Win HD LTE! 

Get it on Amazon.com for only $89!
http://www.amazon.com/gp/product/B00XPUCCPI

#BLU #GoForBold #BoldLikeUs #WinHDLTE #Win10 #Windows10 #Update #Amazon",5,photo
7,7,2016-03-25T13:45:01+0000,371974171604_10153961838016605,92,https://www.facebook.com/BLU.Products/photos/a.10150160140431605.342398.371974171604/10153961838016605/?type=3,"Your life is mobile. 

Buy the Win HD LTE on Amazon.com for $89!
http://www.amazon.com/gp/product/B00XPUCCPI

#BLU #GoForBold #BoldLikeUs #Win10 #Windows10 #Update #Amazon",6,photo
8,17,2016-03-24T22:20:28+0000,371974171604_10153961857896605,96,https://www.facebook.com/BLU.Products/photos/a.10150160140431605.342398.371974171604/10153961857896605/?type=3,"Have a more seamless experience on your Win HD LTE with the update to Windows 10.

Buy the Win HD LTE on Amazon.com for only $89!
http://www.amazon.com/gp/product/B00XPUCCPI

#BLU #GoForBold #BoldLikeUs #Win10 #Windows10 #Update #Amazon",10,photo
9,19,2016-03-24T17:32:35+0000,371974171604_10153960790151605,165,https://www.facebook.com/BLU.Products/photos/a.10150160140431605.342398.371974171604/10153960790151605/?type=3,"Add more personalization to your Win HD LTE with the Windows 10 update.

Get it now on Amazon.com for only $89!

http://www.amazon.com/gp/product/B00XPUCCPI

#BLU #GoForBold #BoldLikeUs #Win10 #Windows10 #Update #Amazon",12,photo
