,comments,created_time,id,likes,link,message,shares,type
0,16,2018-03-29T16:12:26+0000,1206216186131980_1612643648822563,279,https://www.facebook.com/BlackBerryMobile/photos/a.1241522742601324.1073741828.1206216186131980/1612643648822563/?type=3,A reminder that users can play an active role in limiting the data shared on #facebook - details with the steps you can take are linked in our previous post. How much does privacy and security matter to you? Leave your thoughts below. 💭 🔐,35,photo
1,28,2018-03-29T13:12:53+0000,1206216186131980_1612504742169787,186,http://bbmobile.me/LimitFB,A reminder that users can play an active role in limiting the data shared on #facebook by following these steps,43,link
2,41,2018-03-28T16:00:05+0000,1206216186131980_1611537218933206,310,http://bbmobile.me/KEYoneFBpostLUCCALIVESINBlog,"""The best thing for me at the BlackBerry KEYone is the fact that the battery is much stronger than the battery of other phones like my iPhone. After more than 24h of using the phone in NYC the battery was still over 40%."" - Lucca Bitzer",35,link
3,72,2018-03-26T19:33:58+0000,1206216186131980_1609774115776183,560,http://bbmobile.me/FB,The best of BlackBerry & Android. Do more effortlessly with the integrated smart keyboard on BlackBerry KEYone.,64,link
4,58,2018-03-23T18:23:42+0000,1206216186131980_1606548952765366,293,http://bbmobile.me/KEYoneFBpostfin24Review,"""BlackBerry Mobile took a bold step in developing a smartphone with a full physical Qwerty keyboard. """,47,link
5,63,2018-03-15T23:35:32+0000,1206216186131980_1598344836919111,378,http://www.businessinsider.com/best-smartphones-in-the-world-2018-3,Happy to see KEYone make the short list for Top 20 Smartphones in the World 🌍 🙏,56,link
6,38,2018-03-14T13:35:00+0000,1206216186131980_1596645363755725,155,http://bbmobile.me/MotionFBpostBBMMarchbreak,For a limited time only! Get the BlackBerry Motion for $0 with a 2 year premium tab. Only at Bell and Telus,21,link
7,118,2018-03-13T16:53:07+0000,1206216186131980_1595835537170041,179,https://www.facebook.com/BlackBerryMobile/photos/a.1241522742601324.1073741828.1206216186131980/1595834943836767/?type=3,"Do you prefer typing on glass or physical keys?

 — Products shown: BlackBerry Motion GSM Unlocked Android Smartphone (AT&T, T-Mobile, Cricket) – 4G.",21,photo
8,43,2018-03-06T19:13:51+0000,1206216186131980_1588544097899185,375,https://www.facebook.com/BlackBerryMobile/photos/a.1241522742601324.1073741828.1206216186131980/1588543111232617/?type=3,BlackBerry + Android is a perfect match! #TeamBlackBerry,25,photo
9,42,2018-03-03T17:39:59+0000,1206216186131980_1585022708251324,535,https://www.facebook.com/BlackBerryMobile/photos/a.1241522742601324.1073741828.1206216186131980/1585022708251324/?type=3,Three's Company 🖤 bbmobile.me/FB,27,photo
10,2,2018-03-01T20:26:19+0000,1206216186131980_1583049955115266,145,https://youtu.be/uB5poPSnA0A,How to toggle Silent Mode on the BlackBerry Motion,3,video
11,9,2018-03-01T17:22:53+0000,1206216186131980_1582918838461711,252,https://www.facebook.com/BlackBerryMobile/photos/a.1392280560858874.1073741829.1206216186131980/1582918811795047/?type=3,Keyboards for almost everyone on display here in Barcelona #MWC18 🙌,7,photo
12,5,2018-03-01T17:06:22+0000,1206216186131980_1582905905129671,87,https://www.facebook.com/AxiomUAE/photos/a.381291183387.161781.38610063387/10155323817238388/?type=3,Live in the UAE? Head over to Axiom Telecom this weekend for great offers on BlackBerry KEYone!,4,photo
13,37,2018-02-25T14:09:20+0000,1206216186131980_1578948395525422,510,http://cnet.co/2EQ70Ne,BlackBerry Mobile has lofty ambitions for comeback http://cnet.co/2EQ70Ne via CNET,32,link
14,7,2018-02-24T23:53:21+0000,1206216186131980_1578405838913011,223,https://www.instagram.com/p/BflrzzWl7WU/,Head on over to TechnoBuffalo on Instagram at the link below to enter for your chance to win a brand new BlackBerry Motion! ⬇,8,link
15,62,2018-02-21T16:37:47+0000,1206216186131980_1575171602569768,692,http://adweek.it/2F9kzUP,BlackBerry Refuses to Give Up 💪 via Adweek,48,link
16,7,2018-02-19T16:41:39+0000,1206216186131980_1573232236097038,95,https://www.facebook.com/BlackBerryMobile/photos/a.1241522742601324.1073741828.1206216186131980/1573228832764045/?type=3,What's your favorite social media? Linkedin? Facebook? Instagram? SnapChat? To learn more about BlackBerry Motion visit us at bbmobile.me/FB,4,photo
17,6,2018-02-17T17:04:17+0000,1206216186131980_1571084202978508,125,https://www.facebook.com/BlackBerryMobile/videos/1571084202978508/,Sliding through the weekend like 🏅bbmobile.me/FB,10,video
18,8,2018-02-16T20:37:10+0000,1206216186131980_1570149623071966,182,https://youtu.be/weIiNDIanNs,Back in Black 😎 video by The Nerd Herd,11,video
19,21,2018-02-15T21:30:00+0000,1206216186131980_1569001773186751,274,http://bbmobile.me/KEYoneFBpostmailchimpFebDiscount,Save $100 on KEYone BlackEdition or Save $80 on KEYone SilverEdition,13,link
20,9,2018-02-14T16:44:59+0000,1206216186131980_1568015126618749,200,http://bbmobile.me/MotionFBpostEUStoreOnSale,BlackBerry Motion is now available across 28 countries in Europe. Incredible security and battery life at just £399.00! Hit the card below to check out our online storefront! 😎,15,link
21,12,2018-02-12T18:19:06+0000,1206216186131980_1566145290139066,148,https://youtu.be/JzahBBYWunE,"After the BUZZ via pocketnow.com
https://youtu.be/JzahBBYWunE",15,video
