,comments,created_time,id,likes,link,message,shares,type
0,17,2016-12-31T15:46:11+0000,379388368783635_1210506279005169,1074,https://www.facebook.com/GioneeGlobal/photos/a.402081023181036.105319.379388368783635/1210506279005169/?type=3,"Open your eyes, look at the bright day awaiting you, forget all bad dreams and start afresh. Wishing you a wonderful 2017, Gioneers! Thank you for your company in the past 2016 and we will still fight for all of you in 2017. #Gionee #HappyNewYear",74,photo
1,14,2016-12-30T15:45:01+0000,379388368783635_1210502292338901,1230,https://www.facebook.com/GioneeGlobal/photos/a.402081023181036.105319.379388368783635/1210502292338901/?type=3,The sand glass remember us that 2016 draws to a close. How's your 2016 and take your time to look back and keep those moments in your story line.  #Gionee #2016moments #HappyNewYear,63,photo
2,16,2016-12-30T02:45:00+0000,379388368783635_1206794859376311,2640,https://www.facebook.com/GioneeGlobal/photos/a.402081023181036.105319.379388368783635/1206794859376311/?type=3,"It all about capturing all the precious moments of this holiday season. 
Perfect gift for the new year 2017! #Gionee #MakeSmiles #gift #holiday",54,photo
3,14,2016-12-28T08:27:31+0000,379388368783635_1209098242479306,855,https://www.facebook.com/GioneeGlobal/photos/a.402081023181036.105319.379388368783635/1209098242479306/?type=3,"Hi, everybody, it is the season to #MakeSmiles around you! Gionee Myanmar Facebook page is holding a selfie contest, our dear Myanmar fans, you can go and join it right now. Share your best selfie with us! @my2016bestselfie  @GioneeMyanmar",34,photo
4,11,2016-12-28T02:45:01+0000,379388368783635_1206784189377378,2256,https://www.facebook.com/GioneeGlobal/photos/a.402081023181036.105319.379388368783635/1206784189377378/?type=3,"Look ! Crafted to perfection. 
Capture it all in the holiday with #Gionee smart phones!  
#MakeSmiles #holiday",51,photo
5,20,2016-12-26T05:45:00+0000,379388368783635_1203014343087696,2592,https://www.facebook.com/GioneeGlobal/photos/a.402081023181036.105319.379388368783635/1203014343087696/?type=3,"Holiday season --- It’s about creating happy memories with all you love.  Gioneers, hope all of you have a great time. #Gionee #Holidayseason",49,photo
6,22,2016-12-25T05:45:00+0000,379388368783635_1202797006442763,1380,https://www.facebook.com/GioneeGlobal/photos/a.402081023181036.105319.379388368783635/1202797006442763/?type=3,"During this season of giving, let us take time to slow down and enjoy the simple things. Gionee may this wonderful time of the year touch your heart in a special way. Wishing you much happiness today and throughout the New Year. #Gionee #MerryXmas",60,photo
7,14,2016-12-24T15:44:01+0000,379388368783635_1202787849777012,1717,https://www.facebook.com/GioneeGlobal/photos/a.402081023181036.105319.379388368783635/1202787849777012/?type=3,"A wonderful Night of the year when we celebrate faith, family, and the tradition of giving gifts . May the love of the holiday season fill your heart and home with many blessings. #Gionee Merry #Christmas eve.",65,photo
8,25,2016-12-23T06:00:12+0000,379388368783635_1201648416557622,2261,https://www.facebook.com/GioneeGlobal/photos/a.402081023181036.105319.379388368783635/1201648416557622/?type=3,"Christmas is coming.... Ready, Gioneers ? #Gionee #Christmas",62,photo
9,21,2016-12-21T03:17:00+0000,379388368783635_1193685917353872,2082,https://www.facebook.com/GioneeGlobal/photos/a.402081023181036.105319.379388368783635/1193685917353872/?type=3,"Bigger display and faster performance, always getting better with this bestie in this holiday season.
#GioneeP7 #BiggerandFaster",59,photo
