,comments,created_time,id,likes,link,message,shares,type
0,1,2017-09-30T03:00:00+0000,269055023104718_1724274097582796,50,https://www.facebook.com/HuaweiMobileSG/videos/1724274097582796/,"At the #IFA2017, Huawei unveiled the ultimate mobile assistant with the new Kirin 970. This October 16th in Munich, join us and experience the future of AI. 

#HuaweiMobileAI #TheRealAIPhone",8,video
1,22,2017-09-29T14:50:43+0000,269055023104718_1728292697180936,181,http://www.hardwarezone.com.sg/feature-what-expect-huaweis-ai-hisilicon-kirin-970-chipset,Worth the wait #HuaweiMobileAI #HuaweiMate10,2,link
2,0,2017-09-29T11:31:13+0000,269055023104718_1728123213864551,14,https://techielobang.com/blog/2017/09/28/huawei-hq-shenzhen-and-future-smartphone/,"5G VR gaming, a university and an engraving centre?! Check out what else is up at the Huawei HQ with TechieLobang Fan Page

More to explore: http://po.st/HWSG",1,link
3,1,2017-09-29T03:00:00+0000,269055023104718_1724393500904189,165,https://www.facebook.com/HuaweiMobileSG/videos/1724393500904189/,"Beautiful, professional portraits of the people you love. With the dual-lens #LeicaCamera on the #HuaweiP10, you can take incredible shots. 

Took a portrait with your Huawei phone lately? Share them with us by tagging @huaweimobilesg on Instagram for a chance to be featured!

Learn more: http://po.st/ExploreP10Plus

#photography #portrait",12,video
4,22,2017-09-28T10:00:00+0000,269055023104718_1727106913966181,573,https://www.facebook.com/HuaweiMobileSG/photos/a.276734435670110.77050.269055023104718/1727106833966189/?type=3,"Get a larger than life experience with the new #HuaweiY7Prime! Unleash yourself with a smooth octa-core processor, outstanding low-light camera and long-lasting battery life. We've got you fam 😎
 
With a 2-year warranty included across all 3 telcos, get it now worry-free! Find out more at: 
 
M1: http://po.st/M1Y7Prime
Singtel: http://po.st/STY7Prime
Starhub: http://po.st/SH7YPrime

Explore more: http://po.st/HWY7",24,photo
5,0,2017-09-28T03:00:00+0000,269055023104718_1724392957570910,139,https://www.facebook.com/HuaweiMobileSG/photos/a.276734435670110.77050.269055023104718/1724392757570930/?type=3,"The @ConfettiCrowd turn up the summer heat in glitter and sequins to match the Dazzling Gold #HuaweiP10. 
📷 Photo credits to the dazzling @heidipetite @ttigerlilly @Helibells @lulutrixabelle ✨

Learn more here: http://po.st/ExploreP10Plus

#fashion #style #squad #squadgoals #LeicaCamera #OO",2,photo
6,0,2017-09-27T03:15:42+0000,269055023104718_1726056647404541,62,https://www.facebook.com/HuaweiMobileSG/photos/a.276734435670110.77050.269055023104718/1726056394071233/?type=3,"4 years running, and reaching new heights every time! Look who made it to this year’s list of Interbrand’s Best Global Brands. 😎

Couldn’t have done it without you, #TeamHuawei!",5,photo
7,3,2017-09-26T03:00:00+0000,269055023104718_1724392130904326,42,https://www.facebook.com/HuaweiMobileSG/photos/a.276734435670110.77050.269055023104718/1724391984237674/?type=3,"""Like a flash of lightning between the clouds, we live in the flicker."" — Joseph Conrad. 

Amazing shot by @shiva_on_acid with his #HuaweiP10. 
Think you've got photos that are just as lighting fast? Tag us and share your own electric moments! 

More awesomeness here: http://po.st/ExploreP10Plus",1,photo
8,1,2017-09-24T03:00:00+0000,269055023104718_1720303531313186,14,https://www.facebook.com/HuaweiMobileSG/videos/1720303531313186/,"Add an extra dimensions to your #photography. Watch to learn how to add beautiful #bokeh effects in camera on the #HuaweiP10. 

#HuaweiTips #lifehacks Leica Camera",4,video
9,0,2017-09-23T04:00:00+0000,269055023104718_1717508718259334,22,https://www.facebook.com/HuaweiMobileSG/videos/1717508718259334/,"From dynamic dancers to slick streetstyle. We caught up with photographer Ope O who shares his tips for the perfect portrait. Watch now and then give his tips a try!  #HuaweiTips #CapturedonP10 

Learn more: http://po.st/ExploreP10Plus",2,video
10,4,2017-09-22T08:27:47+0000,269055023104718_1105859569550304,40,https://www.facebook.com/HuaweiMobileSG/videos/1105859569550304/,"Watch out. The future of intelligent phones is coming. 16.10.17. #HuaweiMobileAI #TheRealAIPhone

http://po.st/HWSG",11,video
11,55,2017-09-22T03:00:00+0000,269055023104718_1720302474646625,8689,https://www.facebook.com/HuaweiMobileSG/photos/a.276734435670110.77050.269055023104718/1720302317979974/?type=3,"We're feeling lit with the #HuaweiP10 this Deepavali! 😉

Want to know how? Just swipe right on your camera app to access the Night Mode function. Easy.

Tag us in your photos and you just might be featured! 

📷 Captured by @xavlur. #HuaweiSG #P10SG",425,photo
12,9,2017-09-22T01:14:05+0000,269055023104718_1721233981220141,115,https://www.facebook.com/HuaweiMobileSG/photos/a.276734435670110.77050.269055023104718/1721232327886973/?type=3,"Hello Singapore! Huawei is looking for the next generation of photographers!
Join #HuaweiNEXTIMAGE Awards and showcase your best work to win $$CASH$$ USD$20,000! Visit http://bit.ly/2hkG8tZ for more details.

Winners will be announced on December 19. What are you waiting for?  #OO #MakeItPossible",26,photo
13,58,2017-09-21T03:00:29+0000,269055023104718_1720299394646933,7735,https://www.facebook.com/HuaweiMobileSG/photos/a.276734435670110.77050.269055023104718/1720298987980307/?type=3,"If you’ve dropped by Little India recently, you’ll notice the streets are beautifully lit to mark the coming of Deepavali. 

Show us how you've captured the night on your Huawei camera phone and share them with us for a chance to be featured ✨✨✨

📷 Shot by @xavlur. #HuaweiSG #P10SG",1556,photo
14,3,2017-09-20T10:00:00+0000,269055023104718_1717268361616703,62,https://www.facebook.com/HuaweiMobileSG/photos/a.276734435670110.77050.269055023104718/1717267968283409/?type=3,"Unlock your full potential with #HuaweiMate10, powered by #Kirin970. Coming soon… #HuaweiMobileAI #IFA2017

Explore now: http://po.st/HWSG",4,photo
15,0,2017-09-19T10:00:00+0000,269055023104718_1717264334950439,53,https://www.facebook.com/HuaweiMobileSG/videos/1717264334950439/,"We at #Huawei believe people want a device that can understand and predict their needs in an innately human way. #Kirin970 #HuaweiMobileAI

Find out more: http://po.st/HWSG",16,video
16,0,2017-09-18T08:00:00+0000,269055023104718_1712324232111116,34,https://www.facebook.com/HuaweiMobileSG/videos/1712324232111116/,"#Kirin970. Ultra-Fast NPU Processing Speed. #HuaweiMobileAI #IFA2017

#TheRealAIPhone
More at: http://po.st/HWSG",7,video
17,94,2017-09-18T02:38:57+0000,269055023104718_1717245884952284,2024,https://www.facebook.com/HuaweiMobileSG/photos/a.1717245821618957.1073741878.269055023104718/1717245884952284/?type=3,"In Singapore, we may not know what it’s like to have seasons, but we do know orange is now the new black at Gardens by the Bay. Get creative with your #HuaweiP10 and savour the lavish orange hues of the Autumn Harvest garden trail. 

Need some inspiration? Flip through our album and indulge your eyes in its rich autumn tones.

Learn more: http://po.st/ExploreP10Plus",191,photo
18,4,2017-09-17T05:00:00+0000,269055023104718_1710423842301155,299,https://www.facebook.com/HuaweiMobileSG/photos/a.276734435670110.77050.269055023104718/1710423578967848/?type=3,"Sometimes all we need is a different perspective. Don’t be afraid to shake things up, even if it means turning the world upside down. #HuaweiSG #P10SG

Shot by @captaindop with his #HuaweiP10 

Learn more: http://po.st/ExploreP10Plus",6,photo
19,2,2017-09-17T03:00:00+0000,269055023104718_1712315955445277,11,https://www.facebook.com/HuaweiMobileSG/videos/1712315955445277/,"#Kirin970's new heterogeneous computing architecture delivers up to 25x the performance with 50x greater efficiency #HuaweiMobileAI #IFA2017

#TheRealAIPhone
More at: http://po.st/HWSG",1,video
20,2,2017-09-17T02:00:00+0000,269055023104718_1710267975650075,98,https://www.facebook.com/HuaweiMobileSG/videos/1710267975650075/,"Use your time wisely and multitask on-the-go with the #HuaweiP10’s Split Screen feature. Also available on the #HuaweiMate9. Watch to see how easy it is to use 😎

Learn more: http://po.st/HWSG",17,video
21,0,2017-09-16T06:00:00+0000,269055023104718_1707606389249567,39,https://www.facebook.com/HuaweiMobileSG/photos/a.276734435670110.77050.269055023104718/1707606302582909/?type=3,"#Kirin970 combines the core trinity of high density, high energy efficiency and a high processing speed. #HuaweiMobileAI #IFA2017

#TheRealAIPhone
More at: http://po.st/HWSG",3,photo
22,0,2017-09-16T05:00:00+0000,269055023104718_1710423428967863,185,https://www.facebook.com/HuaweiMobileSG/photos/a.276734435670110.77050.269055023104718/1710422762301263/?type=3,"They might not be the best at poses, but you can always count on your friends to be role models for making moments come to life. 😎 #HuaweiSG #P10SG

Moments captured by @captaindop using his #HuaweiP10 

Learn more: http://po.st/ExploreP10Plus",2,photo
23,151,2017-09-15T14:37:49+0000,269055023104718_1714686458541560,496,https://www.facebook.com/HuaweiMobileSG/videos/1714686458541560/,"Let's face it, facial recognition isn't for everyone.
Unlock the future with #TheRealAIPhone. 16.10.2017",437,video
24,0,2017-09-14T06:00:00+0000,269055023104718_1707604065916466,16,https://www.facebook.com/HuaweiMobileSG/photos/a.276734435670110.77050.269055023104718/1707603809249825/?type=3,"We are moving into the future, delivering the ultimate intelligent experience. #HuaweiMobileAI #IFA2017

#TheRealAIPhone
More at: http://po.st/HWSG",1,photo
25,32,2017-09-14T05:00:00+0000,269055023104718_1710418635635009,905,https://www.facebook.com/HuaweiMobileSG/photos/a.276734435670110.77050.269055023104718/1710416898968516/?type=3,"The world looks different from up high. Keep climbing as high as you can, and eventually, you’ll see everything. Which are your favourite urban landscapes? Share your photos for a chance to be featured 😉

Captured on the #HuaweiP10 by the awesome @captaindop 📷

Learn more: http://po.st/ExploreP10Plus  #HuaweiSG #P10SG",21,photo
26,16,2017-09-14T01:00:00+0000,269055023104718_1712340025442870,251,https://www.facebook.com/HuaweiMobileSG/videos/1712340025442870/,"#HuaweiMate10 is coming! With intelligent power-saving technology and SuperCharge, the story of true safety is ready to be told... 16.10.17

#TheRealAIPhone

More at: http://po.st/HWSG",48,video
27,7,2017-09-13T13:00:00+0000,269055023104718_1712330648777141,69,https://www.facebook.com/HuaweiMobileSG/videos/1712330648777141/,"Faster than fast. Take the lead with the extraordinary #HuaweiMate10 with #Kirin970, the world’s first mobile AI. #HuaweiMobileAI

#TheRealAIPhone

More at: http://po.st/HWSG",13,video
28,29,2017-09-13T10:00:00+0000,269055023104718_1712325942110945,228,https://www.facebook.com/HuaweiMobileSG/videos/1712325942110945/,"Why wait for a 10 year anniversary when you can capture every moment of your life with a dual #LeicaCamera lens? Coming soon… #HuaweiMate10
#TheRealAIPhone

More at: http://po.st/HWSG",51,video
29,4,2017-09-13T03:00:00+0000,269055023104718_1711226048887601,20,https://www.facebook.com/HuaweiMobileSG/photos/a.276734435670110.77050.269055023104718/1711225935554279/?type=3,"Do not go where the path may lead, go instead where there is no path and leave a trail.” – Ralph Waldo Emerson. 

The night is still young, get creative with your #HuaweiP10! Tag us in your photos and you might just be featured! #huaweisg #P10SG

📷 Shot by @captaindop

Learn more: http://po.st/ExploreP10Plus",1,photo
30,5,2017-09-13T01:00:00+0000,269055023104718_1711615615515311,37,https://www.facebook.com/HuaweiMobileSG/videos/1711615615515311/,"Don't follow the crowd. You already know what you need. 
Embrace #TheRealAIPhone. 
#HuaweiMobileAI

More at: http://po.st/HWSG",4,video
31,23,2017-09-12T20:00:00+0000,269055023104718_1711614405515432,196,https://www.facebook.com/HuaweiMobileSG/videos/1711614405515432/,"Come we clap for you. 👏👏👏  The best is yet to come. #TheRealAIPhone 

More at: http://po.st/HWSG",64,video
32,0,2017-09-12T06:00:00+0000,269055023104718_1707601009250105,34,https://www.facebook.com/HuaweiMobileSG/videos/1707601009250105/,The result? A new brain in your mobile. #HuaweiMobileAI #IFA2017,4,video
33,30,2017-09-12T03:18:34+0000,269055023104718_1711260205550852,420,https://www.facebook.com/HuaweiMobileSG/videos/1711260205550852/,"Take the next step with Huawei. Coming soon. #HuaweiMate10 #HuaweiMobileAI

Learn more: http://po.st/HWSG",68,video
34,1,2017-09-11T06:00:00+0000,269055023104718_1707600639250142,10,https://www.facebook.com/HuaweiMobileSG/photos/a.276734435670110.77050.269055023104718/1707600519250154/?type=3,"The greater the individual intelligence, the better collective intelligence becomes.
#HuaweiMobileAI #IFA2017",1,photo
35,18,2017-09-11T03:00:00+0000,269055023104718_1710265185650354,462,https://www.techgoondu.com/2017/08/28/smartphone-camera-shootout-asus-zenfone-zoom-s-huawei-p10-plus-oppo-r11-samsung-galaxy-s8/,Wilson Wong of @TechGoondu pitted our #HuaweiP10 against others. Read to find out why we came in on top for best in portraiture & night shots. 📷,30,link
