,comments,created_time,id,likes,link,message,shares,type
0,133,2016-06-30T12:15:04+0000,154510491226946_1236945302983454,23188,https://www.facebook.com/LGMobile/photos/a.163547176989944.35156.154510491226946/1236945302983454/?type=3,"Love at first shot: make yourself bloom with the rosy pink #LG #G5. 

✔ Stand out and shine with the #LGG5’s other stylish shades: http://bit.ly/1Vy6Vi3",114,photo
1,182,2016-06-28T12:10:00+0000,154510491226946_1236922242985760,3896,https://www.facebook.com/LGMobile/videos/1236922242985760/,"Are you a hardcore music fan? Get your body pumping with the powerful beats of the H3 by B&O PLAY. 

✔ Life’s good when you Hear More - explore the #LGG5 here: http://bit.ly/1Vy6Vi3

#LG #G5 #H3byBandOPLAY",644,video
2,104,2016-06-27T12:05:00+0000,154510491226946_1236944289650222,22607,https://www.facebook.com/LGMobile/photos/a.163547176989944.35156.154510491226946/1236944289650222/?type=3,"Give your day the soundtrack it deserves with the #LGTonePlatinum with 24 bit Hi-Fi Sound. 

✔ See how else the LG Tone Platinum satisfies your senses:
http://bit.ly/1VvO9rQ

#TonePlatinum #Set_the_Tone",107,photo
3,130,2016-06-25T12:00:01+0000,154510491226946_1231940686817249,5264,https://www.facebook.com/LGMobile/videos/1231940686817249/,"Every potential picture is worth a shot, but making it memorable is a different story. Capture magic moments every time with the LG CAM Plus.  

✔ See how else the LG G5 helps you shape reality: http://bit.ly/1Vy6Vi3

#LG #LGG5 #G5 #LGCAMPlus #CAMPlus",225,video
4,91,2016-06-24T00:00:00+0000,154510491226946_1235307129813938,4283,https://www.facebook.com/LGMobile/videos/1235307129813938/,"Flawlessly curved to perfection, the sleekly designed #LGXstyle takes the #Xseries to the next level. 
With a slimness of 6.9mm, the #LG #Xstyle is the true definition of a stylish device.

✔ See how the LG X style slims down here: https://youtu.be/1058pnzd7qM",280,video
5,220,2016-06-23T12:20:00+0000,154510491226946_1231940510150600,28698,https://www.facebook.com/LGMobile/photos/a.163547176989944.35156.154510491226946/1231940510150600/?type=3,"You won’t need rose-colored glasses to see that the LG G5 looks pretty in pink.  Meet the new look in cutting-edge mobile technology.

✔ Discover the LG G5’s 3 other compelling colors:
 http://bit.ly/1Vy6Vi3

#LG #LGG5 #G5 #LGG5andFriends",249,photo
6,82,2016-06-21T12:30:01+0000,154510491226946_1231897106821607,4036,https://www.facebook.com/LGMobile/videos/1231897106821607/,"Give your smartphone a broader view:  simply slide in the LG CAM Plus and watch the world get bigger!

✔ Meet the #LGG5’s other marvelous modules: http://bit.ly/1Vy6Vi3

#LG #G5 #LGCAMPlus #CAMPlus",150,video
7,195,2016-06-20T12:00:00+0000,154510491226946_1231896626821655,21403,https://www.facebook.com/LGMobile/photos/a.163547176989944.35156.154510491226946/1231896626821655/?type=3,"Get your #LGTonePlatinum in stunning black, silver, gold or grey, the hallmark colors of an all-round perfect design. 

✔ See how else the LG Tone Platinum will color your world:
http://bit.ly/1VvO9rQ
 
#TonePlatinum #Set_the_Tone",226,photo
8,146,2016-06-18T12:30:00+0000,154510491226946_1226513727359945,20576,https://www.facebook.com/LGMobile/photos/a.163547176989944.35156.154510491226946/1226513727359945/?type=3,"Let’s see the world as you see it!
Make yourself the center of your world with the LG 360 CAM. 

✔ Find out how LG G5 helps you play more here:
http://bit.ly/1Vy6Vi3

#LG #LGG5 #G5 #LG360CAM #360CAM",259,photo
9,320,2016-06-17T12:15:00+0000,154510491226946_1226513430693308,26824,https://www.facebook.com/LGMobile/photos/a.163547176989944.35156.154510491226946/1226513430693308/?type=3,"LG tunes details to the very edge. Prioritize and personalize with the Dual Camera of X cam and the Second Screen of X screen.

✔ But wait, there’s more! Check out other features here:  
http://bit.ly/1KM4uFn

#LG #LGXseries #Xseries #LGXcam #Xcam #LGXscreen #Xscreen",560,photo
10,127,2016-06-16T12:10:00+0000,154510491226946_1226512630693388,4874,https://www.facebook.com/LGMobile/videos/1226512630693388/,"Hop onto the LG G5 and sail through a universe of unlimited excitement. 

✔ Enter the LG G5 space here: http://bit.ly/1Vy6Vi3

#LG #LGG5 #G5 #LGG5andFriends",326,video
11,96,2016-06-16T07:09:06+0000,154510491226946_1231197000224951,4182,https://www.facebook.com/LGMobile/videos/1231197000224951/,"DEFINE YOUR EDGE
Time to forget about the battery anxiety. 
Introducing the #LGXpower, first of the four 2nd wave #Xseries.
With an extra-long lasting and faster charging 4,100mAh battery, the #LG #Xpower will be your next point of surprise.

✔ Get stunned by its remarkable power for the 2nd time here: https://youtu.be/3KSZrBo33Ks",263,video
12,93,2016-06-14T12:05:00+0000,154510491226946_1226512027360115,4051,https://www.facebook.com/LGMobile/videos/1226512027360115/,"Wider screens bring on bigger fun!
Take in more visual elements with LG G5’s Wide Angle Lens for a colorful blast!

✔ Looking for more ways for more #LGG5 fun? Click here: http://bit.ly/1Vy6Vi3

#LG #G5 #WideAngleLens",158,video
13,143,2016-06-13T12:15:01+0000,154510491226946_1227025407308777,19695,https://www.facebook.com/LGMobile/photos/a.163547176989944.35156.154510491226946/1227025407308777/?type=3,"#LGTonePlatinum
Have you ever experienced the complexity of sound waves at their fullest extent?

✔ See why the LG Tone Platinum is worth the praise: http://bit.ly/1VvO9rQ

#TonePlatinum #Set_the_Tone",219,photo
14,123,2016-06-11T12:20:00+0000,154510491226946_1222661987745119,4713,https://www.facebook.com/LGMobile/videos/1222661987745119/,"Don’t let your phone slow you down with the #LGG5’s slide-out battery, a quick swap is all it takes to keep you on the move!

✔ Find out how LG G5 helps you play more here: http://bit.ly/1Vy6Vi3

#LG #G5",168,video
15,190,2016-06-10T12:15:00+0000,154510491226946_1222660667745251,5155,https://www.facebook.com/LGMobile/videos/1222660667745251/,"Turn your imagination into reality with the #LGStylus2Plus, the smartphone that seamlessly blends style and innovation.

✔ Watch how the LG Stylus 2 Plus brings ideas to life here: http://bit.ly/1O3WzEV

#LG #Stylus2Plus",470,video
16,167,2016-06-09T12:30:00+0000,154510491226946_1222660377745280,20297,https://www.facebook.com/LGMobile/photos/a.163547176989944.35156.154510491226946/1222660377745280/?type=3,"Sometimes no words are needed to make a big statement. 
Be bold with the #LGG5 in titan. 

✔ See how else the LG G5 makes a big impression here: http://bit.ly/1Vy6Vi3

#LG #G5",134,photo
17,130,2016-06-07T12:10:00+0000,154510491226946_1222660074411977,4944,https://www.facebook.com/LGMobile/videos/1222660074411977/,"The world as you know it has changed forever  - experience the ‘new’ normal with the #LG360VR.

✔ Discover how #LGG5 makes the unreal possible here: http://bit.ly/1Vy6Vi3

#LG #G5 #360VR #LGG5andFriends",300,video
18,130,2016-06-06T12:05:01+0000,154510491226946_1222659884411996,18334,https://www.facebook.com/LGMobile/photos/a.163547176989944.35156.154510491226946/1222659884411996/?type=3,"An immediate attention grabber, the #LGTonePlatinum’s sleek metal design perfected through meticulous craftsmanship will allow no eyes to escape. 
 
✔ Explore the wonders of the #LG Tone Platinum here: http://bit.ly/1VvO9rQ
 
#TonePlatinum #Set_the_Tone",149,photo
19,116,2016-06-04T12:20:00+0000,154510491226946_1219944181350233,3777,https://www.facebook.com/LGMobile/videos/1219944181350233/,"Make your ears happy every time you plug in the LG Hi-Fi Plus with B&O PLAY, a portable acoustic module featuring 32bit Hi-Fi DAC + Amp.

✔ How to PLAY with LG Hi-Fi Plus with B&O Play: https://youtu.be/HfAvc6aC4UE

#LG #LGG5 #G5 #LGG5andFriends",193,video
20,111,2016-06-03T12:30:01+0000,154510491226946_1219943981350253,24925,https://www.facebook.com/LGMobile/photos/a.163547176989944.35156.154510491226946/1219943981350253/?type=3,"Capture images as your eyes see them. Give each moment an energetic POP with the LG X cam’s Pop-out Picture function. 

✔ Discover other ways the LG X cam bursts with life here: http://bit.ly/1KM4uFn

#LG #LGXseries #LGXcam #Xcam",231,photo
21,22,2016-06-03T10:00:00+0000,154510491226946_1221936477817670,249,https://www.facebook.com/LGMobile/photos/a.163547176989944.35156.154510491226946/1221935727817745/?type=3,"#WorldEnvironmentDay2016
Want to take part in the global preservation movement? Here are #LG’s easy-to-follow ways to support valuable heritage sites around the world! Always remember to be aware, to spread the words and to take action.

✔ Watch how famous heritage sites are shown through the #LG360CAM! : http://bit.ly/1X2BVHT
 
#LGG5 #G5 #360CAM",22,photo
22,186,2016-06-02T12:05:00+0000,154510491226946_1219943108017007,6607,https://www.facebook.com/LGMobile/videos/1219943108017007/,"“Slide-out battery successfully docked and we are clear for departure. Full speed, #LGG5!”

✔ Find out all about LG G5's finest features here: http://bit.ly/1Vy6Vi3

#LG #G5 #LGCAMPlus #LGG5andFriends",647,video
23,137,2016-05-31T12:35:00+0000,154510491226946_1218182218193096,23101,https://www.facebook.com/LGMobile/photos/a.163547176989944.35156.154510491226946/1218182218193096/?type=3,"Stunning in silver, the #LGG5 with CAM Plus radiates quality no matter how closely you look.

✔ Find out all about LG's finest features here: https://www.youtube.com/LGMobileHQ

#LG #G5 #LGCAMPlus #CAMPlus #LGG5andFriends",232,photo
24,131,2016-05-30T12:30:00+0000,154510491226946_1218181794859805,14501,https://media.giphy.com/media/3oAt1PQUcWrHDrWaU8/giphy.gif,"'The Pinnacle of Audio Performance and Design'
Carefully crafted inside out to be true to the original sound and to bring a perfect classy style. #LGTonePlatinum.
 
✔ Watch the full version here: http://bit.ly/1VvO9rQ
 
#LG #TonePlatinum #Set_the_Tone",204,link
25,90,2016-05-28T12:00:01+0000,154510491226946_1213656555312329,4996,https://www.facebook.com/LGMobile/videos/1213656555312329/,"More fun at your fingertips - make every moment playful with the LG G5 and Friends.

✔ See how the LG G5 makes life good here: http://bit.ly/1TT91GG

#LG #LGG5 #G5 #LGG5andFriends",316,video
26,179,2016-05-27T12:10:01+0000,154510491226946_1213656355312349,19643,https://www.facebook.com/LGMobile/photos/a.163547176989944.35156.154510491226946/1213656355312349/?type=3,"The LG Stylus 2 does more than just let you draw – it makes every moment fun and special!

✔ See how the LG Stylus 2 channels your creativity:
http://bit.ly/1Mm1t9R

#LG #LGStylus2 #Stylus2",255,photo
27,287,2016-05-26T12:25:00+0000,154510491226946_1213656205312364,30696,https://www.facebook.com/LGMobile/photos/a.163547176989944.35156.154510491226946/1213656205312364/?type=3,"Capture the world all around you with the LG 360 CAM anytime, anywhere.

✔ Give yourself the bigger picture with these super-easy steps:
http://bit.ly/1Ufghg0

#LG #LGG5 #G5 #LG360CAM #360CAM #LGG5andFriends",618,photo
28,103,2016-05-24T12:15:01+0000,154510491226946_1213656101979041,18334,https://www.facebook.com/LGMobile/photos/a.163547176989944.35156.154510491226946/1213656101979041/?type=3,"We all know you can play more with your friends, but did you know you can also play more with the LG G5 Friends?

✔ Want to find out how? Just click here: http://bit.ly/2192t7Y

#LG #LGG5 #G5 #LGG5andFriends",153,photo
29,131,2016-05-23T12:00:00+0000,154510491226946_1215635131781138,21069,https://www.facebook.com/LGMobile/photos/a.163547176989944.35156.154510491226946/1215635131781138/?type=3,"Good sound is nice. GREAT sound is luxurious. Give your ears the best sound possible with the LG Tone Platinum and its premium Qualcomm aptX™ HD wireless codec.

✔ Sound good? Hear (and see) more here: http://bit.ly/1VvO9rQ

#LG #LGTonePlatinum #TonePlatinum #Set_the_Tone",245,photo
30,132,2016-05-21T12:35:00+0000,154510491226946_1208875659123752,15664,https://media.giphy.com/media/3oEjHHuw18LqPzrPSE/giphy.gif,"Make every day a  playful and colorful journey with the LG G5!

✔ Begin the adventure here: http://bit.ly/2192t7Y

#LG #LGG5 #G5",191,link
31,104,2016-05-20T12:20:01+0000,154510491226946_1208874899123828,20114,https://www.facebook.com/LGMobile/photos/a.163547176989944.35156.154510491226946/1208874899123828/?type=3,"Broaden your view without moving a muscle – use the LG X cam’s panorama feature to snap precision wide shots guaranteed to impress.

✔ See how else the LG X cam gives you the bigger picture here:
http://bit.ly/1KM4uFn

#LG #LGXseries #LGXcam #Xcam #Panorama",168,photo
