,comments,created_time,id,likes,link,message,shares,type
0,15,2016-03-31T09:36:02+0000,617257335018572_1004090083001960,173,https://www.facebook.com/LenovoSmartphone/photos/a.627854520625520.1073741828.617257335018572/1004090083001960/?type=3,K5 Plus’ 5” full HD screen takes you further. How many can you see?,5,photo
1,7,2016-03-29T12:12:03+0000,617257335018572_1002181253192843,200,https://www.facebook.com/LenovoSmartphone/photos/a.627854520625520.1073741828.617257335018572/1002181253192843/?type=3,"At 5.5”, VIBE X3’s full HD screen is large enough to accommodate even the biggest baby pics.",4,photo
2,204,2016-03-24T11:00:04+0000,617257335018572_997011980376437,95047,https://www.facebook.com/LenovoSmartphone/photos/a.627854520625520.1073741828.617257335018572/997011980376437/?type=3,Dolby Atmos 3D sound follows the virtual reality gaming action wherever it takes you.,196,photo
3,16,2016-03-21T10:30:21+0000,617257335018572_994098307334471,4113,https://www.facebook.com/LenovoSmartphone/videos/994098307334471/,"Everyone loves kittens and burgers, but which pic gets you the most likes when you share it?",31,video
4,4,2016-03-17T10:45:01+0000,617257335018572_990751764335792,213,https://www.facebook.com/LenovoSmartphone/photos/a.627854520625520.1073741828.617257335018572/990751764335792/?type=3,"Take a trip to paradise during your morning commute with the #A7010, with in-built virtual reality technology.",6,photo
5,88,2016-03-14T10:30:06+0000,617257335018572_988454927898809,53961,https://www.facebook.com/LenovoSmartphone/photos/a.627854520625520.1073741828.617257335018572/988454927898809/?type=3,The world is your oyster with the virtual reality enabled #VIBEX3. Where will you go ﬁrst?,52,photo
6,7,2016-03-10T10:30:03+0000,617257335018572_985684111509224,192,https://www.facebook.com/LenovoSmartphone/photos/a.627854520625520.1073741828.617257335018572/985684111509224/?type=3,"With #VIBEX3’s huge HD screen and virtual reality capabilities, you’ve got a cinema in your pocket.",2,photo
7,107,2016-03-07T10:16:33+0000,617257335018572_983786488365653,52060,https://www.facebook.com/LenovoSmartphone/photos/a.627854520625520.1073741828.617257335018572/983786488365653/?type=3,"Follow us on Instagram to see the best photos taken with Lenovo phones. Share your favorite snaps with #LenovoVIBE and they might be featured!

instagram.com/lenovovibe",67,photo
8,4,2016-03-04T10:30:03+0000,617257335018572_982006378543664,207,https://www.facebook.com/LenovoSmartphone/photos/a.627854520625520.1073741828.617257335018572/982006378543664/?type=3,"VIBE X3’s full HD 5.5” screen is so good you’ll want to run for cover, now with in-built virtual reality technology.",5,photo
9,3,2016-02-26T10:30:03+0000,617257335018572_977788005632168,361,https://www.facebook.com/LenovoSmartphone/photos/a.627854520625520.1073741828.617257335018572/977788005632168/?type=3,"Experience jaw-droppingly vibrant color and stunning details on the #A7010's full HD 5.5"" display.",7,photo
10,6,2016-02-23T10:00:02+0000,617257335018572_975801349164167,245,https://www.facebook.com/LenovoSmartphone/photos/a.627854520625520.1073741828.617257335018572/975801349164167/?type=3,"Relive the awesomeness with your #VIBES1Lite. The front-facing flash takes killer selfies, even in the dark.",3,photo
11,9,2016-02-22T10:30:03+0000,617257335018572_975253832552252,163,https://www.facebook.com/LenovoSmartphone/photos/a.627854520625520.1073741828.617257335018572/975253832552252/?type=3,"Octa-core processor, multiple colors & @Dolby Atmos speakers. #MWC16 http://lnv.gy/214Guoa",8,photo
12,267,2016-02-19T10:00:02+0000,617257335018572_973469306064038,73797,https://www.facebook.com/LenovoSmartphone/photos/a.627854520625520.1073741828.617257335018572/973469306064038/?type=3,Happy New Year – year of the monkey 🐒. Do you know which animal you are?,51,photo
13,4,2016-02-16T10:00:03+0000,617257335018572_971644109579891,233,https://www.facebook.com/LenovoSmartphone/photos/a.627854520625520.1073741828.617257335018572/971644109579891/?type=3,"When the sun goes down, the fun begins. Take brilliant night-time selfies with the #VIBES1Lite's flash.",3,photo
