,comments,created_time,id,likes,link,message,shares,type
0,1,2016-06-28T01:29:38+0000,559086810778560_1261499907203910,7,https://www.facebook.com/Maxwest.Telecom/photos/a.559092130778028.1073741828.559086810778560/1261499907203910/?type=3,"Pick between White and Gold on the Beautifully designed Astro X55.
#MaxwestTelecom #AstroX55 #Beautiful #White #Gold",2,photo
1,0,2016-06-23T19:43:19+0000,559086810778560_1258607300826504,10,https://www.facebook.com/Maxwest.Telecom/photos/a.559092130778028.1073741828.559086810778560/1258607300826504/?type=3,"Try the new UNO X2. Comes in 5 colors Black, White, Gold, Red, and Blue. 
#MaxwestTelecom #UnoX2 #Unlocked #Flashlight",5,photo
2,1,2016-06-10T20:32:31+0000,559086810778560_1250714208282480,6,http://www.maxwesttelecom.com/,Check out our redesigned website www.maxwesttelecom.com.,2,link
3,0,2016-05-24T17:06:30+0000,559086810778560_1240725019281399,6,https://www.facebook.com/Maxwest.Telecom/photos/a.559092130778028.1073741828.559086810778560/1240725019281399/?type=3,"Enjoy Playing games and watching videos on the 7"" screen of the Tab 7270K
#MaxwestTelecom #7inch #Games #videos #Tablet",1,photo
4,0,2016-05-16T16:29:33+0000,559086810778560_1234308913256343,9,https://www.facebook.com/Maxwest.Telecom/photos/a.559092130778028.1073741828.559086810778560/1234308913256343/?type=3,"Make shopping online simple and easier with the Nitro X5. 
#MaxwestTelecom #NitroX5 #Shop #Simple #Easy",2,photo
5,1,2016-05-12T18:17:50+0000,559086810778560_1233595269994374,9,https://www.facebook.com/Maxwest.Telecom/photos/a.559092130778028.1073741828.559086810778560/1233595269994374/?type=3,"Listen to all the latest music on the Astro X55, while still looking stylish with its gold metallic body.
#MaxwestTelecom #AstroX55 #MediaTek #Gold #Beautiful #Slim #Music #Stylish",4,photo
6,1,2016-05-05T17:27:47+0000,559086810778560_1227967570557144,11,https://www.facebook.com/Maxwest.Telecom/photos/a.559092130778028.1073741828.559086810778560/1227967570557144/?type=3,"Work out with the Gravity 5.5 LTE. Allow the Gravity 5.5 LTE to help guide you to your goal.
#MaxwestTelecom #Gravity55LTE #Workout #Fitness #MediaTek",2,photo
7,0,2016-05-05T00:10:34+0000,559086810778560_1227265793960655,9,https://www.facebook.com/Maxwest.Telecom/photos/a.559092130778028.1073741828.559086810778560/1227265793960655/?type=3,"Bring back the Flip with the VIce. The Vice now comes in Black, Red, Silver, Blue and Gold.
#MaxwestTelecom #Vice #Flip #NewColors",1,photo
8,0,2016-04-21T17:22:18+0000,559086810778560_1216680271685874,6,https://www.facebook.com/Maxwest.Telecom/photos/a.559092130778028.1073741828.559086810778560/1216680271685874/?type=3,"Be the center of attention with the Astro X55. With its slim beautiful design, you will be what everyone is talking about.
#MaxwestTelecom #AstroX55 #MediaTek #Beautiful #Slim #QuadCore",1,photo
9,0,2016-04-04T17:26:18+0000,559086810778560_1205217672832134,7,https://www.facebook.com/Maxwest.Telecom/photos/a.559092130778028.1073741828.559086810778560/1205217672832134/?type=3,"Enjoy watch videos and listening to music on the 6 inch IPS HD Screen of the Astro 6.
#MaxwestTelecom #Astro6 #MediaTek #Video #6inch #Android #IPS #HDScreen",1,photo
