,comments,created_time,id,likes,link,message,shares,type
0,11,2016-06-30T11:09:21+0000,293136617409912_1149087985148100,293,https://media.giphy.com/media/l41YcQf1uphnE8PJK/giphy.gif,Let’s celebrate the digital revolution happening right before our eyes. Happy #SocialMediaDay to one and all.,5,link
1,20,2016-06-29T12:47:10+0000,293136617409912_1148503081873257,503,http://gph.is/292riPx,"If you love clicking pictures more than anything else, then today is your day! Happy Camera Day to the photographer in you!
#CameraDay",10,link
2,10,2016-06-28T15:30:00+0000,293136617409912_1147799225276976,76,https://www.facebook.com/MyXOLO/photos/a.349463731777200.83297.293136617409912/1147799225276976/?type=3,A XOLO phone user is in awe with his Era 4G . Check out the reason in his review. #MobileReview,1,photo
3,5,2016-06-28T12:04:40+0000,293136617409912_1147795451944020,62,http://bit.ly/1Ox55XJ,"A techie must have access to all the shortcuts. Era 4K comes with gesture control, so just type a 'M' to play Music and much more. Buy on @snapdeal at Rs 5999. Buy Now: http://bit.ly/1Ox55XJ",4,link
4,9,2016-06-27T15:42:18+0000,293136617409912_1147265248663707,43,https://www.facebook.com/MyXOLO/photos/a.349463731777200.83297.293136617409912/1147265248663707/?type=3,"Here's the perfect solution to remotely locate your phone and save your phone data or even erase it once you have lost your phone. #LostMobile #GetSmart 
Android Device Manager Website: http://bit.ly/28Zs3yd",5,photo
5,9,2016-06-27T12:03:32+0000,293136617409912_1147168395340059,101,https://www.facebook.com/MyXOLO/photos/a.349463731777200.83297.293136617409912/1147168395340059/?type=3,"Confused how to priortize between camera, display and speed? Don't be anymore, enjoy the thrill of three with Black 1X at Rs 7999. Buy now on Snapdeal: http://bit.ly/1rQDEDs",10,photo
6,8,2016-06-26T15:30:00+0000,293136617409912_1146555322068033,58,https://www.facebook.com/MyXOLO/photos/a.349463731777200.83297.293136617409912/1146555322068033/?type=3,"Just like India, XOLO gives you the freedom to communicate in your choice of language. Era 4G comes with inbuilt 10 regional languages. Buy Now: http://bit.ly/1NwiS5U",10,photo
7,6,2016-06-26T11:20:59+0000,293136617409912_1146554825401416,99,https://www.facebook.com/MyXOLO/photos/a.349463731777200.83297.293136617409912/1146554825401416/?type=3,"A snapdeal verified buyer shares his amazing experience of Era X. You too can share your reviews with us. #MobileReview
Buy Now: http://bit.ly/1rQDEDs",10,photo
8,8,2016-06-25T10:30:00+0000,293136617409912_1145798728810359,81,https://media.giphy.com/media/26BRrve3Iu2GSfhYc/giphy.gif,"To help solve our customers' dilemma, here's the easiest way to choose which phone to buy from the Era series. Stop and find out.
Buy Now on Snapdeal: http://bit.ly/XoloSDFB",5,link
9,12,2016-06-25T07:30:00+0000,293136617409912_1145305828859649,46,https://www.facebook.com/MyXOLO/photos/a.349463731777200.83297.293136617409912/1145305828859649/?type=3,"#ServiceSaturdays Want to know the service status of your XOLO handset or have any other service query? Ask now until 4 pm, our service team will be here to take up all your queries. Just keep your service complaint number and job-sheet ready!”",7,photo
