,comments,created_time,id,likes,link,message,shares,type
0,14,2017-09-30T11:39:59+0000,420475208340888_634625453592528,647,https://www.facebook.com/Nokiamobile/videos/634625453592528/,Never miss a chance to dance. #UniteFor #Community,9,video
1,56,2017-09-29T15:53:08+0000,420475208340888_634175123637561,1416,https://www.facebook.com/Nokiamobile/videos/634175123637561/,Looking for excellent battery life and improved graphics performance? Don’t settle for anything less with Qualcomm® Snapdragon™!,56,video
2,200,2017-09-28T15:00:00+0000,420475208340888_632499197138487,2934,https://www.facebook.com/Nokiamobile/photos/a.460877740967301.1073741828.420475208340888/632499017138505/?type=3,"Stay colorful, customizable and get your game on (did somebody say Snake? 🐍) with the new #Nokia3310 3G. Now with 3G connectivity - so you can connect when you want, how you want. #Nokiamobile",101,photo
3,317,2017-09-28T03:19:48+0000,420475208340888_632500667138340,2519,https://www.facebook.com/Nokiamobile/videos/632500667138340/,"Introducing #Nokia3310 3G – For the originals. Colorful, customizable and more connected than ever. Talk and text (tweet and Facebook, if you must!) with this reimagined classic. #Nokiamobile www.nokia.com/nokia3310-3g",601,video
4,108,2017-09-26T15:43:46+0000,420475208340888_631430353912038,1634,https://www.facebook.com/Nokiamobile/videos/631430353912038/,Getting snapped monkeying around? Share #Bothie sides of the story! 🐒#Nokia8,83,video
5,237,2017-09-25T14:15:56+0000,420475208340888_630510867337320,4381,https://www.facebook.com/Nokiamobile/photos/a.460877740967301.1073741828.420475208340888/630510777337329/?type=3,Automatic scene detection helps you get great shots - even with a tricky model! #Nokia6,107,photo
6,134,2017-09-24T10:36:41+0000,420475208340888_629811890740551,2459,https://www.facebook.com/Nokiamobile/photos/a.460877740967301.1073741828.420475208340888/629811854073888/?type=3,"The Nokia 3 makes memories that last, long after the confetti has settled! 🎉 #Nokia3",41,photo
7,112,2017-09-22T10:44:21+0000,420475208340888_628658877522519,3725,https://www.facebook.com/Nokiamobile/photos/a.460877740967301.1073741828.420475208340888/628658830855857/?type=3,Friday + friends = fun ahead! #Nokiamobile #FeelGoodFriday #FridayFeeling,66,photo
8,122,2017-09-20T13:21:33+0000,420475208340888_627312724323801,1700,https://www.facebook.com/Nokiamobile/videos/627312724323801/,Two can play that game! You'll never miss a trick with the Nokia 8 Dual-Sight mode.🏀  #Nokia8 #Bothie,94,video
9,1,2017-09-18T14:56:38+0000,420475208340888_625277004527373,559,https://www.facebook.com/Nokiamobile/videos/625277004527373/,Age is just a state of mind. #UniteFor #AllGenerations,8,video
10,99,2017-09-15T12:32:33+0000,420475208340888_622970211424719,1301,https://giphy.com/gifs/3ov9jYScvjHFXMIhQA,Plans for the weekend? Tell us about it with emoji! 😎 #Nokia3310,63,link
11,35,2017-09-13T14:49:18+0000,420475208340888_621749288213478,845,https://www.facebook.com/Nokiamobile/videos/621749288213478/,Hear the difference with Nokia OZO Audio (you'll want to turn the sound on for this one!) 🎶 #Nokia8,25,video
12,102,2017-09-11T09:00:00+0000,420475208340888_620492638339143,1576,https://www.facebook.com/Nokiamobile/videos/620492638339143/,Because every Monday needs a pop of colour! Brighten yours up with the #Nokia3310,102,video
13,138,2017-09-09T11:00:00+0000,420475208340888_619204421801298,2008,https://www.facebook.com/Nokiamobile/videos/619204421801298/,What better phone than the #Nokia3310 to get stuck in the mud with this festival season?!,95,video
14,158,2017-09-08T15:00:00+0000,420475208340888_619089225146151,2353,https://www.facebook.com/Nokiamobile/videos/619089225146151/,Capture moments and make them last. The #Nokia3 will help you get the shot.,147,video
15,51,2017-09-06T15:00:00+0000,420475208340888_617942948594112,1685,https://www.facebook.com/Nokiamobile/photos/a.460877740967301.1073741828.420475208340888/617942421927498/?type=3,Counting down the minutes until your next play…? 🐍 #SnakeIsLife,28,photo
16,130,2017-09-04T08:57:14+0000,420475208340888_616827542038986,3681,https://www.facebook.com/Nokiamobile/photos/a.460877740967301.1073741828.420475208340888/616827478705659/?type=3,Usually more of a toe dipper? Dive head first into the week!  #Nokiamobile,81,photo
17,135,2017-09-01T14:00:00+0000,420475208340888_615371865517887,2613,https://www.facebook.com/Nokiamobile/videos/615371865517887/,When you're feeling blue for all the right reasons #Nokia5,142,video
18,208,2017-08-31T14:00:00+0000,420475208340888_614760068912400,3195,https://www.facebook.com/Nokiamobile/videos/614760068912400/,"A rigorous 40-stage process of machining, anodizing and polishing  - now that's craftsmanship! #Nokia8",362,video
19,36,2017-08-29T16:45:31+0000,420475208340888_613807702340970,1809,https://www.facebook.com/Nokiamobile/videos/613807702340970/,3D spatial surround sound with Nokia OZO Audio technology. You heard it here first. #Nokiamobile #Nokia8,89,video
20,56,2017-08-25T14:00:00+0000,420475208340888_611156459272761,1705,https://www.facebook.com/Nokiamobile/videos/611156459272761/,The world's first smartphone with Nokia OZO Audio technology. Exclusive Hollywood technology in the palm of your hand… PS Grab your 🎧 and enjoy Nokia OZO Audio #Nokiamobile #Nokia8,123,video
21,60,2017-08-24T15:32:15+0000,420475208340888_611151729273234,1582,https://www.facebook.com/Nokiamobile/videos/611151729273234/,Want to know what it takes to tell #Bothie sides of the story with the Nokia 8? Check this out... #Nokia8,150,video
22,113,2017-08-24T11:08:38+0000,420475208340888_611035169284890,2729,https://www.facebook.com/Nokiamobile/photos/a.460877740967301.1073741828.420475208340888/611035025951571/?type=3,Huge congratulations to Stefan and Jovsa - the lucky winners in our exclusive Nokia 8 giveaway with YouTubers TechfastLunch&Dinner and Krystal Key! #Nokia8,51,photo
23,189,2017-08-21T14:43:42+0000,420475208340888_609513132770427,2903,https://www.facebook.com/Nokiamobile/videos/609513132770427/,"Nokia 8 is the world’s first smartphone that lets you use both front and back cameras simultaneously to broadcast live on Facebook Live™ and YouTube Live, right from the camera. Share #Bothie sides of the story! #Nokia8",437,video
24,207,2017-08-20T18:39:10+0000,420475208340888_609025196152554,2075,https://www.youtube.com/watch?v=ZXBgc4wfdmI&feature=share,"Want to be the first to get your hands on the new Nokia 8?! Simply head over to TechfastLunch&Dinner and Krystal Key's YouTube channels now, comment on their new video and you could be in to win! #Nokiamobile #Giveaway

https://youtu.be/ZXBgc4wfdmI
https://youtu.be/61PoN3ogqog
 
T&C’s apply: http://nokia.ly/2wldD5q",80,video
25,95,2017-08-18T16:37:31+0000,420475208340888_607922149596192,2582,https://www.facebook.com/Nokiamobile/videos/607922149596192/,"""A uniquely luxurious marriage of function and form"" - learn more about the new Nokia 8 from the team who designed it. #Nokiamobile #Nokia8",448,video
26,69,2017-08-17T15:42:37+0000,420475208340888_607325766322497,2113,https://www.facebook.com/Nokiamobile/videos/607325766322497/,It was a Nokia Mobile takeover at London's Tower Bridge last night as we introduced the new Nokia 8 to the world! Check out what happened... #Nokiamobile #Nokia8,267,video
27,268,2017-08-16T20:18:08+0000,420475208340888_606668349721572,3315,https://www.facebook.com/Nokiamobile/videos/606668349721572/,Hello #Bothie! The world’s first smartphone to broadcast live with both cameras simultaneously. Meet the Nokia 8. #Nokiamobile http://nokia.ly/2uIvliT,1465,video
28,2307,2017-08-16T19:14:53+0000,420475208340888_606633206391753,16814,https://www.facebook.com/Nokiamobile/photos/a.460877740967301.1073741828.420475208340888/606632956391778/?type=3,"Introducing the new Nokia 8, our most powerful Android smartphone yet. Share both sides of the story with the new Dual-Sight mode. Be less Selfie. Be more #Bothie. http://nokia.ly/2uIvliT",6201,photo
29,21,2017-08-15T16:51:19+0000,420475208340888_605989043122836,884,https://www.facebook.com/Nokiamobile/photos/a.460877740967301.1073741828.420475208340888/605985363123204/?type=3,"YouTubers Ali-A and TechfastLunch&Dinner are taking over London! Check out their YouTube channels tomorrow at 7:30pm (BST) to find out why... #Nokiamobile 
https://www.youtube.com/Matroix
https://www.youtube.com/tldtoday",43,photo
30,32,2017-08-14T14:00:00+0000,420475208340888_605254266529647,1003,https://giphy.com/gifs/l1J3QkkAHAGx4fxyo,Fancy yourself as a bit of a conversationalist? Get chatty from sunrise to sunset with the Nokia 105.,24,link
31,22,2017-08-13T11:00:00+0000,420475208340888_603559813365759,777,https://www.facebook.com/Nokiamobile/videos/603559813365759/,When all that you and your friends have done this weekend is play Snake. #SnakeIsLife,40,video
32,84,2017-08-11T14:35:56+0000,420475208340888_603554013366339,1424,https://www.facebook.com/Nokiamobile/photos/a.460877740967301.1073741828.420475208340888/603553936699680/?type=3,Nearly the weekend! Now that's something to smile about 😃 #FeelGoodFriday #Nokia5,23,photo
33,56,2017-08-09T14:00:00+0000,420475208340888_602191276835946,1233,https://giphy.com/gifs/l1J3LLoGn1mC1eK1G,"Live life in colour on the larger 1.8"" screen with the new Nokia 105.",30,link
34,177,2017-08-08T09:40:59+0000,420475208340888_601490520239355,2294,https://www.facebook.com/Nokiamobile/videos/601490520239355/,Because who doesn't love cats?! 😻  #InternationalCatDay #Nokiamobile,218,video
35,131,2017-08-07T08:00:00+0000,420475208340888_598514697203604,2995,https://www.facebook.com/Nokiamobile/photos/a.460877740967301.1073741828.420475208340888/598514440536963/?type=3,"Coffee, cake and Nokia 3310. A perfect start to the week! #MondayMotivation #Nokiamobile",104,photo
36,43,2017-08-05T14:00:00+0000,420475208340888_598513637203710,777,https://giphy.com/gifs/3oEhmMpnuACEu1PMPK,Dropped your keys? Spot of late night reading? Or just plain old afraid of the dark? The LED torch on the new Nokia 105 is here for you…,19,link
37,22,2017-08-04T14:00:00+0000,420475208340888_598512783870462,765,https://www.facebook.com/Nokiamobile/videos/598512783870462/,🐍 Sss…uper! 🎉,26,video
38,97,2017-08-02T14:00:00+0000,420475208340888_597973743924366,1296,https://www.facebook.com/Nokiamobile/videos/597973743924366/,There's life in the lens yet! Capture and evoke emotion with the all new Nokia 3. #Nokiamobile,64,video
39,25,2017-08-01T14:00:01+0000,420475208340888_597504900637917,682,https://www.facebook.com/Nokiamobile/videos/597504900637917/,"South Africa’s Buhle Sithela is using cinema as a vessel to unite, educate and inspire his community. Watch his incredible story. #UniteFor #Community",61,video
40,76,2017-07-31T15:59:11+0000,420475208340888_597061997348874,1056,https://www.facebook.com/Nokiamobile/videos/597061997348874/,Feed your playful side. The all new Nokia 130 has arrived…,59,video
41,22,2017-07-29T14:00:00+0000,420475208340888_595524417502632,551,https://giphy.com/gifs/l1J3UDEeEmDqjXyDK,"Whether you're into Taylor, techno or Tchaikovsky – grab your headset and stay connected with Nokia 105 and FM radio. 🎵🎶",24,link
42,213,2017-07-28T14:08:22+0000,420475208340888_595125297542544,2160,https://www.facebook.com/Nokiamobile/photos/a.460877740967301.1073741828.420475208340888/595125087542565/?type=3,"The Nokia 3 is built not just for life, but for living. Who's ready? #Nokia3 #Nokiamobile",93,photo
43,80,2017-07-26T14:00:00+0000,420475208340888_593653647689709,1307,https://www.facebook.com/Nokiamobile/videos/593653647689709/,A look that lasts. Meet the new Nokia 130.,85,video
44,21,2017-07-24T14:00:00+0000,420475208340888_592282017826872,632,https://www.facebook.com/Nokiamobile/videos/592282017826872/,The Spurgeons Ballet programme is giving children of the Kibera slum new hope by uniting through a beautiful art form. #UniteFor #Community,17,video
45,55,2017-07-22T14:00:00+0000,420475208340888_589084248146649,1048,https://giphy.com/gifs/3ohzgOd0ZZDh4yM68o,So many great games with the new Nokia 105! (Warning: may cause hours of procrastination),46,link
46,30,2017-07-21T11:00:00+0000,420475208340888_589080258147048,813,https://www.facebook.com/Nokiamobile/photos/a.460877740967301.1073741828.420475208340888/589080258147048/?type=3,You know you've been playing too much Snake when you start to see it. Everywhere. #SnakeIsLife,31,photo
47,84,2017-07-20T13:00:00+0000,420475208340888_589076494814091,1086,https://www.facebook.com/Nokiamobile/videos/589076494814091/,Craft. Quality. Nokia. #Nokiamobile,67,video
48,137,2017-07-17T12:00:00+0000,420475208340888_587061508348923,1936,https://www.nokia.com/en_int/phones/nokia-130,Meet the new Nokia 130 – feed your playful side. #Nokiamobile,216,link
49,142,2017-07-17T04:15:00+0000,420475208340888_584733968581677,2186,https://www.facebook.com/Nokiamobile/videos/584733968581677/,The new Nokia 105 is here – designed to take on the everyday. #Nokiamobile,532,video
50,219,2017-07-14T14:00:00+0000,420475208340888_583920078663066,2929,https://www.facebook.com/Nokiamobile/photos/a.460877740967301.1073741828.420475208340888/583920078663066/?type=3,Going away this weekend? Don't forget the essentials! #FeelGoodFriday,74,photo
51,209,2017-07-10T11:20:03+0000,420475208340888_581668152221592,2532,https://www.facebook.com/Nokiamobile/videos/581668152221592/,New week. Brush the dust off and pick yourself (and a Nokia smartphone) up. #MondayMotivation #Nokia3,159,video
52,123,2017-07-09T11:43:50+0000,420475208340888_580869645634776,2008,http://www.androidauthority.com/hmd-nokia-zeiss-camera-tech-partnership-784937/,ICYMI: The rekindling of the long-lasting relationship between ZEISS Camera Lenses and Nokia smartphones has everyone talking. Check out this wrap up from Android Authority #BetterTogether,1,link
