,comments,created_time,id,likes,link,message,shares,type
0,237,2017-06-30T11:55:34+0000,114219621960016_1431398083575490,3967,https://www.facebook.com/SamsungMobile/videos/1431398083575490/,Protect your #GalaxyS8 in superior style with the Alcantara Cover.,219,video
1,3605,2017-06-29T19:01:01+0000,114219621960016_1430463993668899,23270,https://www.facebook.com/SamsungMobile/photos/a.158843140830997.29965.114219621960016/1430463993668899/?type=3,"Introducing the Rose Pink edition for the Galaxy S8+, available in select markets. spr.ly/RosePink",2659,photo
2,450,2017-06-29T11:55:42+0000,114219621960016_1429936093721689,5169,https://www.facebook.com/SamsungMobile/videos/1429936093721689/,Spice up your #GalaxyS8 with colorful shapes and a comfortable grip. #2PieceCover,339,video
3,370,2017-06-28T11:50:30+0000,114219621960016_1428008417247790,6233,https://www.facebook.com/SamsungMobile/videos/1428008417247790/,Watch baseball games from a better angle with the Clear View Standing Cover. #GalaxyS8,546,video
4,112,2017-06-27T11:55:55+0000,114219621960016_1426856084029690,2119,https://www.facebook.com/SamsungMobile/videos/1426856084029690/,This is security. Until now. #GalaxyS8 #UnboxYourPhone,136,video
5,135,2017-06-26T11:55:00+0000,114219621960016_1425767650805200,141377,https://www.facebook.com/SamsungMobile/photos/a.158843140830997.29965.114219621960016/1425767650805200/?type=3,"Because you occasionally use your phone as a phone. Switch to Galaxy, easily keep your contacts. spr.ly/S8SmartSwitch",140,photo
6,91,2017-06-23T12:09:09+0000,114219621960016_1422829851098980,2323,https://www.facebook.com/SamsungMobile/photos/a.158843140830997.29965.114219621960016/1422829851098980/?type=3,"Stay on track, even when you stray from the beaten path. #GearFit2",81,photo
7,68,2017-06-22T12:07:23+0000,114219621960016_1421780131203952,2481,https://www.facebook.com/SamsungMobile/videos/1421780131203952/,This is sharing. Until now. #GalaxyS8 #Gear360,124,video
8,91,2017-06-21T12:04:56+0000,114219621960016_1420679107980721,2628,https://www.facebook.com/SamsungMobile/videos/1420679107980721/,This is watching. Until now. #GalaxyS8 #UnboxYourPhone,135,video
9,1298,2017-06-20T13:56:26+0000,114219621960016_1419597304755568,94059,https://www.facebook.com/SamsungMobile/videos/1419597304755568/,"Bring all your favorite memories to a phone you’ll love. With Smart Switch, it’s easy to transfer music, photos, videos, contacts, and more to a new #GalaxyS8. Learn more: spr.ly/S8SmartSwitch",2304,video
10,66,2017-06-19T16:50:36+0000,114219621960016_1418552388193393,2122,https://www.facebook.com/SamsungMobile/videos/1418552388193393/,"When the bus breaks down, make the most of your ride with the all-new #GalaxyTabS3.",134,video
