,comments,created_time,id,likes,link,message,shares,type
0,5,2018-03-28T15:00:00+0000,174259145987694_1703088416438085,46,https://www.facebook.com/ToshibaUSA/photos/a.230361817044093.55615.174259145987694/1703088319771428/?type=3,"Never delete another favorite song or photo. Save them all with the Canvio® Basics Portable Hard Drive. To shop online, visit: http://amzn.to/2GBEP11",4,photo
1,9,2018-03-21T15:01:45+0000,174259145987694_1703084756438451,59,https://www.facebook.com/ToshibaUSA/photos/a.230361817044093.55615.174259145987694/1703084643105129/?type=3,"The Canvio® Advance Portable Hard Drive is the small, but mighty powerhouse every photographer needs for reliable storage on the go. Shop online: http://amzn.to/2oObSHQ",3,photo
2,13,2018-03-19T21:47:47+0000,174259145987694_1703307233082870,31,https://youtu.be/7R7RSLDrfDI,Check out our new video for the Toshiba dynaEdge AR Smart Glasses -- https://youtu.be/7R7RSLDrfDI,2,video
3,9,2018-03-14T15:00:00+0000,174259145987694_1691420504271543,41,https://www.facebook.com/ToshibaUSA/photos/a.230361817044093.55615.174259145987694/1691420374271556/?type=3,"Password protection. ✔️ Automatic backup. ✔️ The Canvio® Premium has style, space, and security. To shop online, visit: http://amzn.to/2HjbCbu",2,photo
4,3,2018-03-13T18:32:34+0000,174259145987694_1696576860422574,75,https://www.facebook.com/ToshibaUSA/photos/a.230361817044093.55615.174259145987694/1696576457089281/?type=3,Introducing the first completely wearable Augmented Reality solution to combine the power of @Windows 10 Pro & @Intel with the robust feature set of industrial-grade smart glasses to create the Toshiba dynaEdge AR Smart Glasses. http://bit.ly/2Dp9nB1,12,photo
5,15,2018-03-07T16:00:01+0000,174259145987694_1687916044621989,91,https://www.facebook.com/ToshibaUSA/photos/a.230361817044093.55615.174259145987694/1687915881288672/?type=3,"With 1, 2, and 3TB size options and four colors to choose from, the new Canvio® Advance Portable Hard Drive suits your needs, and your style. To shop online visit: http://amzn.to/2oObSHQ",6,photo
6,17,2018-02-28T16:00:01+0000,174259145987694_1677715812308679,53,https://www.facebook.com/ToshibaUSA/photos/a.230361817044093.55615.174259145987694/1677715658975361/?type=3,"Save and protect all of life’s unforgettable moments with the new Toshiba Canvio® Basics Portable Hard Drive. To shop online, visit: http://amzn.to/2GBEP11",2,photo
7,13,2018-02-28T17:38:38+0000,174259145987694_1682530485160545,53,https://www.facebook.com/ToshibaUSA/photos/a.230361817044093.55615.174259145987694/1682530058493921/?type=3,Be ready for wherever life takes you with the new Canvio® Advance Portable Hard Drive.,3,photo
8,17,2018-02-14T16:00:01+0000,174259145987694_1665827743497486,99,https://www.facebook.com/ToshibaUSA/photos/a.230361817044093.55615.174259145987694/1665827543497506/?type=3,Happy Valentine’s Day! Go make some memories. ;),7,photo
9,21,2018-02-08T18:14:14+0000,174259145987694_1661409823939278,105,https://www.facebook.com/ToshibaUSA/photos/a.230361817044093.55615.174259145987694/1661409740605953/?type=3,"The Toshiba X300 Performance and Gaming Internal Hard Drive is just what you need to take your gaming setup to the next level. To shop online, visit: http://amzn.to/2H1wt3J",14,photo
10,13,2018-01-31T16:00:00+0000,174259145987694_1590963227650605,55,https://www.facebook.com/ToshibaUSA/photos/a.230361817044093.55615.174259145987694/1590963114317283/?type=3,Looking for a better way to backup your content? Look no more! The Canvio® Connect II portable hard drive is it! To shop online visit: http://amzn.to/2Ar63Fa,10,photo
11,9,2018-01-24T16:00:01+0000,174259145987694_1590959154317679,77,https://www.facebook.com/ToshibaUSA/photos/a.230361817044093.55615.174259145987694/1590958987651029/?type=3,The Toshiba X300 Internal Hard Drive delivers high storage density and extreme performance that gamers and creative pros demand. To shop online visit: http://bit.ly/2yQadZ4,7,photo
12,11,2018-01-17T16:00:00+0000,174259145987694_1590957017651226,89,https://www.facebook.com/ToshibaUSA/photos/a.230361817044093.55615.174259145987694/1590956880984573/?type=3,"The Canvio® Premium Portable Drive is all you need, right at your fingertips! To shop online visit: http://amzn.to/2gSgiKP",10,photo
13,14,2018-01-10T16:00:00+0000,174259145987694_1590954284318166,104,https://www.facebook.com/ToshibaUSA/photos/a.230361817044093.55615.174259145987694/1590954104318184/?type=3,The Toshiba N300 NAS Hard Drive is: ✔Built for Network Attached Storage ✔High capacity with up to 8TB1 of storage ✔Excellent for reliability and data integrity… what else could you need? Learn more at: http://bit.ly/2yRZtJy,14,photo
14,30,2018-01-01T16:00:00+0000,174259145987694_1590950790985182,198,https://www.facebook.com/ToshibaUSA/photos/a.230361817044093.55615.174259145987694/1590950640985197/?type=3,Happy New Year from Toshiba!,10,photo
