,comments,created_time,id,likes,link,message,shares,type
0,1,2017-09-29T11:30:03+0000,118592938221174_1494086407338480,37,https://www.facebook.com/ZTECorp/photos/a.175477522532715.46215.118592938221174/1494086364005151/?type=3,"ZTE and Softbank scored the Pre5G Massive MIMO Test in Smart Life Project, aiming to boost network performance, user experience and lower investment costs. http://bit.ly/2x0RHxm",11,photo
1,0,2017-09-29T09:08:35+0000,118592938221174_1494008777346243,43,https://www.facebook.com/ZTECorp/photos/a.175477522532715.46215.118592938221174/1494008680679586/?type=3,"ZTE releases CO re-architecting white paper with an overall network solution to meet operators’ urgent digital transformation needs and users expectations for an agile, open and programmable network. Read more here: http://bit.ly/2yKWYGC",8,photo
2,1,2017-09-28T09:26:44+0000,118592938221174_1493154317431689,47,https://www.facebook.com/ZTECorp/photos/a.175477522532715.46215.118592938221174/1493154207431700/?type=3,"ZTE debuts the first ultra-large-capacity cross-connect platform to help expand traditional PCB backplane with less space, energy and more investment protection! http://bit.ly/2fz9LXO",11,photo
3,0,2017-09-27T09:07:50+0000,118592938221174_1492364527510668,47,https://www.facebook.com/ZTECorp/photos/a.175477522532715.46215.118592938221174/1492364480844006/?type=3,"IoT is changing the world as we know it, and our strategy focuses on four key areas: smart cities, smart homes, industrial IoT and connected vehicles. http://bit.ly/2wiOS6r",14,photo
4,1,2017-09-26T10:13:07+0000,118592938221174_1491579104255877,361,https://www.facebook.com/ZTECorp/photos/a.175477522532715.46215.118592938221174/1491578630922591/?type=3,"ZTE resolves to be an enabler in digital transformation. With the  expertise in smart city, smart solutions and the digital broadband, we plan to bring more advanced ICT solutions, building a reliable network to boost Thailand's rapid digital transformation. http://bit.ly/2xHr5k0",16,photo
5,0,2017-09-26T06:38:26+0000,118592938221174_1491487154265072,32,https://www.facebook.com/ZTECorp/photos/a.175477522532715.46215.118592938221174/1491487090931745/?type=3,"In response to the recent 7.1 magnitude earthquake in Mexico, ZTE took a day off to encourage its staff to assist in post-disaster recovery and relief. We hope our support stand as a gesture of solidarity with our customers and friends in Mexico.",3,photo
6,3,2017-09-22T11:32:15+0000,118592938221174_1488331131247341,35,https://www.facebook.com/ZTECorp/photos/a.175477522532715.46215.118592938221174/1488331011247353/?type=3,"Get ready for the 5G revolution! On ZTE Innovation Day in Hungary, Liu Xiaokang, CEO of ZTE Hungary, said 5G would make the Internet of Everything possible. http://bit.ly/2xrUNJ7",6,photo
7,1,2017-09-22T09:15:05+0000,118592938221174_1488252501255204,31,https://www.facebook.com/ZTECorp/photos/a.175477522532715.46215.118592938221174/1488252434588544/?type=3,Interested in AI? ZTE showed how AI can help improve network management efficiency and support business innovation at an industry intelligence seminar this week in Beijing. http://bit.ly/2yhCzb5,3,photo
8,1,2017-09-21T10:17:04+0000,118592938221174_1487396984674089,25,https://www.facebook.com/ZTECorp/photos/a.175477522532715.46215.118592938221174/1487396908007430/?type=3,Yinchuan China hosted the 3rd annual TM Forum Smart City InFocus Conference this week. ZTE’s government video cloud collaboration system was presented to the conference as one of the ways to make a city truly smart.,5,photo
9,2,2017-09-20T09:40:17+0000,118592938221174_1486502024763585,42,https://www.facebook.com/ZTECorp/videos/1486479894765798/,ZTE works with the world’s leading companies to power global innovation. Intel’s Caroline Chan explains why they are looking forward to building 5G with us: http://bit.ly/2wFQFSp,11,video
10,0,2017-09-19T11:21:52+0000,118592938221174_1485710154842772,48,https://www.facebook.com/ZTECorp/photos/a.175477522532715.46215.118592938221174/1485710094842778/?type=3,We just signed a strategic partnership agreement with POST Luxembourg in Shenzhen China! We are helping POST Luxembourg to provide an improved experience for consumers and business customers with faster services and product catalogue rollout times. http://bit.ly/2ymJL6n,5,photo
11,0,2017-09-19T09:18:44+0000,118592938221174_1485645344849253,23,https://www.facebook.com/ZTECorp/photos/a.175477522532715.46215.118592938221174/1485645294849258/?type=3,"We continue to drive sales in U.S. At the recent Mobile World Congress Americas, Jeff Yee, VP of Technology Planning and Partnerships, spoke about ZTE’s growing market momentum and its future strategy in U.S. Check out what he has to say: http://bit.ly/2xazlcA",2,photo
12,1,2017-09-18T14:49:10+0000,118592938221174_1485025781577876,51,https://www.facebook.com/ZTECorp/photos/a.175477522532715.46215.118592938221174/1485023684911419/?type=3,"As a leading provider of trunking solutions, ZTE showcases a widely acclaimed product at the Greece’s Expo TIF – a Portable Emergency Command System that can provide LTE coverage anywhere anytime with one click away.",3,photo
13,1,2017-09-18T10:52:45+0000,118592938221174_1484874398259681,71,https://www.facebook.com/ZTECorp/photos/a.175477522532715.46215.118592938221174/1484874348259686/?type=3,We were the first one to successfully complete the verification of dynamic 5G network function deployment! The exceptional results of this test have demonstrated the technical competitive edge of ZTE and paved the way for the commercial use of 5G. http://bit.ly/2ha5n1X,14,photo
14,3,2017-09-15T10:26:40+0000,118592938221174_1482286111851843,75,https://www.facebook.com/ZTECorp/photos/a.175477522532715.46215.118592938221174/1482286071851847/?type=3,"As a pioneer in 5G development, we are excited to announce: a full range of 5G products are made ready! The next-generation phone is on its way… Made By ZTE! http://bit.ly/2y2Pttt",12,photo
15,2,2017-09-15T02:58:00+0000,118592938221174_1481963291884125,7852,https://www.facebook.com/ZTECorp/photos/a.175477522532715.46215.118592938221174/1481962988550822/?type=3,"Lixin Cheng, Our ZTE Mobile CEO, gave a great keynote speech at #MWCA17: he outlined how China-US cooperation leads global innovation and discussed ZTE’s 5G advances. http://bit.ly/2f9hcoC",6,photo
