,comments,created_time,id,likes,link,message,shares,type
0,6,2016-12-30T06:00:01+0000,221475991242651_1263128843744022,309,https://www.facebook.com/lavamobiles/photos/a.226154277441489.54855.221475991242651/1263128843744022/?type=3,"Watching a movie? Don’t pause it even while you mail and text. All thanks to the Video PIP feature on the #Lava A68. Get it for now Rs. 4,599: http://bit.ly/2aE3XGw",23,photo
1,37,2016-12-29T12:00:00+0000,221475991242651_1264307226959517,2013,https://www.facebook.com/lavamobiles/videos/1264307226959517/,"We can’t head towards a new year without some throwback nostalgia! How about looking back at some amazing memories in this #Rewind2016 video? Oh, and don’t forget to share it with us. Here’s to a new year that won’t let you down. bit.ly/LAVArewind",84,video
2,11,2016-12-28T12:00:01+0000,221475991242651_1263099687080271,540,https://www.facebook.com/lavamobiles/photos/a.226154277441489.54855.221475991242651/1263099687080271/?type=3,"What happens when Sonu Nigam, Anu Malik and Farah Khan come together on The Kapil sharma Show? Lots of wacky moments are guaranteed! Did you watch the latest episode on Sony Entertainment Television?",18,photo
3,7,2016-12-26T06:30:42+0000,221475991242651_1260608587329381,530,https://www.facebook.com/lavamobiles/photos/a.226154277441489.54855.221475991242651/1260608587329381/?type=3,"Need to scoop out data from several screenshots, because one grab wasn't enough? With the Smart Screenshot feature on #Lava A67, you can take a single screenshot of a long scroll, and not just a part of it! Get one for just Rs. 4,549. http://bit.ly/1WY78vG",28,photo
4,11,2016-12-25T13:00:00+0000,221475991242651_1257518764305030,687,https://www.facebook.com/lavamobiles/photos/a.226154277441489.54855.221475991242651/1257518764305030/?type=3,"Imagine typing out Christmas greetings & your phone decides to hang. Super annoying, isn’t it? With the #Lava X81 & its 3 GB RAM, you can say good-bye to all such woes. Glide through work, fun and festivities, all at once! Get it for Rs. 11,499 bit.ly/1ULg0BF",38,photo
5,11,2016-12-24T12:00:00+0000,221475991242651_1257516047638635,521,https://www.facebook.com/lavamobiles/photos/a.226154277441489.54855.221475991242651/1257516047638635/?type=3,"MS Dhoni, our very own Captain Cool sure knows how to set trends, both on the field and off the field. Is there anything that MSD can’t do? Be it his crunch-time, game-saving 6’s, or his charm, @MSDhoni is a year-long inspiration that #NeverLetsYouDown! Calls for a special 2016 throwback, we think. Check it out!",54,photo
6,7,2016-12-24T06:00:00+0000,221475991242651_1257512847638955,406,https://www.facebook.com/lavamobiles/photos/a.226154277441489.54855.221475991242651/1257512847638955/?type=3,"A big gang calls for a big fat selfie! We get it. And the #Lava P7+ gets it too with its wide-angle 5MP front camera. Perfect groupfies? Check! Get it now for Rs. 5,649: bit.ly/2c6GrEu",22,photo
7,3,2016-12-22T12:00:00+0000,221475991242651_1256572401066333,288,https://www.facebook.com/lavamobiles/photos/a.226154277441489.54855.221475991242651/1256572401066333/?type=3,"If you thought Snapchat was cool already, they created something even cooler in 2016! A pair of glasses, which connects to your smartphone & takes photos while you glance around? A clear winner. Got your hands on Spectacles yet? What was your favourite Spectacles story? #Rewind2016",13,photo
8,5,2016-12-22T06:15:15+0000,221475991242651_1256494181074155,449,https://www.facebook.com/lavamobiles/photos/a.226154277441489.54855.221475991242651/1256494181074155/?type=3,"Christmas parties coming up? Loads of selfies are too, naturally. And with the Lava A76+ and its 5MP camera with LED flash, your photos will be as bright as the celebrations. Low light or no light. Get one for Rs. 5,599 bit.ly/2grWcHq",40,photo
9,8,2016-12-21T12:00:00+0000,221475991242651_1254831117907128,334,https://www.facebook.com/lavamobiles/photos/a.226154277441489.54855.221475991242651/1254831117907128/?type=3,"You can’t be a gamer & not played Grand Theft Auto: San Andreas! But did you catch the familiar madness on your phone? If you haven’t, we still insist you try it out. It’s quite addictive, you’ve been warned. #Rewind2016",20,photo
