,comments,created_time,id,likes,link,message,shares,type
0,13,2018-03-03T09:00:36+0000,443289919202502_768043370060487,110,https://www.facebook.com/moto/videos/768043370060487/,We’ve been turning up the volume since the 1930’s! Wanna party on-the-go with the JBL Soundboost Moto Mod?,8,video
1,10,2018-03-01T09:00:29+0000,443289919202502_766943036837187,203,https://www.facebook.com/moto/videos/766943036837187/,"Back in 96’, the StarTAC was the world’s smallest phone! We like pocket-sized innovations. But we love HUGE possibilities even more!",19,video
2,7,2018-02-27T09:10:36+0000,443289919202502_765885913609566,134,https://www.facebook.com/moto/videos/765885913609566/,Remember the battery life on your first phone? We went from a chunky 30 minutes to a funky 30 HOURS!,6,video
3,4,2018-02-25T09:00:32+0000,443289919202502_764819427049548,136,https://www.facebook.com/moto/videos/764819427049548/,Our rugged backpack radio became a war-time icon! Now it’s the moto x4’s turn to kick up dust and jump in puddles!,15,video
4,31,2018-02-23T09:00:26+0000,443289919202502_763696060495218,326,https://www.facebook.com/moto/videos/763696060495218/,Remember the cutting-edge look of the RAZR? Our award-winning moto z and moto mods look just as sharp!,30,video
5,6,2018-02-21T09:00:32+0000,443289919202502_762659140598910,49,https://www.facebook.com/moto/videos/762659140598910/,"Snap. Print. Stick. Repeat. 
Get the new Polaroid insta-share printer moto mod today. Only on the moto z!",9,video
6,6,2018-02-19T09:00:29+0000,443289919202502_761625314035626,51,https://www.facebook.com/moto/videos/761625314035626/,Can your phone take a picture and print it in seconds? It's now possible with the new Polaroid insta-share printer moto mod on the moto z. http://bit.ly/2DQVPmZ,6,video
7,5,2018-02-17T09:00:29+0000,443289919202502_760611687470322,47,https://www.facebook.com/moto/videos/760611687470322/,No other phone can transform into a Polaroid camera. Introducing the Polaroid insta-share printer moto mod. Only on the moto z! http://bit.ly/2DQVPmZ,7,video
8,4,2018-02-15T09:02:19+0000,443289919202502_759577804240377,51,https://www.facebook.com/moto/videos/759577804240377/,Snap into something NEW! Feel the magic of sharing the moment with the Polaroid insta-share printer moto mod! http://bit.ly/2DQVPmZ,5,video
9,2,2018-02-13T09:00:42+0000,443289919202502_758527307678760,69,https://www.facebook.com/moto/videos/758527307678760/,"Snap it and make it LAST! Share a gift packed with awesome memories. It's never been easier than with the moto z2 Polaroid insta-share printer moto mod!
http://bit.ly/2DQVPmZ",11,video
10,3,2018-02-11T09:00:38+0000,443289919202502_757451117786379,64,https://www.facebook.com/moto/videos/757451117786379/,"Snap it and bring it to LIFE! 
Don't keep your best pics hidden in your phone! Stick them on the wall with the moto z2 Polaroid insta-share printer moto mod! http://bit.ly/2DQVPmZ",15,video
11,6,2018-02-09T09:00:43+0000,443289919202502_756441551220669,62,https://www.facebook.com/moto/videos/756441551220669/,"Snap it and SHARE IT! Can your phone share REAL moments instantly? 
Change the game with the moto z2 Polaroid insta-share printer moto mod! http://bit.ly/2DQVPmZ",9,video
12,8,2018-02-07T09:00:37+0000,443289919202502_755424521322372,94,https://www.facebook.com/moto/videos/755424521322372/,Find your perfect match with the moto z2 Polaroid insta-share printer mod! Feel the joy of connecting in real-life! Discover the moto z2 Polaroid insta-share printer moto mod! http://bit.ly/2DQVPmZ,7,video
13,4,2018-02-05T09:00:28+0000,443289919202502_754419934756164,81,https://www.facebook.com/moto/videos/754419934756164/,"Don't just share a picture, treasure it. Introducing the new Polaroid insta-share printer moto mod on the moto z. http://bit.ly/2DQVPmZ",3,video
14,5,2018-02-03T09:00:38+0000,443289919202502_753407638190727,99,https://www.facebook.com/moto/videos/753407638190727/,Snap it. Shoot it. Print it. Can your phone do that? Introducing the new Polaroid insta-share printer moto mod on the moto z! http://bit.ly/2DQVPmZ,13,video
15,10,2018-02-01T09:06:26+0000,443289919202502_752416031623221,148,https://www.facebook.com/moto/videos/752416031623221/,"Snap it. Shoot it. Print it. Can your phone do that? Introducing the new Polaroid insta-share printer moto mod on the moto z2! 
http://bit.ly/2DQVPmZ",26,video
