,comments,created_time,id,likes,link,message,shares,type
0,65,2016-09-09T02:19:25+0000,1512251659039630_1730306513900809,25,https://www.facebook.com/oneplussingapore/photos/a.1512628282335301.1073741828.1512251659039630/1730306513900809/?type=3,"Get out your #OnePlus2, it’s time to update! Visit the forums to find out what’s new: http://onepl.us/OTA310",3,photo
1,17,2016-08-31T10:17:00+0000,1512251659039630_1726390247625769,25,http://giphy.com/gifs/oneplus-3o6Zt5BNwcUtYbms7u,We can't wait for you to try the OnePlus 3 and share your reviews! Did you get your hands on one yet?,1,link
2,2,2016-08-11T10:23:00+0000,1512251659039630_1718725875058873,9,http://onepl.us/op3drop,"Can a OnePlus 3 survive the ultimate drop test from an aeroplane 750 feet above the ground? 
Click on http://onepl.us/op3drop to find out the dramatic conclusion of this epic video.",1,video
3,6,2016-07-24T09:30:00+0000,1512251659039630_1711293919135402,19,http://gph.is/29f4QoV,"Did you blink? Too late. Let's slow it down for you. We understand it's pretty difficult to follow when it only take 0.2 seconds. 

WatchWatch SuperSaf's fingerprint scanner test here: http://onepl.us/Supersaf. Thumbs up man!",3,link
4,7,2016-07-23T09:30:00+0000,1512251659039630_1711293712468756,20,https://www.facebook.com/oneplussingapore/photos/a.1512628282335301.1073741828.1512251659039630/1711293712468756/?type=3,Have you ordered your OnePlus 3 yet? Get it here at the exclusive pre-sale offer only at Lazada! http://www.lazada.sg/oneplus-3/,1,photo
5,5,2016-07-22T09:30:00+0000,1512251659039630_1711293402468787,23,https://www.facebook.com/oneplussingapore/photos/a.1512628282335301.1073741828.1512251659039630/1711293402468787/?type=3,"Lags? Delays? We don't have that in our dictionary. Packing 6GB of LPDDR4 RAM, the #OnePlus3 sets a new standard in smartphone memory #FeatureFriday",3,photo
6,2,2016-07-19T09:30:00+0000,1512251659039630_1711293222468805,13,https://www.facebook.com/oneplussingapore/photos/a.1512628282335301.1073741828.1512251659039630/1711293222468805/?type=3,"""When it comes to Android devices, the OnePlus 3 puts even Samsung's killer Galaxy S7 on notice."" - Read The Wall Street Journal's review http://onepl.us/wsjop3",2,photo
7,4,2016-07-18T11:49:28+0000,1512251659039630_1711072769157517,15,http://www.gizmag.com/oneplus-3-review/44306/,"""OnePlus finds its flagship killer"" Read Gizmag's review now!",3,link
8,1,2016-07-17T09:37:00+0000,1512251659039630_1709926759272118,19,http://www.express.co.uk/life-style/science-technology/687752/OnePlus-3-Review-UK-Price-Camera-Speed,"""OnePlus 3 is a phenomenal achievement."" - Read The Daily Express' review of our greatest creation yet. http://www.express.co.uk/life-style/science-technology/687752/OnePlus-3-Review-UK-Price-Camera-Speed",5,link
9,0,2016-07-16T09:51:00+0000,1512251659039630_1709928182605309,24,https://www.facebook.com/oneplussingapore/photos/a.1512628282335301.1073741828.1512251659039630/1709928182605309/?type=3,"Remember that 16MP camera we were talking about? Let the photo do the talking!
Captured by @tuukkaluukkonen with the #OnePlus3 and edited with VSCO.",1,photo
10,12,2016-07-15T09:36:00+0000,1512251659039630_1709926499272144,30,http://www.theverge.com/2016/6/14/11931290/oneplus-3-android-smartphone-review,"Do you really need any more reasons to get the OnePlus 3? If you do, allow The Verge's review to finally convince you. Read it here http://www.theverge.com/2016/6/14/11931290/oneplus-3-android-smartphone-review",7,link
11,22,2016-07-11T01:43:20+0000,1512251659039630_1708391079425686,61,https://www.facebook.com/oneplussingapore/photos/a.1512628282335301.1073741828.1512251659039630/1708391079425686/?type=3,We're back in business! Pre-order for the OnePlus 3 starts at 12pm today. Pre-order yours exclusively at Lazada here: http://www.lazada.sg/oneplus-3/,12,photo
12,4,2016-07-09T10:19:33+0000,1512251659039630_1707774599487334,12,https://www.cnet.com/videos/3-reasons-to-believe-the-oneplus-3-hype/,The hype is real. Don’t' believe us? Check out CNET's video on the brand new #OnePlus3.,1,link
13,14,2016-07-09T06:01:19+0000,1512251659039630_1707715459493248,25,https://oneplus.net/retailers,"Friends, we have received your enquiries regarding OnePlus 3 warranty. We would like to inform all our followers that a local warranty will only be issued to sets that have been purchased from OnePlus Authorised Retailers in Singapore, who are listed here:
https://oneplus.net/retailers

Thank you for your overwhelming support!",2,link
14,6,2016-07-08T10:41:00+0000,1512251659039630_1707394816191979,9,https://www.facebook.com/oneplussingapore/photos/a.1512628282335301.1073741828.1512251659039630/1707394572858670/?type=3,Waiting to get your hands on the OnePlus 3? Check out these amazing sample shots taken with the #OnePlus3 16MP camera. Which is your favorite?,1,photo
