,comments,created_time,id,likes,link,message,shares,type
0,2,2018-04-01T01:00:00+0000,677890955575003_1843113852386035,145,https://www.facebook.com/opposingapore/videos/1843113852386035/,"Happy Easter Fool's Day! 

Do you guys know rabbits are hatched from eggs?
Share this to your friends. ;) Power is gained by sharing knowledge, not hoarding it.

#OPPO
#easterfoolsday
#aprilfoolsday
#easter",8,video
1,19,2018-03-30T15:35:15+0000,677890955575003_1846778785352875,30,https://www.facebook.com/opposingapore/photos/a.706944526002979.1073741828.677890955575003/1846778158686271/?type=3,"Red or black, which finish do you like?

#OPPO
#OPPOR11s",2,photo
2,44,2018-03-23T14:00:31+0000,677890955575003_1838862309477856,340,https://www.facebook.com/opposingapore/photos/a.706944526002979.1073741828.677890955575003/1838862182811202/?type=3,"Happy Friday!

Great giveaways - 5 pairs of silent disco tickets on 30th Mar, Friday (Good Friday). 

Just leave a comment below and tell us what is the RAM capacity of R11s & stand a chance to grab a pair of tickets! 

Check out the website for details - https://www.silent-disco.asia/ 

#OPPO
#ilightmarinabay
#silentdisco",15,photo
3,75,2018-03-21T11:00:25+0000,677890955575003_1836525566378197,908,https://www.facebook.com/opposingapore/photos/a.706944526002979.1073741828.677890955575003/1836525496378204/?type=3,"Foodie spotted! We alllllll love great food. ;)

Comment and share your yummy photos taken by OPPO phones & stand a chance to win a pair of GV tickets! Yay! 

Good luck to all OPPO users. :)

T&Cs apply.

#OPPO
#shotonOPPO
#foodies
#immafoodie",21,photo
4,1,2018-03-20T11:01:55+0000,677890955575003_1835546779809409,14,https://www.facebook.com/opposingapore/photos/a.706944526002979.1073741828.677890955575003/1835538893143531/?type=3,"Capture the real beauty with our AI beautification technology. 😉
Hassle-free! Make your pictcha more insta-worthy. 😍

#OPPOR11s",1,photo
5,10,2018-03-18T14:06:39+0000,677890955575003_1833462203351200,334,https://www.facebook.com/opposingapore/photos/a.731781396852625.1073741830.677890955575003/1833462180017869/?type=3,"Congratulations @Lei Fang! 🎉“Wonderful night at Switzerland”! The winner of #ShootMyTravel Kindly PM us to redeem your prize! 🎁

The contest is still going! We have one more pair of movie tickets to giveaway! Share your special moment with OPPO and comment below! 😜",4,photo
6,1,2018-03-17T10:00:26+0000,677890955575003_1831915450172542,12,https://www.facebook.com/opposingapore/photos/a.706944526002979.1073741828.677890955575003/1831888163508604/?type=3,"Girlfriend VS Games?! 😱 With OPPO R11s, your problem got solved! 😜 #OPPOR11s",1,photo
7,22,2018-03-15T11:00:00+0000,677890955575003_1829618403735580,28,https://www.facebook.com/opposingapore/photos/a.706944526002979.1073741828.677890955575003/1829618140402273/?type=3,"Travel far enough, you meet yourself.#shootmytravel 
Share the special moment taken by OPPO in your journey. Get a chance to win two pairs of movie tickets! Yay!  [MOVIE TICKETS GIVEAWAY] 
#OPPOR11s 
Just Comment Below With Your Travel Pics! 
You Could Be Our WINNER! ;)",6,photo
8,0,2018-03-07T11:00:00+0000,677890955575003_1817635188267235,5,https://www.facebook.com/opposingapore/photos/a.706944526002979.1073741828.677890955575003/1817635031600584/?type=3,"Eat, sing, play & repeat - Mystery giveaways every week!

Heading down to our booth & participate the games at GastroBeats At i Light Marina Bay Carnival Event from 9 Mar to 1 Apr 2018 to win amazing gifts. ;)

#OPPOxGB
#Gastrobeats
#ilightmarinabay",1,photo
9,0,2018-03-02T11:00:00+0000,677890955575003_1813019728728781,7,https://www.facebook.com/opposingapore/photos/a.706944526002979.1073741828.677890955575003/1813019595395461/?type=3,"Happy Friday Night! 
What is your plan tonight for Lantern Festival?

Do remember to take beautiful lantern photos with our dual 20MP R11s. Available at our online store:)
https://www.oppostore.com.sg/products/oppo-r11s

#TGIF
#lanternfestival
#20MP
#Dualcamera

 — Products shown: R11s.",1,photo
