,comments,created_time,id,likes,link,message,shares,type
0,1,2018-03-27T10:55:17+0000,113430562066143_1709996429076207,7,https://www.facebook.com/plummobile/videos/1709993435743173/,"All the people today
""when I give you my phone to see something don't swipe left, don't swipe right""",6,video
1,0,2018-03-26T11:28:09+0000,113430562066143_1708978612511322,23,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1708978529177997/?type=3,"A classic combination of splendour and sophistication.
Update your phone- www.plum-mobile.com",3,photo
2,0,2018-03-24T07:41:34+0000,113430562066143_1706787022730481,15,https://www.facebook.com/plummobile/videos/1706785966063920/,"HaHaHa!
What about your weekend plans?",16,video
3,0,2018-03-22T10:48:09+0000,113430562066143_1704836019592248,21,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1704835369592313/?type=3,"Simplicity at its best!
The New #OPTIMAX10 improves your phone’s performance. 
It makes your mobile journey effortless with faster downloads and richer look.
Shop Now-  www.plum-mobile.com",4,photo
4,0,2018-03-20T10:34:58+0000,113430562066143_1702691449806705,5,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1702690413140142/?type=3,"Accomplish your day-to-day routine with ease.Shift effortlessly between work and personal with #COMPASSLTE.
Shop Now-  bit.ly/CompassLte",9,photo
5,0,2018-03-16T08:03:42+0000,113430562066143_1698331260242724,25,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1698331153576068/?type=3,"Make Smiles, expresses an attitude that we all believe in - a desire to create happiness for our consumers. 
We will continue providing decent products to our consumers in, let's share smiles together.",1,photo
6,0,2018-03-14T09:24:15+0000,113430562066143_1696203830455467,29,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1696203723788811/?type=3,"Share your full-screen group photos with as many people as you can fit, for a chance to win exciting prizes!

The 5-inch Full screen on the #plumphone makes full-screen view seem like a grand experience.

Shop Now- www.plum-mobile.com",4,photo
7,0,2018-03-13T10:36:22+0000,113430562066143_1695159970559853,13,https://www.facebook.com/plummobile/videos/1695159303893253/,"hahaha!
when someone tries to check your phone.
Will you react like the same share if you agree!",12,video
8,0,2018-03-12T10:19:41+0000,113430562066143_1694004687342048,5,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1694004550675395/?type=3,"Smiles, experiences, or memories - capture all your happy moments in one frame with AXEPLUS2.

Shop Now -  www.plum-mobile.com",7,photo
9,0,2018-03-10T09:38:50+0000,113430562066143_1691660927576424,5,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1691660394243144/?type=3,"Have a fantastic weekend everyone!
#weekend #longweekend #relax #enjoy #weekendvibes #happy #cheers",8,photo
10,0,2018-03-05T10:37:42+0000,113430562066143_1686242464784937,3,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1686242351451615/?type=3,"Food deserves to be celebrated.
Capture your delicious Monday Brunch on #plumphone

Shop Now-  www.plum-mobile.com",7,photo
11,0,2018-03-03T08:05:48+0000,113430562066143_1684023751673475,1,https://www.facebook.com/plummobile/videos/1684023751673475/,"Saturday is meant to play music this loud!
#saturday #weekend #music #fun",1,video
12,6,2018-02-27T10:39:19+0000,113430562066143_1679930612082789,66,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1679930495416134/?type=3,"Our deals are here for a good time, not a long time. Don't miss out to be the part of our giveaway! 
Last 24 hours!!
Check our pinned post for more details.",4,photo
13,1,2018-02-26T11:11:31+0000,113430562066143_1678939475515236,7,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1678938535515330/?type=3,"Your perfect partner is here! 
Witness perfection in all its facets! The #Optimax7  is designed with incredible features that make it your perfect companion.
Make forever yours-  bit.ly/Optimax7-",9,photo
14,0,2018-02-24T07:52:07+0000,113430562066143_1676619512413899,2,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1676619349080582/?type=3,"Every weekend should start like this, a cup of coffee and a book 💕 
Have a great weekend!",8,photo
15,0,2018-02-23T09:25:52+0000,113430562066143_1675640955845088,2,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1675640859178431/?type=3,"Open doors to unlimited possibilities with the PLUMPHONES. Its marvellous features, exceptional technology and lavish design make it a pleasure to hold.
Make Yours -  www.plum-mobile.com",6,photo
16,0,2018-02-22T10:29:05+0000,113430562066143_1674710319271485,1,https://www.facebook.com/plummobile/videos/1674710319271485/,That Feeling! 😍😍,6,video
17,0,2018-02-21T10:08:28+0000,113430562066143_1673772102698640,4,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1673771932698657/?type=3,Haha!  The phases of life from where we were to where we stand now.,6,photo
18,0,2018-02-20T10:07:29+0000,113430562066143_1672780566131127,9,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1672780182797832/?type=3,"#plumCompass, a smartphone you will never stop admiring even while having a busy day at work. 
Shop now-   bit.ly/-Compass-",7,photo
19,80,2018-02-19T11:21:26+0000,113430562066143_1671831162892734,114,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1671831049559412/?type=3,"Hello Plum Fans! 
Thank you for your amazing response to our last giveaway. We are back with another giveaway just for you.
 Get a chance to win an amazing Plum Compass Gold Color! To make this stunning phone yours just let us know in the comment on this post why you need a new phone and share this post on your Facebook wall.

Winner will be awarded with a phone on 28th February, Good Luck!",54,photo
20,0,2018-02-17T07:56:24+0000,113430562066143_1669568763118974,3,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1669568659785651/?type=3,"A glass of fruit juice, a platter of fresh fruits and a sensational Miami morning around the beach… what more could you want to celebrate a weekend?
Have a great weekend!
#Weekend #Weekendvibes #Saturdayvibes #HappySaturday",6,photo
21,0,2018-02-16T10:46:50+0000,113430562066143_1668662773209573,7,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1668662716542912/?type=3,"One more reason to say “Cheese.”
Capture the perfect smile with Plum phones.
Make yours- www.plum-mobile.com",9,photo
22,0,2018-02-15T10:05:03+0000,113430562066143_1667592719983245,6,https://www.facebook.com/plummobile/videos/1667592719983245/,Tag your irritating friend!😜,10,video
23,0,2018-02-13T10:19:36+0000,113430562066143_1665438740198643,3,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1665438613531989/?type=3,Is'nt it Accurate?,6,photo
24,0,2018-02-12T10:05:07+0000,113430562066143_1664418966967287,4,http://bit.ly/Optimax-,"A Gift worth all the love, coming for this Valentine's.
Every Moment has a story behind it. 
Capture it all with the OPTIMAX8.
Make it yours-  bit.ly/Optimax-",5,link
25,0,2018-02-10T08:27:31+0000,113430562066143_1662395980502919,5,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1662395853836265/?type=3,"Cheers to the weekend!  🍻 ✌
Hope it's a great one for you all! 💕
#Chillout #Relax #Loveyourself #Saturdayfeels #Weekend",7,photo
26,0,2018-02-09T09:47:23+0000,113430562066143_1661458433930007,3,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1661458287263355/?type=3,"Express InfiniteLove by sharing your love story through a picture💕
Your quest for the perfect Valentine’s gift ends here. 
Shop This Valentine - www.plum-mobile.com",7,photo
27,1,2018-02-08T09:51:49+0000,113430562066143_1660484950694022,3,http://bit.ly/plumblog-,"If you're trying to decide between and Android phone and an iPhone, there are a few things to consider.
Let us see why you should invest in Android.",5,link
28,0,2018-02-07T09:54:34+0000,113430562066143_1659545240787993,5,https://www.facebook.com/plummobile/videos/1659545240787993/,"It is a real pain. 
Agree?",10,video
29,0,2018-02-06T11:12:08+0000,113430562066143_1658705757538608,5,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1658705497538634/?type=3,"Hahahaha! 😂
How many of you agree with the same?",6,photo
30,0,2018-02-05T10:16:56+0000,113430562066143_1657727224303128,3,https://www.facebook.com/plummobile/photos/a.375300509212479.158778.113430562066143/1657726874303163/?type=3,"Let's Celebrate the month of love!
Pamper your loved ones this valentine's with this COMPASS PHONE which will be the ideal companion & will match their dazzling personality.
Make it yours - bit.ly/-Compass-",6,photo
