,comments,created_time,id,likes,link,message,shares,type
0,81,2018-04-01T14:12:01+0000,35313373389_10156301743123390,4020,https://www.facebook.com/sonymobile/photos/a.118653383389.98058.35313373389/10156301743123390/?type=3,"Surprise! Our first golden egg has hatched. Inside is an Xperia XZ2, which is packed full of Sony’s best tech treats. For your chance to win, head to Xperia Lounge and answer one simple question. 
http://bit.ly/FB-XL-EasterComp1",60,photo
1,37,2018-04-01T11:28:02+0000,35313373389_10156301460983390,2166,https://www.facebook.com/sonymobile/photos/a.118653383389.98058.35313373389/10156301460983390/?type=3,"Discover groundbreaking, seat-shaking entertainment with Xperia XZ2 and Sony’s Dynamic Vibration System. http://bit.ly/FB-Xperia-XZ2-Display",54,photo
2,29,2018-04-01T08:37:28+0000,35313373389_10156301216358390,1078,https://www.facebook.com/sonymobile/videos/10156301216358390/,Wishing everyone a very Happy Easter from #Xperia!,49,video
3,24,2018-03-31T15:13:42+0000,35313373389_10156299390173390,1200,https://www.facebook.com/sonymobile/videos/10156299390173390/,"Compact, lightweight and made to harmonise with your Xperia. Which Open-ear Stereo Headset colour would you choose? 
http://bit.ly/FB-OpenEarHeadset-STH40D",49,video
4,24,2018-03-31T09:49:36+0000,35313373389_10156298813643390,587,https://www.facebook.com/sonymobile/videos/10156298813643390/,"This week, we’re exploring the world in all its beautiful colours. Head over to Instagram and tag your findings with #Xperia",23,video
5,14,2018-03-30T10:39:50+0000,35313373389_10156296364233390,565,https://www.facebook.com/sonymobile/videos/10156296364233390/,"From striking street art to amazing architecture, we asked to see what city life means to you. Here are some of our favourite shots!",10,video
6,151,2018-03-29T15:49:02+0000,35313373389_10156294388768390,4753,https://www.facebook.com/sonymobile/photos/a.118653383389.98058.35313373389/10156294388768390/?type=3,Xperia XZ2 Compact – our 5-inch smartphone that’s packed with tech – has been awarded ‘Best of MWC’ by phoneArena.com. Find out more about its incredible features here: http://bit.ly/FB-XperiaXZ2Compact,148,photo
7,57,2018-03-29T11:25:23+0000,35313373389_10156293742648390,2498,https://www.facebook.com/sonymobile/photos/a.118653383389.98058.35313373389/10156293742648390/?type=3,"Redefine the way you hear the world with an ear-opening experience.Discover dual listening with Xperia Ear Duo. 
http://bit.ly/FB-Xperia-Ear-Duo",87,photo
8,35,2018-03-28T16:47:03+0000,35313373389_10156291553653390,1815,https://www.facebook.com/sonymobile/photos/a.118653383389.98058.35313373389/10156291553653390/?type=3,Think you’ve got what it takes to go all the way to Champions League glory? Predict the Quarter-Final results on our Predictor app and you could win a Lionel Messi signed shirt: http://bit.ly/UCL-Challenge-FB,58,photo
9,189,2018-03-27T15:22:01+0000,35313373389_10156288056573390,5982,https://www.facebook.com/sonymobile/photos/a.118653383389.98058.35313373389/10156288056573390/?type=3,We are thrilled to announce that Xperia XZ2 has been awarded ‘Best of MWC’ by phoneArena.com. Find out more about the incredible features that set it apart from the rest here: http://bit.ly/FB-XperiaXZ2,289,photo
10,32,2018-03-27T10:31:08+0000,35313373389_10156287422268390,1420,https://www.facebook.com/sonymobile/videos/10156287422268390/,Lose yourself in incredible Hi-Res Audio sound quality from Xperia XZ2: http://bit.ly/XperiaXZ2_Audio_2,56,video
11,69,2018-03-25T13:04:01+0000,35313373389_10156281260148390,3025,https://www.facebook.com/sonymobile/photos/a.118653383389.98058.35313373389/10156281260148390/?type=3,A sublime design with a streamlined loop surface – Xperia XA2 soars. http://bit.ly/FB-Xperia-XA2-Design,81,photo
12,24,2018-03-23T17:32:28+0000,35313373389_10156275650933390,865,https://www.facebook.com/sonymobile/photos/a.118653383389.98058.35313373389/10156275638628390/?type=3,"This week, we asked to see how you move about your city! Here are the shots that caught our eye...",12,photo
13,20,2018-03-22T14:41:01+0000,35313373389_10156272361903390,1379,https://www.facebook.com/sonymobile/photos/a.118653383389.98058.35313373389/10156272361903390/?type=3,"With meeting notifications straight to your headset, make dual listening second nature with Xperia Ear Duo. http://bit.ly/FB-Xperia-Ear-Duo",40,photo
14,148,2018-03-21T16:02:02+0000,35313373389_10156269534823390,4485,https://www.facebook.com/sonymobile/photos/a.118653383389.98058.35313373389/10156269534823390/?type=3,A luminous finish makes Xperia XA2 and Xperia XA2 Ultra shimmer from every angle. http://bit.ly/FB-Xperia-XA2-Design,125,photo
