,comments,created_time,id,likes,link,message,shares,type
0,0,2018-03-25T04:24:54+0000,827632297425429_869905606531431,5,https://www.facebook.com/vivosingapore/photos/a.835681159953876.1073741829.827632297425429/869905593198099/?type=3,Relax and have a cup of tea today #VivoY65 #yourlifeyourshots #vivosg #nowork #Sunday #daisy #flower,1,photo
1,0,2018-03-24T00:30:00+0000,827632297425429_868736173315041,3,https://www.facebook.com/vivosingapore/videos/868735709981754/,"Looking for a smartphone at an affordable price? The Vivo Y65 has a 5.5-inch HD display, a Qualcomm Snapdragon 425 processor, a 13MP rear camera and a 5MP front camera. Now available through M1, Singtel and authorised dealers at a recommended retail price of $239. 
Learn more: https://goo.gl/KbrSRH",3,video
2,0,2018-03-23T01:00:00+0000,827632297425429_867038713484787,5,https://www.facebook.com/vivosingapore/photos/a.829965880525404.1073741827.827632297425429/867038463484812/?type=3,TGIF! Oh yeah! And one more week to the public holiday! #VivoV7plus #Friday,1,photo
3,0,2018-03-20T04:30:00+0000,827632297425429_867035773485081,7,https://www.facebook.com/vivosingapore/photos/a.829965880525404.1073741827.827632297425429/867035066818485/?type=3,Take a break at work! #VivoV7plus #seemorethanever #Vivosingapore,2,photo
4,0,2018-03-18T03:46:42+0000,827632297425429_865948563593802,5,https://www.facebook.com/vivosingapore/photos/a.829965880525404.1073741827.827632297425429/865948420260483/?type=3,What a beautiful Sunday! Just chill and relax! #VivoV7plus #FullView #perfectshot #nowork #sunday #Vivosingapore #Clearerselfie,2,photo
5,0,2018-03-16T07:00:00+0000,827632297425429_864835113705147,51,https://www.facebook.com/vivosingapore/videos/864833473705311/,The Vivo V7+ has a state-of-the-art style that offers a groundbreaking visual experience #Vivosingapore #VivoV7plus,4,video
6,0,2018-03-16T05:00:00+0000,827632297425429_864833017038690,4,https://www.facebook.com/vivosingapore/photos/a.829965880525404.1073741827.827632297425429/864832167038775/?type=3,"TGIF! Where are you going to hang out tonight? No matter where you go, the Vivo V7+ can capture your best moment even in low light!  #VivoV7plus #perfectshot #clearerselfie #tgif #Friday",3,photo
7,0,2018-03-15T07:00:00+0000,827632297425429_864246540430671,3,https://www.facebook.com/vivosingapore/photos/a.829965880525404.1073741827.827632297425429/864246317097360/?type=3,"Tend to get a little trigger happy? Go wild with the V7+'s 64GB ROM #BeExtra #PerfectShot #VivoV7plus 
Learn more:  https://goo.gl/cRSU4Z",1,photo
8,1,2018-03-14T10:59:40+0000,827632297425429_863833890471936,5,https://www.facebook.com/vivosingapore/photos/a.829965880525404.1073741827.827632297425429/863825567139435/?type=3,Nice view. You know what’s even better? FullView from Vivo V7+ #PerfectShot #BeExtra #VivoV7plus,3,photo
9,0,2018-03-13T14:05:29+0000,827632297425429_863395407182451,3,https://www.facebook.com/vivosingapore/photos/a.829965880525404.1073741827.827632297425429/863394527182539/?type=3,Extra minimal or Extra extra? Wanna know what’s even more Extra? Having both. #SmartSplit #BeExtra #PerfectShot #VivoV7plus Get the low-down https://goo.gl/4oNGfN,2,photo
10,0,2018-03-06T05:00:00+0000,827632297425429_858948440960481,5,https://www.facebook.com/vivosingapore/photos/a.829965880525404.1073741827.827632297425429/858947964293862/?type=3,Time flies when you‘re having…yourself cryogenically frozen. 100 days till the 2018 FIFA World Cup™ kicks-off. GET EXCITED. #ExtremeCountdown #FWC #BeExtra,2,photo
11,0,2018-03-01T13:30:00+0000,827632297425429_856179121237413,10,https://goo.gl/tRD6Y5,"Yahoo Finance said Vivo APEX is ""unlike any smartphone we've seen before"" Learn more: https://goo.gl/tRD6Y5",1,link
12,0,2018-02-28T13:30:00+0000,827632297425429_855501007971891,13,https://goo.gl/1sCT3b,From GadgetMatch: All the latest Tech crammed into one https://goo.gl/1sCT3b,4,link
13,0,2018-02-27T12:30:00+0000,827632297425429_854878394700819,6,https://goo.gl/u8Anht,"News outlet AsiaOne said ""the APEX™ features unprecedented top and side bezels of 1.8mm--the thinnest in the industry, with a 4.3mm bottom bezel."" Learn more: https://goo.gl/u8Anht",2,link
14,0,2018-02-27T10:00:00+0000,827632297425429_854880284700630,2,https://goo.gl/1xN9ZU,From HardwareZone.com: The new Vivo concept smartphone APEX takes you to the next level at MWC 2018 https://goo.gl/1xN9ZU,1,link
15,0,2018-02-27T07:30:00+0000,827632297425429_854857881369537,10,https://www.facebook.com/vivosingapore/photos/a.829965880525404.1073741827.827632297425429/854857028036289/?type=3,"Get a good look at our new concept smartphone: APEX. Now just wait until you hear what you can do with it…
#APEX #UnlockTheFuture",3,photo
16,0,2018-02-26T11:55:06+0000,827632297425429_854454231409902,8,https://www.facebook.com/vivosingapore/photos/a.829965880525404.1073741827.827632297425429/854452268076765/?type=3,"Our new concept smartphone APEX has a lot to brag about, check it out. That’s right, mind blown. #APEX #UnlockTheFuture",3,photo
17,0,2018-02-26T07:30:33+0000,827632297425429_854378151417510,7,https://www.facebook.com/vivosingapore/videos/854378151417510/,"This is no Sci-Fi flick. The future of smartphones is here, and it's real, with the new Vivo concept smartphone APEX.
#APEX #UnlockTheFuture",4,video
