,comments,created_time,id,likes,link,message,shares,type
0,58,2016-03-30T15:51:30+0000,667856179978226_910766705687171,243,https://www.facebook.com/yuplaygod/photos/a.679118308852013.1073741828.667856179978226/910766705687171/?type=3,"Never lose your password for your security is as unique as you are. #Yutopia
Know more: http://goo.gl/tXlSl4",3,photo
1,40,2016-03-27T08:19:38+0000,667856179978226_907793579317817,176,https://www.facebook.com/yuplaygod/photos/a.679118308852013.1073741828.667856179978226/907793579317817/?type=3,Are you ready for #IndvsAus as the two titans clash to mark their spot in ICC World Twenty20 semi-finals?,2,photo
2,24,2016-03-26T12:21:24+0000,667856179978226_907076676056174,137,https://www.facebook.com/yuplaygod/photos/a.679118308852013.1073741828.667856179978226/907076676056174/?type=3,"For perfect wide angled selfies, 8MP front camera equipped #Yutopia is all you need.
Know more: http://goo.gl/SmzuN8",1,photo
3,57,2016-03-25T12:20:02+0000,667856179978226_906194302811078,529,https://www.facebook.com/yuplaygod/photos/a.679118308852013.1073741828.667856179978226/906194302811078/?type=3,The much awaited battle between our favorite superheroes is about to begin? Which side are you on?,4,photo
4,36,2016-03-24T06:26:07+0000,667856179978226_905194389577736,484,http://i.giphy.com/xThuWgeSVpbMXSE0fu.gif,"Fill your life with colours of joy, happiness and success. Happy Holi!",11,link
5,32,2016-03-22T17:15:09+0000,667856179978226_903897556374086,327,https://goo.gl/bbfkoP,"With #Yutopia, record slow-motion HD video with the perfect white balance at 120 FPS. 
Know more: http://goo.gl/bbfkoP",3,link
6,26,2016-03-21T16:03:33+0000,667856179978226_902847773145731,80,https://www.facebook.com/yuplaygod/photos/a.679118308852013.1073741828.667856179978226/902847773145731/?type=3,"Want to order something to eat? Order from AroundYU exclusively on #Yutopia!
Know more: http://goo.gl/eKOdhq",1,photo
7,24,2016-03-20T14:50:52+0000,667856179978226_902044049892770,340,https://goo.gl/qTr3qF,"Just good clarity in the phone is a thing of the past. What’s great is having mind-blowing clarity with #Yutopia’s 2K resolution. 
Know more: http://goo.gl/qTr3qF",4,link
8,23,2016-03-19T14:24:08+0000,667856179978226_901293023301206,139,https://goo.gl/YdY92u,"Now with 4GB DDR4 RAM enabled #Yutopia, multi-task like a pro and be apex of all.
Know more: http://goo.gl/YdY92u",4,link
9,46,2016-03-16T06:57:46+0000,667856179978226_899070683523440,405,https://goo.gl/8XXacF,"#Yutopia’s 21MP camera is all that you need for those awesome low light stills. 
Know more: http://goo.gl/8XXacF",8,link
10,30,2016-03-15T08:47:51+0000,667856179978226_898503900246785,128,https://goo.gl/igtt09,"Boost your speakers with smart PA TFA9887 without compensating on sound quality. #Yutopia
Know more: http://goo.gl/igtt09",1,link
11,64,2016-03-14T06:39:14+0000,667856179978226_897845516979290,439,https://goo.gl/pfpP6p,"From 32GB to 128GB, #Yutopia is made for all kinds of phone users. Happy apping ya all!
Know more: http://goo.gl/pfpP6p",7,link
12,40,2016-03-13T07:45:24+0000,667856179978226_897240267039815,478,https://goo.gl/v7bBDn,"With Octa-core processor, get 90% faster result at 75% lesser power consumption. #Yutopia
Know more: http://goo.gl/v7bBDn",7,link
13,24,2016-03-12T07:51:05+0000,667856179978226_896629460434229,146,https://goo.gl/5Ie0wI,"Goodbye power bank, hello #Yutopia with 3000mAh battery & Quick charge 2.0.
Know more: http://goo.gl/5Ie0wI",3,link
14,38,2016-03-10T09:19:43+0000,667856179978226_895573677206474,126,https://goo.gl/RvOAOy,"Want perfect wide angle selfies? #Yutopia’s exceptional 8MP camera is all you need!
Know more: http://goo.gl/RvOAOy",1,link
15,23,2016-03-09T09:47:17+0000,667856179978226_895069320590243,117,https://goo.gl/cMZgzN,"#Yutopia takes YU’s design philosophy to a whole new level with Saturn rings, 3 element key, seamless feel & ergonomic design.
Know more: http://goo.gl/cMZgzN",5,link
16,45,2016-03-07T13:26:11+0000,667856179978226_894184854012023,332,https://goo.gl/DEy7sF,"Corning concore glass gives 5x better indentation threshold & 2x better edge strength. #Yutopia
Know more: http://goo.gl/DEy7sF",2,link
17,16,2016-03-05T12:35:48+0000,667856179978226_893262294104279,132,https://goo.gl/ShvTVL,"#Yutopia is 90% stronger than the polycarbonate/sandpaper heroes of the smartphone world.
Know more: http://goo.gl/ShvTVL",3,link
18,34,2016-03-03T06:11:46+0000,667856179978226_892173464213162,118,https://goo.gl/uaQrkx,"Running out of storage space? Expand up to 128 GB using a microSD card. Simple. #Yutopia 
Know more: http://goo.gl/uaQrkx",1,link
19,22,2016-03-02T13:07:54+0000,667856179978226_891821484248360,357,https://goo.gl/mfSNjo,Little Bird in-ear headphones with noise-isolation design personify comfort & sonic experience. Know more: http://goo.gl/mfSNjo,4,link
