,sentiment,occurences,sentimentsSummary,sentimentEdges,score
Run button,"[0.19543650793650794, 0.0]",2,[0.0489 0.0977 0.1466],0.14657738095238096,0.9362757457320352
SAME thing,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.8729198869700509
anything,"[0.2, 0.2, 0.0, 0.25, 0.0]",5,[0.  0.2 0.2],0.2,1.477621292979321
authentication failure,"[-0.3166666666666667, -0.3166666666666667]",2,[-0.3167 -0.3167 -0.3167],-0.3166666666666667,0.6376693427462888
back cover,"[0.26666666666666666, 0.26666666666666666, 0.06666666666666667, 0.0, 0.15000000000000002]",5,[0.0667 0.15   0.2667],0.26666666666666666,2.1347469779446087
calls,"[0.0, 0.2, 0.0]",3,[0.  0.  0.1],0.1,0.8630834253914289
card,"[0.0, 0.375, 0.0, 0.0]",4,[0.     0.     0.0938],0.09375,0.803143550768946
display connector,"[0.2, 0.0, 0.0]",3,[0.  0.  0.1],0.1,1.0134059991504072
email account,"[0.04999999999999999, 0.0]",2,[0.0125 0.025  0.0375],0.03749999999999999,0.7805036070833825
factory reset,"[0.0, 0.018888888888888882, 0.0, 0.0, 0.0, 0.024999999999999994]",6,[0.     0.     0.0142],0.01416666666666666,1.8360309690726462
help,"[0.0, 0.0, 0.2]",3,[0.  0.  0.1],0.1,0.6728714631425565
input line,"[-0.1, -0.03333333333333333]",2,[-0.0833 -0.0667 -0.05  ],-0.08333333333333334,0.6635690826360137
mobile data,"[0.0, 0.0, 0.225, 0.43392857142857144, 0.35]",5,[0.    0.225 0.35 ],0.35,0.9204978999868881
mobile service,"[-0.125, -0.125]",2,[-0.125 -0.125 -0.125],-0.125,0.7381905265700007
music,"[0.0, 0.0, -0.0625, 0.12]",4,[-0.0156  0.      0.03  ],0.03,0.7115373722546121
next command,"[-0.05833333333333334, 0.19543650793650794]",2,[0.0051 0.0686 0.132 ],0.13199404761904762,0.7277006018726249
notification light,"[0.4, 0.4]",2,[0.4 0.4 0.4],0.4,0.7829042209613484
option,"[0.5, 1.0, 0.0]",3,[0.25 0.5  0.75],0.75,0.8109167391945622
other thread,"[-0.125, -0.125]",2,[-0.125 -0.125 -0.125],-0.125,0.8243402479962665
package manager,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.6557978170375968
package names,"[0.19543650793650794, 0.1]",2,[0.1239 0.1477 0.1716],0.17157738095238095,0.6025997991392477
pm disable-user-0,"[-0.05833333333333334, 0.11666666666666668, 0.0]",3,[-0.0292  0.      0.0583],0.05833333333333334,0.8341465432481804
privacy protection lock,"[0.0, 0.4]",2,[0.1 0.2 0.3],0.30000000000000004,0.8519132905349992
problems,"[0.04545454545454544, 0.0]",2,[0.0114 0.0227 0.0341],0.03409090909090908,0.6254864238087618
removable battery,"[-0.09583333333333334, 0.0]",2,[-0.0719 -0.0479 -0.024 ],-0.07187500000000001,0.9050331739403265
root permission,"[0.0, 0.0, 0.25]",3,[0.    0.    0.125],0.125,0.9450170813952706
safe mode,"[0.5, 0.5, 0.45999999999999996, 0.5, 0.5]",5,[0.5 0.5 0.5],0.5,1.5495954492290418
same number,"[0.03571428571428571, 0.03571428571428571]",2,[0.0357 0.0357 0.0357],0.03571428571428571,0.9375362573725733
special characters,"[0.44642857142857145, 0.35714285714285715]",2,[0.3795 0.4018 0.4241],0.4241071428571429,0.643174514865216
update,"[0.1, 0.0]",2,[0.025 0.05  0.075],0.07500000000000001,0.6429940700581986
volume buttons,"[0.0, 0.0, -0.4]",3,[-0.2  0.   0. ],-0.2,1.1746159737864619
was working,"[0.4166666666666667, 0.4166666666666667]",2,[0.4167 0.4167 0.4167],0.4166666666666667,0.8926417165641537
wifi signal,"[-0.125, 0.0]",2,[-0.0938 -0.0625 -0.0312],-0.09375,0.826532370322215
