,sentiment,occurences,sentimentsSummary,sentimentEdges,score
1 GB,"[0.075, 0.0, 0.0]",3,[0.     0.     0.0375],0.0375,0.8575555115685283
1 gb,"[-0.007301587301587309, 0.21666666666666667, 0.0, 0.0]",4,[-0.0018  0.      0.0542],0.05416666666666667,1.0821145751755532
10 posts,"[0.0, -0.16666666666666666, 0.0, -0.25]",4,[-0.1875 -0.0833  0.    ],-0.1875,1.2408672886433876
12 pm,"[0.375, 0.375, 0.375]",3,[0.375 0.375 0.375],0.375,0.8341465432481804
128 GB card,"[0.09722222222222222, -0.125]",2,[-0.0694 -0.0139  0.0417],-0.06944444444444445,0.7539754951038868
128 gb,"[0.0, 0.0, 0.11666666666666665, 0.0]",4,[0.     0.     0.0292],0.029166666666666664,1.0821145751755532
128 gb card,"[0.75, 0.08333333333333333]",2,[0.25   0.4167 0.5833],0.5833333333333334,0.7539754951038868
16 GB model,"[0.0, 0.7, 0.0]",3,[0.   0.   0.35],0.35,1.2449737435610082
16 gb,"[0.7, 0.05000000000000001, 0.2833333333333334, 0.0]",4,[0.0375 0.1667 0.3875],0.3875,1.0821145751755532
200 GB card,"[0.0, 0.4166666666666667, 0.8]",3,[0.2083 0.4167 0.6083],0.6083333333333334,1.1950228862023284
229 4 GB z3560 model,"[0.13636363636363635, 0.5681818181818181]",2,[0.2443 0.3523 0.4602],0.4602272727272727,0.7854909772278816
256 MB card,"[-0.25, 0.0]",2,[-0.1875 -0.125  -0.0625],-0.1875,0.7194622930887927
299 price tag,"[0.25, 1.0]",2,[0.4375 0.625  0.8125],0.8125,0.7222095373848603
299 version,"[0.0, -0.5, 0.0, 0.0]",4,[-0.125  0.     0.   ],-0.125,0.8889075165504268
2nd gen,"[0.06818181818181818, 0.0, 0.1]",3,[0.0341 0.0682 0.0841],0.08409090909090909,0.6032840751922894
3 dots,"[0.39285714285714285, 0.0, 0.39285714285714285, 0.08928571428571429, 0.08928571428571429]",5,[0.0893 0.0893 0.3929],0.39285714285714285,1.1753342399236646
3 system updates,"[0.18333333333333335, 0.14572927072927075, 0.0]",3,[0.0729 0.1457 0.1645],0.16453130203130206,1.2474439659858352
30 plan,"[0.06818181818181818, 0.0, 0.625]",3,[0.0341 0.0682 0.3466],0.34659090909090906,0.611375626113094
32 gb,"[0.13636363636363635, 0.08214285714285716, 0.25]",3,[0.1093 0.1364 0.1932],0.19318181818181818,0.8575555115685283
32 gb model,"[0.3, 0.3]",2,[0.3 0.3 0.3],0.3,0.7854909772278816
3rd party app,"[0.2, 0.0, 0.06818181818181818, 0.05333333333333333]",4,[0.04   0.0608 0.1011],0.10113636363636364,1.7032957335090064
3rd party apps,"[0.25, -0.0625, 0.18333333333333335, 0.18333333333333335, 0.18333333333333335, 0.18333333333333335, 0.05719696969696969, 0.14444444444444446, 0.21666666666666667]",9,[0.1444 0.1833 0.1833],0.18333333333333335,2.45685484225805
4 GB,"[0.0, 1.0, 0.3, 0.0, 0.0, 0.0, 0.1875, 0.35, 0.0, 0.0]",10,[0.     0.     0.2719],0.271875,1.7973534045813868
4 GB RAM,"[0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.1119047619047619, 0.0, 0.0, 0.5, 0.2708333333333333]",10,[0.    0.    0.153],0.1529761904761905,1.7973534045813868
4 GB variant,"[0.0, 0.0, 0.0, 0.15]",4,[0.     0.     0.0375],0.0375,1.4556899681032072
4 GB version,"[-0.8, 0.13, 0.0, 0.1, 0.0, 0.0]",6,[0.    0.    0.075],0.07500000000000001,2.016486523017879
4 gb,"[0.5, 0.8, 0.0, 0.6, 0.26666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.25, 0.0, 0.16666666666666666, 0.18788515406162465]",15,[0.     0.1    0.2583],0.2583333333333333,2.1138516285621383
4 gb model,"[0.0, 0.3333333333333333]",2,[0.0833 0.1667 0.25  ],0.25,0.7854909772278816
