,sentiment,occurences,sentimentsSummary,sentimentEdges,score
5 mins,"[0.2125, 0.15416666666666667, 0.0]",3,[0.0771 0.1542 0.1833],0.18333333333333335,0.6514714872669906
Thanks,"[0.13333333333333336, 0.2, 0.2]",3,[0.1667 0.2    0.2   ],0.2,0.6496710867101825
USB cable,"[-0.05, -0.5]",2,[-0.3875 -0.275  -0.1625],-0.3875,0.791909410489365
USB driver,"[0.0, -0.15045787545787545]",2,[-0.1128 -0.0752 -0.0376],-0.11284340659340658,0.7645719326061677
USB logo,"[0.0, -0.05555555555555555]",2,[-0.0417 -0.0278 -0.0139],-0.041666666666666664,0.7156425629830738
anything,"[0.0, 0.0, 0.0, 0.15000000000000002]",4,[0.     0.     0.0375],0.037500000000000006,1.2727537051925815
back cover,"[0.25, 0.0625]",2,[0.1094 0.1562 0.2031],0.203125,0.9193854808187616
bad english,"[-0.3999999999999999, -0.42499999999999993]",2,[-0.4188 -0.4125 -0.4062],-0.41874999999999996,0.8033657422614016
battery life,"[0.2125, 0.3, 0.7]",3,[0.2562 0.3    0.5   ],0.5,1.0501666339174147
cache partition,"[0.2833333333333334, 0.01666666666666668, 0.5]",3,[0.15   0.2833 0.3917],0.3916666666666667,1.2782731860586836
call,"[-0.08333333333333333, 0.0, 0.0]",3,[-0.0417  0.      0.    ],-0.041666666666666664,0.80241899306029
clock widget,"[0.4, 0.0]",2,[0.1 0.2 0.3],0.30000000000000004,0.7407600154826478
device,"[0.0, 0.0, 0.0, -0.39583333333333337]",4,[-0.099  0.     0.   ],-0.09895833333333334,0.9832930733136559
factory reset,"[0.0, -0.5, 0.0, 0.0]",4,[-0.125  0.     0.   ],-0.125,1.420547469110618
files,"[-0.6, 0.0, -0.5]",3,[-0.55 -0.5  -0.25],-0.55,0.6505316472016404
firmware version,"[0.2833333333333334, 0.0, 0.2]",3,[0.1    0.2    0.2417],0.2416666666666667,1.1665243354554042
forums,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8]",6,[0.8 0.8 0.8],0.8,1.1902634493400286
having problem,"[0.4, 0.2857142857142857]",2,[0.3143 0.3429 0.3714],0.37142857142857144,1.0102783225537417
help,"[0.09999999999999999, -0.5, 0.2, 0.2]",4,[-0.05  0.15  0.2 ],0.2,0.8490692528515983
home screen,"[-0.051851851851851864, -0.2, 0.0, -0.05]",4,[-0.0889 -0.0509 -0.0375],-0.0888888888888889,0.8557359148676086
internal memory,"[0.0, 0.11666666666666665]",2,[0.0292 0.0583 0.0875],0.0875,0.6651396489646806
laptop,"[0.0, 0.5, 0.0]",3,[0.   0.   0.25],0.25,0.7641182039151292
long press,"[-0.05, -0.025]",2,[-0.0438 -0.0375 -0.0312],-0.043750000000000004,0.7273769861150712
long press power,"[-0.05, -0.05]",2,[-0.05 -0.05 -0.05],-0.05,0.7273769861150712
main speaker,"[-0.16666666666666669, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666]",4,[0.0833 0.25   0.3333],0.3333333333333333,1.5100518699636456
mobile data,"[0.2, 0.0018939393939393923, 0.0, 0.4, 0.26]",5,[0.0019 0.2    0.26  ],0.26,0.9204978999868881
new software,"[0.13636363636363635, 0.13636363636363635]",2,[0.1364 0.1364 0.1364],0.13636363636363635,0.8601187313893215
next step,"[-0.125, 0.040740740740740744]",2,[-0.0836 -0.0421 -0.0007],-0.08356481481481481,0.6813062663009917
notification sound,"[0.4, 0.4, 0.15000000000000002]",3,[0.275 0.4   0.4  ],0.4,1.2648390644754923
same thing,"[0.26666666666666666, 0.0]",2,[0.0667 0.1333 0.2   ],0.2,0.8729198869700509
secondary mic,"[0.3, -0.3]",2,[-0.15  0.    0.15],-0.14999999999999997,0.6850320425555682
service center,"[-0.1, -0.05, -0.1, -0.1]",4,[-0.1    -0.1    -0.0875],-0.1,1.3709828710598995
similar problem,"[0.5, 0.0, 0.25]",3,[0.125 0.25  0.375],0.375,1.529122686986315
system,"[0.25, -0.125, 0.0]",3,[-0.0625  0.      0.125 ],0.125,0.7286432047577275
update,"[0.0, 0.36]",2,[0.09 0.18 0.27],0.27,0.6429940700581986
water damage,"[-0.16666666666666666, 0.0]",2,[-0.125  -0.0833 -0.0417],-0.125,0.6719087718948045
working,"[-0.05, 0.0, 0.0, 0.0]",4,[-0.0125  0.      0.    ],-0.0125,1.0449309447880806
