,sentiment,occurences,sentimentsSummary,sentimentEdges,score
123456 reading,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",3,[0.3333 0.3333 0.3333],0.3333333333333333,0.672194503631589
128 gb,"[0.0, 0.0, -0.07142857142857142, 0.0, 0.0, 0.0, -0.4, 0.0, 0.1875, 0.6, -0.07142857142857142, 0.18831168831168832, 0.0, 0.0, 0.3, 0.0, 0.5, 0.33333333333333337, 0.09444444444444444, 0.0, 0.7]",21,[0.     0.     0.1883],0.18831168831168832,2.37649535099321
128 gb 4,"[0.35714285714285715, 0.35714285714285715, 0.5, 0.43333333333333335, 0.35714285714285715]",5,[0.3571 0.3571 0.4333],0.43333333333333335,1.2562961169936098
128 gb 4 gb,"[0.3666666666666667, 0.3666666666666667]",2,[0.3667 0.3667 0.3667],0.3666666666666667,0.8411827661310272
128 gb capacity,"[0.7666666666666666, 0.7666666666666666]",2,[0.7667 0.7667 0.7667],0.7666666666666666,0.6920881537651892
199 price tag,"[0.0, 0.5]",2,[0.125 0.25  0.375],0.375,0.7222095373848603
200 GB card,"[0.0, 0.2857142857142857]",2,[0.0714 0.1429 0.2143],0.21428571428571427,0.7539754951038868
256 gb card,"[0.44285714285714284, 0.0]",2,[0.1107 0.2214 0.3321],0.33214285714285713,0.7539754951038868
2yr warranty,"[1.0, 1.0, 0.3, 0.4]",4,[0.375 0.7   1.   ],1.0,1.175919263272064
3rd party apps,"[0.375, 0.0, 0.0]",3,[0.     0.     0.1875],0.1875,1.228427421129025
4 kids,"[-0.2, -0.2, -0.2]",3,[-0.2 -0.2 -0.2],-0.2,0.712654973669256
5.2 inch screen,"[0.08482142857142858, 0.044772727272727283, -0.07777777777777779, 0.0]",4,[-0.0194  0.0224  0.0548],0.0547849025974026,0.8160778295111797
50.00 gift card,"[0.5, -0.033333333333333326, 0.5, -0.033333333333333326]",4,[-0.0333  0.2333  0.5   ],0.5,1.1996067695791937
6 gb,"[0.0, -0.07142857142857142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.33333333333333337, 0.16666666666666666, -0.045]",11,[0.     0.     0.0714],0.07142857142857142,1.871750688175288
6 gb ram,"[-0.03571428571428571, -0.07142857142857142, 0.032467532467532464, 0.14285714285714288, 0.0, 0.1875, 0.6, -0.07142857142857142, 0.18831168831168832, 0.0, 0.0, 0.3, 0.4444444444444445, 0.375, 0.43333333333333335, 0.09444444444444444, 0.0]",17,[0.     0.0944 0.3   ],0.3,2.2115515580027356
6 gb ram version,"[0.0, 0.5, 0.5, 0.43333333333333335, 0.0, 0.0, 0.0]",7,[0.     0.     0.4667],0.4666666666666667,2.1899711752405517
6 gig ram 128 gig storage model,"[0.11111111111111112, 0.11111111111111112]",2,[0.1111 0.1111 0.1111],0.11111111111111112,1.0801230563972504
64 GB main storage,"[0.08333333333333333, 0.16666666666666666]",2,[0.1042 0.125  0.1458],0.14583333333333334,0.9461931205733415
64 gb,"[0.0, 1.0, 0.0]",3,[0.  0.  0.5],0.5,0.8575555115685283
64 gb storage,"[0.5, 0.5]",2,[0.5 0.5 0.5],0.5,0.7734978421270414
A7 kinda,"[-0.3, -0.3, -0.3]",3,[-0.3 -0.3 -0.3],-0.3,0.9359123753210711
ATT bill,"[0.175, 0.175]",2,[0.175 0.175 0.175],0.175,0.6888989363532643
Battery life,"[0.11333333333333331, 0.7, 0.7, 1.0, 0.1875, -0.35]",6,[0.1319 0.4438 0.7   ],0.7,1.7127480094638958
Bluetooth headphones,"[0.125, 0.075]",2,[0.0875 0.1    0.1125],0.1125,0.8301141834497093
Bluetooth headset,"[0.20833333333333334, 0.20833333333333334, 0.20833333333333334, 0.35]",4,[0.2083 0.2083 0.2438],0.24375,1.418695229366728
Bluetooth sound system,"[0.1625, 0.1625, 0.1625]",3,[0.1625 0.1625 0.1625],0.1625,1.3959609175464593
Calendar app,"[0.0, 0.0, -0.25]",3,[-0.125  0.     0.   ],-0.125,1.5044458124249533
Chinese brand,"[0.29, 0.25999999999999995]",2,[0.2675 0.275  0.2825],0.2825,0.6944487715218276
Front facing speakers,"[0.0, 0.2]",2,[0.05 0.1  0.15],0.15000000000000002,0.9487325496272445
Full Refund,"[0.5249999999999999, 0.5249999999999999, 0.5249999999999999]",3,[0.525 0.525 0.525],0.5249999999999999,1.141766648317335
Gear icon,"[0.18571428571428572, 0.18571428571428572, 0.18571428571428572]",3,[0.1857 0.1857 0.1857],0.18571428571428572,0.7147256781624216
Getting 30mb,"[-0.15555555555555559, -0.15555555555555559, -0.15555555555555559]",3,[-0.1556 -0.1556 -0.1556],-0.15555555555555559,0.7106735914330274
Good lighting,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.7487359990741765
Good luck,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.41818181818181815, 0.7, 0.7, 0.7]",10,[0.7 0.7 0.7],0.7,2.667441133885319
Good point,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.7076665873233614
Good thing,"[0.5249999999999999, 0.5249999999999999, 0.5249999999999999]",3,[0.525 0.525 0.525],0.5249999999999999,1.2012613476737715
Great audio,"[0.26666666666666666, 0.8]",2,[0.4    0.5333 0.6667],0.6666666666666667,0.737394768365542
Internet working,"[1.0, 1.0, 1.0]",3,[1. 1. 1.],1.0,1.3465091404172878
MMS,"[0.0, 0.6, 0.0, 0.0]",4,[0.   0.   0.15],0.15,1.1027297237213005
Mobile sim,"[-0.1, -0.1, -0.1]",3,[-0.1 -0.1 -0.1],-0.1,0.6283375685423909
"New"" Fast battery drain apps","[0.2787878787878788, 0.2787878787878788]",2,[0.2788 0.2788 0.2788],0.2787878787878788,1.2644864207894553
Numerous minor enhancements,"[-0.025, -0.025]",2,[-0.025 -0.025 -0.025],-0.025,0.8727214935770531
OP mentioned call quality,"[0.25, 0.25]",2,[0.25 0.25 0.25],0.25,0.9994919231170353
OS,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.6072210522297913
One thing,"[0.0, 0.0, 0.18, 0.23333333333333336, -0.1]",5,[0.   0.   0.18],0.18,1.113703407139751
Only thing,"[0.32, 0.32, -0.23125, 0.0, 0.009259259259259264]",5,[0.     0.0093 0.32  ],0.32,2.0220942228298453
Quick question,"[0.3333333333333333, 0.3333333333333333]",2,[0.3333 0.3333 0.3333],0.3333333333333333,0.7823786088359153
RF performance,"[0.0, 0.0, 0.1, 0.1, 0.1]",5,[0.  0.1 0.1],0.1,0.6517504469159286
SD Card,"[0.17857142857142858, 0.0]",2,[0.0446 0.0893 0.1339],0.13392857142857142,0.7642684418078175
Signal strength,"[0.23214285714285715, -0.3, 0.0]",3,[-0.15    0.      0.1161],-0.15,1.2952884077687845
Super settings,"[0.3444444444444444, 0.3444444444444444]",2,[0.3444 0.3444 0.3444],0.3444444444444444,0.7652467442655404
Thanks,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.1, 0.2, 0.2, 0.2, 0.0, 0.0, 0.2, 0.2, 0.2, 0.225, 0.2, 0.2, 0.2, 0.21666666666666667, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",27,[0.2 0.2 0.2],0.2,1.9490132601305472
Thanks folks,"[0.05, 0.2]",2,[0.0875 0.125  0.1625],0.16250000000000003,0.6975184364259248
Was hoping,"[0.705, 1.0]",2,[0.7787 0.8525 0.9262],0.92625,0.8494974801323497
Wifi calling,"[0.0, 0.4166666666666667]",2,[0.1042 0.2083 0.3125],0.3125,0.7517823450475752
ZTE apps,"[0.16666666666666666, -0.2]",2,[-0.1083 -0.0167  0.075 ],-0.10833333333333336,0.6103506053928607
ZTE forums,"[-0.125, -0.125, 0.2, -0.125, 0.06666666666666667]",5,[-0.125  -0.125   0.0667],-0.125,1.0691474799224865
accidental damage,"[0.1, 0.0]",2,[0.025 0.05  0.075],0.07500000000000001,0.6376048100481024
advice,"[0.0, 0.2, 0.2]",3,[0.1 0.2 0.2],0.2,0.8631265642196753
affordable flagships,"[0.0, 0.37]",2,[0.0925 0.185  0.2775],0.27749999999999997,0.7127916300481997
affords timely updates,"[-0.05, -0.05]",2,[-0.05 -0.05 -0.05],-0.05,0.7706757667744533
amazing device,"[0.6000000000000001, 0.6000000000000001]",2,[0.6 0.6 0.6],0.6000000000000001,0.7560304267986143
amazing shots,"[0.3333333333333333, 0.3333333333333333]",2,[0.3333 0.3333 0.3333],0.3333333333333333,0.6701926234368889
ambient display,"[0.8, -0.22499999999999995]",2,[0.0313 0.2875 0.5438],0.5437500000000001,0.6358210797257398
app,"[0.0, 0.125, 0.0, -0.1, -0.3, 0.0, 0.4166666666666667, 0.0, 0.4166666666666667, 0.0, 0.4166666666666667, 0.0625, 0.14285714285714285, 0.14285714285714285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6]",24,[0.     0.     0.1295],0.1294642857142857,3.2375762979585025
app data,"[0.13636363636363635, 0.16666666666666666, 0.2888888888888889]",3,[0.1515 0.1667 0.2278],0.2277777777777778,1.1191884393123699
app updates,"[-0.2, 0.25]",2,[-0.0875  0.025   0.1375],0.1375,0.9506492353129318
audio,"[0.0, 1.0, 0.0, 0.5, 0.41111111111111115, 0.0, 0.0, 0.0]",8,[0.     0.     0.4333],0.43333333333333335,1.3061520355984968
audio capabilities,"[0.0, 0.16666666666666666]",2,[0.0417 0.0833 0.125 ],0.125,0.7384181624179867
audio quality,"[0.2861111111111111, 0.8, 0.5, 0.8, 0.0, 0.16666666666666666, 0.5]",7,[0.2264 0.5    0.65  ],0.65,1.828492073523665
audio side,"[-0.35, 0.6]",2,[-0.1125  0.125   0.3625],0.36249999999999993,0.6667375616202181
auto mode,"[0.3375, 0.0, 0.20000000000000004, 0.0, 0.06666666666666667, 0.3888888888888889]",6,[0.0167 0.1333 0.3031],0.30312500000000003,1.6866014131753806
average processor,"[-0.045, -0.045]",2,[-0.045 -0.045 -0.045],-0.045,0.6330989208279184
awesome device,"[1.0, 0.55, 1.0, 1.0]",4,[0.8875 1.     1.    ],1.0,1.6296334755504183
awesome speakers,"[0.7666666666666666, 0.7666666666666666]",2,[0.7667 0.7667 0.7667],0.7666666666666666,0.7849146566358971
back button,"[0.2861111111111111, 0.0]",2,[0.0715 0.1431 0.2146],0.21458333333333332,0.933221294104104
bad radios,"[-0.12624999999999995, -0.28181818181818175]",2,[-0.2429 -0.204  -0.1651],-0.2429261363636363,0.8439399079161671
bad unit,"[-0.09999999999999992, -0.2712121212121212]",2,[-0.2284 -0.1856 -0.1428],-0.22840909090909084,0.7870738365543346
battery life,"[0.0, 0.0, 0.25, 0.5, 0.16666666666666666, -0.25, -0.1, 0.19444444444444442, 0.11333333333333331, 0.5, 0.1, 0.10833333333333331, 0.5, 0.1, 0.008333333333333415, 0.07500000000000001, 0.0, -0.16666666666666666, 0.1, 0.2, -0.1875, -0.1875, 0.17500000000000002, 0.6000000000000001, 0.0, -0.8, -0.25, 0.45, -1.0, 0.375, 0.06000000000000001, 0.5, 0.0, 0.0, 0.6428571428571428, -0.4708333333333332, -0.025, 0.38888888888888884, 0.2111111111111111, 0.45, 0.0, 0.0, 0.7]",43,[0.     0.1    0.3125],0.3125,3.595341965249906
battery manager,"[0.0, 0.7]",2,[0.175 0.35  0.525],0.5249999999999999,0.820018143216018
battery usage,"[-0.5, 0.0]",2,[-0.375 -0.25  -0.125],-0.375,0.9324721875338766
bell notification,"[0.0, -0.2]",2,[-0.15 -0.1  -0.05],-0.15000000000000002,0.7620084922277355
beta testing,"[0.0, 0.03333333333333335]",2,[0.0083 0.0167 0.025 ],0.02500000000000001,0.6840906997514082
big brother,"[0.128125, 0.0, 0.26666666666666666]",3,[0.0641 0.1281 0.1974],0.19739583333333333,1.0349943499102388
big deal,"[0.0, 0.1]",2,[0.025 0.05  0.075],0.07500000000000001,0.6729493889499231
big difference,"[0.3333333333333333, 0.0, -0.05555555555555555]",3,[-0.0278  0.      0.1667],0.16666666666666666,1.294077560372312
bill having,"[-0.16125, -0.16125, -0.16125]",3,[-0.1612 -0.1612 -0.1612],-0.16125,1.257129932661085
black Friday deal,"[-0.16666666666666666, -0.16666666666666666, -0.16666666666666666]",3,[-0.1667 -0.1667 -0.1667],-0.16666666666666666,1.1785397029321327
black Friday deals,"[-0.16666666666666666, -0.08333333333333333, -0.16666666666666666, -0.16666666666666666]",4,[-0.1667 -0.1667 -0.1458],-0.16666666666666666,1.442957445014705
black carbon fiber skin,"[-0.16666666666666666, -0.16666666666666666, -0.16666666666666666]",3,[-0.1667 -0.1667 -0.1667],-0.16666666666666666,0.977072788371706
black friday deal,"[0.11111111111111112, 0.11111111111111112]",2,[0.1111 0.1111 0.1111],0.11111111111111112,0.743575764345149
bluetooth device,"[0.2375, 0.2375]",2,[0.2375 0.2375 0.2375],0.2375,0.7546043518191936
bug fixes,"[-0.025, -0.025]",2,[-0.025 -0.025 -0.025],-0.025,0.7723416797522862
build,"[0.5, -0.125, 0.0]",3,[-0.0625  0.      0.25  ],0.25,0.9279580655543854
build materials,"[0.0, 0.09523809523809523]",2,[0.0238 0.0476 0.0714],0.07142857142857142,0.7676787125584879
build quality,"[0.0, 0.0, 0.4333333333333333, 0.0, -0.04999999999999999, -0.6999999999999998, -0.35, 0.09523809523809523, 0.0, 0.0, 0.7, 1.0, 0.041666666666666664, 0.0, 0.5, 0.0, 0.7999999999999999, 0.4166666666666667]",18,[0.     0.     0.4292],0.42916666666666664,3.187136131449582
buy,"[1.0, -0.03571428571428571, 1.0]",3,[0.4821 1.     1.    ],1.0,0.9955050042902187
cache wipe,"[-0.125, 0.0]",2,[-0.0938 -0.0625 -0.0312],-0.09375,0.8174807655113636
called verizon,"[0.13636363636363635, 0.13636363636363635, 0.13636363636363635]",3,[0.1364 0.1364 0.1364],0.13636363636363635,1.1270784722726823
calls,"[0.0, 0.0, 0.5, 0.0, 0.08333333333333333, 0.0, 0.0, 0.0, 0.55, 0.0]",10,[0.     0.     0.0625],0.0625,1.8089393772627937
camera app,"[0.11384615384615385, 0.08333333333333333, 0.10416666666666666]",3,[0.0938 0.1042 0.109 ],0.10900641025641025,1.1191884393123699
camera software,"[0.10833333333333335, 0.0, 0.06666666666666667]",3,[0.0333 0.0667 0.0875],0.08750000000000001,1.0174682173943739
capacitive buttons,"[0.0, 0.0, -0.06666666666666665, 0.0, 0.0, 0.0, 0.06666666666666667, 0.0, 0.075, 0.0, 0.0, 0.3083333333333334, 0.25, 0.9, 0.5, 0.0, 0.0]",17,[0.    0.    0.075],0.075,3.060321887281689
capacitive keys,"[0.0, 0.4, 0.0625]",3,[0.0312 0.0625 0.2312],0.23125,1.0893782048748128
car,"[0.5, -0.4, -0.4, -0.4, -0.125, 0.7, 0.0, 0.0]",8,[-0.4    -0.0625  0.125 ],-0.4,1.8788699981670662
card,"[-0.17708333333333331, 0.05000000000000002, 0.0, 0.0, -0.17708333333333331, -0.17708333333333331, 0.0]",7,[-0.1771  0.      0.    ],-0.17708333333333331,1.127354500185011
case scenario,"[-0.25, -0.15000000000000002, -0.18333333333333335, -1.0]",4,[-0.4375 -0.2167 -0.175 ],-0.4375,1.7573517725637156
cell signal,"[-0.4, 0.0, 0.5, 0.0, 0.3]",5,[0.  0.  0.3],0.3,1.9780959606681079
chance,"[0.0, 0.25, 0.0]",3,[0.    0.    0.125],0.125,0.7744951166180972
