,sentiment,occurences,sentimentsSummary,sentimentEdges,score
Cheers,"[0.5, 0.3333333333333333, 0.5, 0.5]",4,[0.4583 0.5    0.5   ],0.5,1.0025889880104735
battery life,"[0.5, 0.30000000000000004, 0.0, -0.1, 0.15]",5,[0.   0.15 0.3 ],0.30000000000000004,1.5384663110304893
deal breaker,"[0.0, 0.0, 0.2]",3,[0.  0.  0.1],0.1,1.0413347608281578
device,"[0.0, 0.0, -0.125, 0.45, -0.1851851851851852]",5,[-0.125  0.     0.   ],-0.125,1.1415679062175583
device names,"[0.08333333333333333, 0.16666666666666666]",2,[0.1042 0.125  0.1458],0.14583333333333334,0.6366550874497031
devices,"[0.0, 0.0, 0.14285714285714285]",3,[0.     0.     0.0714],0.07142857142857142,0.7214503684804439
doing anything,"[0.0, 0.0, 0.375, -0.21250000000000002]",4,[-0.0531  0.      0.0938],0.09375,1.837131371345418
fingerprint scanner,"[0.0, -0.0625, 0.0]",3,[-0.0312  0.      0.    ],-0.03125,1.2324267178569699
fingerprint sensor,"[0.0, 0.7, 0.0, 0.0, -0.75, 0.0, -0.2, 0.35, 0.037500000000000006]",9,[0.     0.     0.0375],0.037500000000000006,2.654689540516192
good size,"[0.3625, 0.7]",2,[0.4469 0.5312 0.6156],0.6156249999999999,0.6696170873034964
hardware,"[0.5, 0.25, 0.0, 0.2125]",4,[0.1594 0.2312 0.3125],0.3125,1.2528352813686596
monthly security updates,"[0.3333333333333333, 0.1, 0.1]",3,[0.1    0.1    0.2167],0.21666666666666667,1.6812484486810864
monthly updates,"[6.938893903907228e-18, 0.0, 0.0]",3,[0. 0. 0.],3.469446951953614e-18,1.274868684814356
other devices,"[0.06875, 0.125, 0.05892857142857143]",3,[0.0638 0.0688 0.0969],0.096875,1.3505672109195326
point,"[0.0, 0.0, 0.5]",3,[0.   0.   0.25],0.25,0.6390068556535662
price point,"[0.13, -0.1]",2,[-0.0425  0.015   0.0725],0.07250000000000001,0.7507085483144313
price range,"[0.5, 0.5, 0.5]",3,[0.5 0.5 0.5],0.5,1.3168607232194698
problems,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.6254864238087618
same price point,"[0.0, 0.2125]",2,[0.0531 0.1062 0.1594],0.159375,1.039326216169271
security,"[0.25555555555555554, 0.0, 0.5]",3,[0.1278 0.2556 0.3778],0.37777777777777777,0.9747321563071693
security features,"[0.125, 0.0, -0.10000000000000002]",3,[-0.05    0.      0.0625],0.0625,1.301995364043369
security patches,"[-0.125, 0.1, 0.0, -0.15, -0.08181818181818182]",5,[-0.125  -0.0818  0.    ],-0.125,1.877934994260073
security updates,"[0.0, 0.09999999999999999, -0.015625]",3,[-0.0078  0.      0.05  ],0.049999999999999996,1.4072465539914283
virtual keyboard,"[0.0, 0.55]",2,[0.1375 0.275  0.4125],0.41250000000000003,0.6939126226392793
