,sentiment,occurences,sentimentsSummary,sentimentEdges,score
3 GB RAM,"[-0.16875, -0.30000000000000004, 0.05, 0.0, 0.0]",5,[-0.1688  0.      0.    ],-0.16875,1.2562961169936098
3 vertical dots,"[0.2008888888888889, 0.3644444444444444]",2,[0.2418 0.2827 0.3236],0.32355555555555554,0.7611148788969001
32 GB version,"[0.011111111111111108, 0.011111111111111108]",2,[0.0111 0.0111 0.0111],0.011111111111111108,0.7800834721800864
4 GB RAM,"[-0.03333333333333336, 0.34249999999999997, 0.0, 0.0]",4,[-0.0083  0.      0.0856],0.08562499999999999,1.0821145751755532
5 settings,"[0.25, 0.4166666666666667, 0.22142857142857145, 0.09999999999999999, 0.09999999999999999, 0.09999999999999999, 0.09999999999999999]",7,[0.1    0.1    0.2357],0.2357142857142857,1.5614181251336738
64 GB storage,"[0.3, 0.34249999999999997, 0.34249999999999997, 0.0]",4,[0.225  0.3212 0.3425],0.34249999999999997,1.5469956842540828
64 gb storage,"[0.38690476190476186, -0.05357142857142857]",2,[0.0565 0.1667 0.2768],0.27678571428571425,0.7734978421270414
Apps,"[0.17222222222222222, 0.0]",2,[0.0431 0.0861 0.1292],0.12916666666666665,0.6103506053928607
Double tap,"[0.25, 0.03125]",2,[0.0859 0.1406 0.1953],0.1953125,0.863542724679456
DualPro case,"[0.0, 0.12323232323232325]",2,[0.0308 0.0616 0.0924],0.09242424242424244,0.6783525904436862
Enterprise market,"[0.5666666666666667, 0.15833333333333333]",2,[0.2604 0.3625 0.4646],0.46458333333333335,0.6302552320169991
Good question,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.7516068297607835
Great news,"[0.8, 0.8]",2,[0.8 0.8 0.8],0.8,0.7434396564840143
Great review,"[0.8, 0.8]",2,[0.8 0.8 0.8],0.8,0.7276967834126316
Many thanks,"[0.35, 0.35]",2,[0.35 0.35 0.35],0.35,0.7738948108863504
New texts,"[0.018181818181818174, 0.13636363636363635]",2,[0.0477 0.0773 0.1068],0.10681818181818181,0.6497950573033019
Only thing,"[0.075, 0.075, 0.0, 0.0, -0.041666666666666664]",5,[0.    0.    0.075],0.075,2.0220942228298453
SILVER UNLOCKED DEVICE,"[0.03115079365079364, 0.03115079365079364]",2,[0.0312 0.0312 0.0312],0.03115079365079364,0.9524515936072194
Thanks,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",8,[0.2 0.2 0.2],0.2,1.2296904559216688
actual device,"[0.14927272727272725, 0.1125]",2,[0.1217 0.1309 0.1401],0.14007954545454546,0.6688743700581343
adaptive brightness,"[0.7, 0.0, 0.0, 0.4166666666666667]",4,[0.     0.2083 0.4875],0.4875,1.3155777992124744
anything,"[0.0, 0.5, 0.0]",3,[0.   0.   0.25],0.25,1.0086334476920757
app drawer,"[0.0, -0.1263888888888889]",2,[-0.0948 -0.0632 -0.0316],-0.09479166666666669,0.9226892851470587
apps,"[0.0, 0.6, 0.6, 0.0, 0.7666666666666666]",5,[0.  0.6 0.6],0.6,1.4171902183931933
aspect ratio,"[-0.020833333333333336, 0.25]",2,[0.0469 0.1146 0.1823],0.18229166666666666,0.6200177201117368
back,"[0.0, 0.5, 0.0]",3,[0.   0.   0.25],0.25,0.9298928168851572
back button,"[0.1388888888888889, 0.0037037037037036904]",2,[0.0375 0.0713 0.1051],0.1050925925925926,0.933221294104104
background,"[0.0, 0.0, 0.0, -0.0732638888888889]",4,[-0.0183  0.      0.    ],-0.018315972222222227,0.9713366185011406
battery life,"[0.5, -0.010000000000000009, 0.7, 0.14444444444444446, 0.5583333333333333, 0.0, -0.13333333333333333, -0.2, 0.5047619047619047, 0.25972222222222224, -0.20833333333333334, 1.0, 0.0, 0.8, 0.55, 0.5, 0.4, 1.0]",18,[0.     0.45   0.5562],0.55625,2.7629146433813103
battery size,"[0.15000000000000002, 0.07083333333333336, 1.0]",3,[0.1104 0.15   0.575 ],0.575,1.2920875698828957
bend test,"[0.0062500000000000056, 0.2]",2,[0.0547 0.1031 0.1516],0.15156250000000002,0.7293692684719014
big deal,"[0.0, -0.038095238095238106, 0.0]",3,[-0.019  0.     0.   ],-0.019047619047619053,1.0665995463688442
big ones,"[0.0, 0.05]",2,[0.0125 0.025  0.0375],0.037500000000000006,0.808784765506316
big screen,"[0.0, 0.0, 0.25, 0.0]",4,[0.     0.     0.0625],0.0625,0.957789894104727
bit,"[0.05357142857142856, 0.5, 0.5]",3,[0.2768 0.5    0.5   ],0.5,1.031619516508908
black version,"[-0.08333333333333333, 0.16666666666666669, 0.16666666666666669]",3,[0.0417 0.1667 0.1667],0.16666666666666669,0.7044425401707985
brand new device,"[0.13636363636363635, 0.29499072356215217]",2,[0.176  0.2157 0.2553],0.2553339517625232,0.9140982066917602
build quality,"[0.0, 0.1, -0.75, 0.4375, 0.55]",5,[0.     0.1    0.4375],0.4375,1.774684418372934
business cards,"[0.0, 0.10714285714285714]",2,[0.0268 0.0536 0.0804],0.08035714285714285,0.708751480761437
call quality,"[-0.125, 0.25]",2,[-0.0312  0.0625  0.1562],0.15625,0.703932686307918
car,"[0.0, 0.05000000000000002, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0]",8,[0.     0.     0.0125],0.012500000000000004,1.8788699981670662
card,"[0.43333333333333335, 0.0, 0.0]",3,[0.     0.     0.2167],0.21666666666666667,0.6364762053324088
carrier,"[0.0, 0.5, -0.25, 0.0, 0.5]",5,[0.  0.  0.5],0.5,1.4447969267515395
case,"[0.14285714285714285, 0.5, -0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21428571428571427, 0.0, 0.0, 0.0]",12,[0.     0.     0.0357],0.03571428571428571,2.4318685990076716
cases,"[0.0, 0.0, 0.5, -0.5895833333333333]",4,[-0.1474  0.      0.125 ],-0.14739583333333334,0.9677865781854357
code name,"[0.0, 0.475]",2,[0.1188 0.2375 0.3562],0.35624999999999996,0.8612770828693983
code names,"[0.35, 0.13636363636363635]",2,[0.1898 0.2432 0.2966],0.296590909090909,0.6976882719246064
comments,"[0.0, 0.4, 0.0]",3,[0.  0.  0.2],0.2,0.6875528526256328
conference calls,"[0.42500000000000004, 0.8]",2,[0.5188 0.6125 0.7062],0.70625,0.6699834672851183
contacts,"[0.0, 0.0, 0.0, 0.1, 0.25, 0.0]",6,[0.    0.    0.075],0.07500000000000001,1.5232917010346323
convenience key,"[0.09523809523809523, 0.05000000000000001, -0.04]",3,[0.005  0.05   0.0726],0.07261904761904762,1.0203602271061152
cool feature,"[0.6025, 0.075]",2,[0.2069 0.3388 0.4706],0.470625,0.8670710221617954
couple issues,"[0.25, 0.0]",2,[0.0625 0.125  0.1875],0.1875,0.8814039096426187
credit card,"[0.0, 0.1, 0.0]",3,[0.   0.   0.05],0.05,1.0861652097229706
current software,"[0.2333333333333333, 0.15833333333333333]",2,[0.1771 0.1958 0.2146],0.21458333333333332,0.8425663129772145
cursor mode,"[0.0, 0.5]",2,[0.125 0.25  0.375],0.375,0.6289014273465228
custom ROM,"[-0.0625, -0.15, 0.0]",3,[-0.1062 -0.0625 -0.0312],-0.10625,1.037464450498494
customer service,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.8058337150350469
daily driver,"[0.38571428571428573, 0.0]",2,[0.0964 0.1929 0.2893],0.2892857142857143,0.7854267592083822
dark theme,"[-0.1263888888888889, -0.15, -0.15]",3,[-0.15   -0.15   -0.1382],-0.15,1.1386637996686402
decent amount,"[-0.04800000000000001, 0.08888888888888889]",2,[-0.0138  0.0204  0.0547],0.05466666666666666,0.8041270865177355
device,"[0.0, 0.0, 0.0, 0.0, 0.35, 0.0, 0.0, 0.0, 0.0, 0.10714285714285714, 0.11666666666666665, -0.16666666666666666, 0.4, 0.5, -0.1, 0.5, 0.0, 0.8, 0.25, 0.5, 0.0, 0.4, 0.75, 0.0, 0.13636363636363635, 0.0, 0.0, 0.35416666666666663, 0.375]",29,[0.    0.    0.375],0.375,2.388409531399162
device ambassador program,"[0.26666666666666666, 0.20833333333333334]",2,[0.2229 0.2375 0.2521],0.2520833333333333,0.8199356693080448
device search,"[0.0, -0.13333333333333333, -0.025]",3,[-0.0792 -0.025  -0.0125],-0.07916666666666666,1.0769369273843084
devices,"[0.0, -0.15555555555555559, 0.125, 0.31333333333333335, 0.05555555555555555, 0.25, 0.0, 0.0, 0.10714285714285714, 0.0, 0.14375, 0.0, -0.125]",13,[0.    0.    0.125],0.125,1.6843828147213942
devices going,"[0.3, 0.0]",2,[0.075 0.15  0.225],0.22499999999999998,0.7226331996141913
dictation key,"[-0.15625, -0.15625]",2,[-0.1562 -0.1562 -0.1562],-0.15625,0.617919582125083
"disable"" dictation key","[0.1, 0.2]",2,[0.125 0.15  0.175],0.17500000000000002,0.617919582125083
display,"[0.3333333333333333, 0.1, 0.2619047619047619, 0.07000000000000002, 0.5]",5,[0.1    0.2619 0.3333],0.3333333333333333,0.9022001909278587
double tap,"[0.0, 0.0, 0.175, 0.03125, 0.26666666666666666]",5,[0.     0.0312 0.175 ],0.175,2.0050841135688113
double tapping,"[0.07000000000000002, 0.0]",2,[0.0175 0.035  0.0525],0.05250000000000002,0.73596777476956
enter key,"[-0.08333333333333333, 0.0]",2,[-0.0625 -0.0417 -0.0208],-0.0625,0.6835161337506248
experience,"[0.5, 0.0, 0.0, 0.0]",4,[0.    0.    0.125],0.125,1.1925099812584419
extra gig,"[-0.010101010101010102, -0.05555555555555555, 0.25]",3,[-0.0328 -0.0101  0.1199],0.11994949494949494,1.3085366965428369
factory reset,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.710273734555309
fair amount,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.8467979001905768
feature,"[0.234375, 0.0, 0.08333333333333333]",3,[0.0417 0.0833 0.1589],0.15885416666666666,0.9407387620323595
few people,"[-0.0050000000000000044, -0.1]",2,[-0.0763 -0.0525 -0.0288],-0.07625000000000001,0.6104989240360964
file manager,"[0.0, 0.1]",2,[0.025 0.05  0.075],0.07500000000000001,0.6205337452677321
finger print scanner,"[0.48148148148148145, 0.0]",2,[0.1204 0.2407 0.3611],0.3611111111111111,0.9532415713115864
fingerprint scanner,"[0.59375, 0.0, 0.25]",3,[0.125  0.25   0.4219],0.421875,1.2324267178569699
fingerprint sensor,"[0.8, -0.0625, 0.8, 0.2857142857142857, 0.0]",5,[0.     0.2857 0.8   ],0.8,1.9445249412915309
flagship devices,"[0.38690476190476186, 0.34249999999999997]",2,[0.3536 0.3647 0.3758],0.3758035714285714,0.7020248179425219
form factor,"[0.0, 0.5, 0.0]",3,[0.   0.   0.25],0.25,1.1742991696961538
free 2-day shipping,"[0.6000000000000001, 0.4]",2,[0.45 0.5  0.55],0.55,0.7961941629462909
full volume,"[0.575, 0.06111111111111111]",2,[0.1896 0.3181 0.4465],0.44652777777777775,0.6582449712677164
gallery app,"[0.0, -0.225]",2,[-0.1688 -0.1125 -0.0562],-0.16875,0.8617749092196852
getting notifications,"[0.0, 0.041666666666666664, 0.0]",3,[0.     0.     0.0208],0.020833333333333332,1.2468026006551323
getting use,"[0.6, 0.0]",2,[0.15 0.3  0.45],0.44999999999999996,0.9033031528553914
glorious opportunity,"[0.26666666666666666, 0.20833333333333334]",2,[0.2229 0.2375 0.2521],0.2520833333333333,0.7035955850522162
good chance,"[0.3444444444444444, 0.7]",2,[0.4333 0.5222 0.6111],0.611111111111111,0.7639526391176051
good deal,"[0.25625, 0.7]",2,[0.3672 0.4781 0.5891],0.5890624999999999,0.6706686255767433
good idea,"[0.7, 0.5375, 0.7, 0.31666666666666665]",4,[0.4823 0.6187 0.7   ],0.7,1.6297483004528885
good job,"[0.28939393939393937, 0.7, 0.7]",3,[0.4947 0.7    0.7   ],0.7,1.2102863890620132
good thing,"[0.38, 0.09107142857142855]",2,[0.1633 0.2355 0.3078],0.30776785714285715,0.7579115260627294
good way,"[5.551115123125783e-17, -0.35, 0.26666666666666666, 0.9099999999999999]",4,[-0.0875  0.1333  0.4275],0.4275,1.3540691793363795
great company,"[0.25, 0.8]",2,[0.3875 0.525  0.6625],0.6625000000000001,0.6788070829625568
