,sentiment,occurences,sentimentsSummary,sentimentEdges,score
Volume rocker,"[0.24, 0.21818181818181817]",2,[0.2236 0.2291 0.2345],0.23454545454545453,0.6967274505756043
battery life,"[0.0, 0.0, 0.0, 0.59375]",4,[0.     0.     0.1484],0.1484375,1.3251627510929627
bottom bezel,"[0.13452380952380955, 0.13452380952380955]",2,[0.1345 0.1345 0.1345],0.13452380952380955,0.7708184688865686
build quality,"[0.37916666666666665, 0.37916666666666665]",2,[0.3792 0.3792 0.3792],0.37916666666666665,0.7643149769713367
case,"[0.0, 0.0, 0.4166666666666667]",3,[0.     0.     0.2083],0.20833333333333334,1.0751634181202994
convenience key,"[0.0, 0.049999999999999996, 0.16666666666666666, 0.0, 0.21818181818181817]",5,[0.     0.05   0.1667],0.16666666666666666,1.494800714304189
daily driver,"[0.15, 0.1875, 0.1875]",3,[0.1688 0.1875 0.1875],0.1875,1.244871960408231
device,"[0.0, 0.5, 0.13863636363636364]",3,[0.0693 0.1386 0.3193],0.31931818181818183,0.7792413242105017
equal causing,"[0.24, 0.21818181818181817]",2,[0.2236 0.2291 0.2345],0.23454545454545453,0.7419300216015481
form factor,"[1.0, 0.2333333333333333]",2,[0.425  0.6167 0.8083],0.8083333333333333,0.7409002857555613
getting one,"[0.325, 0.225, 0.375]",3,[0.275 0.325 0.35 ],0.35,0.7106735914330274
headphone jack,"[0.0, 0.4, 0.0]",3,[0.  0.  0.2],0.2,1.1634779489611016
home button,"[0.5, 0.0, 0.35, 0.625]",4,[0.2625 0.425  0.5312],0.53125,1.6825690268217364
left side,"[0.24, 0.21818181818181817]",2,[0.2236 0.2291 0.2345],0.23454545454545453,0.676225337341102
medium user,"[0.4454545454545455, 0.4454545454545455]",2,[0.4455 0.4455 0.4455],0.4454545454545455,0.6184732777634194
only brief testing,"[0.26666666666666666, 0.26666666666666666]",2,[0.2667 0.2667 0.2667],0.26666666666666666,0.8794712450536
only thing,"[0.025000000000000005, 0.2333333333333333]",2,[0.0771 0.1292 0.1812],0.18125,0.8708685799884505
quick thoughts,"[0.37916666666666665, 0.37916666666666665]",2,[0.3792 0.3792 0.3792],0.37916666666666665,0.7245642520413166
secure folder,"[0.2833333333333333, 0.4, 0.25]",3,[0.2667 0.2833 0.3417],0.3416666666666667,0.980083804494341
security suite,"[0.1, 0.0]",2,[0.025 0.05  0.075],0.07500000000000001,0.7988514892348229
similar experience,"[0.1857142857142857, 0.1857142857142857]",2,[0.1857 0.1857 0.1857],0.1857142857142857,0.9042805434058191
software suite,"[0.20625, 1.0]",2,[0.4047 0.6031 0.8016],0.8015625,0.8196257115926975
speaker volume,"[0.26666666666666666, 0.26666666666666666]",2,[0.2667 0.2667 0.2667],0.26666666666666666,0.7751943813378273
started using,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.8459491085293306
taking pictures,"[-0.35, 0.0]",2,[-0.2625 -0.175  -0.0875],-0.26249999999999996,0.6693770085992069
top bezel,"[0.1857142857142857, 0.1857142857142857]",2,[0.1857 0.1857 0.1857],0.1857142857142857,0.7800176893739134
wireless charging,"[0.0, 0.2333333333333333]",2,[0.0583 0.1167 0.175 ],0.175,0.7437001163733141
