,sentiment,occurences,sentimentsSummary,sentimentEdges,score
100%return rate,"[0.0, 0.0, 0.13749999999999998]",3,[0.     0.     0.0687],0.06874999999999999,0.6024041512950764
17th build date,"[0.0, 0.6]",2,[0.15 0.3  0.45],0.44999999999999996,0.8978230081229532
2 GMAIL accounts,"[0.0, 0.0, 0.05500000000000001, 0.05500000000000001]",4,[0.     0.0275 0.055 ],0.05500000000000001,1.3519908593100076
3 dots,"[0.2619047619047619, 0.35714285714285715, -0.175, 0.0]",4,[-0.0438  0.131   0.2857],0.28571428571428575,1.012377810072263
3rd party keyboard,"[-0.1, 0.0]",2,[-0.075 -0.05  -0.025],-0.07500000000000001,0.7088482929299778
64 GB card,"[0.6500000000000001, 0.0]",2,[0.1625 0.325  0.4875],0.4875000000000001,0.7539754951038868
699 launch price,"[0.2125, 0.2125, 0.2125]",3,[0.2125 0.2125 0.2125],0.2125,1.2780053703374403
Android apps,"[0.3648148148148148, 0.5, 0.0]",3,[0.1824 0.3648 0.4324],0.4324074074074074,0.9673828218401401
Android users,"[0.125, 0.2, 0.0]",3,[0.0625 0.125  0.1625],0.1625,0.8526743879535628
Apps,"[0.0, 0.0, 0.475, 0.15000000000000002]",4,[0.     0.075  0.2312],0.23125,1.2207012107857214
BB user,"[0.2583333333333333, -0.12840909090909092]",2,[-0.0317  0.065   0.1616],0.16164772727272725,0.6771404228474825
Battery life,"[0.4166666666666667, 1.0, 0.0, -0.21666666666666667, 0.52, 0.0]",6,[0.     0.2083 0.4942],0.4941666666666667,1.7127480094638958
Bottom line,"[0.5, 0.0, 0.59375, 0.5, 0.0]",5,[0.  0.5 0.5],0.5,1.675753754968079
Buy,"[0.3883333333333333, 1.0, 1.0, 1.0, 1.0, 1.0]",6,[1. 1. 1.],1.0,1.6235987313261988
CB,"[0.0, 0.8, 0.0, 0.0, 0.0, 0.05]",6,[0.     0.     0.0375],0.037500000000000006,0.7513389709719697
Central app,"[0.25, 0.0, 0.0]",3,[0.    0.    0.125],0.125,1.4451119131611223
DO button,"[0.0, 0.625]",2,[0.1562 0.3125 0.4688],0.46875,0.8053548789641342
Device PIN,"[-0.0625, 0.0]",2,[-0.0469 -0.0312 -0.0156],-0.046875,0.8237713602278661
Fastboot function,"[-0.1777777777777778, -0.1777777777777778, -0.1777777777777778, -0.1777777777777778, -0.1777777777777778]",5,[-0.1778 -0.1778 -0.1778],-0.1777777777777778,1.0670375545539244
Flex 2,"[0.24455782312925173, 1.0, 0.6, 0.0]",4,[0.1834 0.4223 0.7   ],0.7,0.9972236323959526
Funny thing,"[0.25, 0.325, 0.25]",3,[0.25   0.25   0.2875],0.2875,1.0572163140270412
Good luck,"[0.7, 0.4375, 0.7, 0.4375, 0.875, 0.7, 0.7, 0.7, 0.35, 0.7]",10,[0.5031 0.7    0.7   ],0.7,2.667441133885319
Good stuff,"[0.7, 0.35]",2,[0.4375 0.525  0.6125],0.6124999999999999,0.8061873506173924
Great idea,"[1.0, 1.0, 0.525, 0.8, 0.8]",5,[0.8 0.8 1. ],1.0,1.910123615217509
Hard reset,"[-0.2916666666666667, -0.2916666666666667]",2,[-0.2917 -0.2917 -0.2917],-0.2916666666666667,0.7913484893751183
LinkedIn,"[0.0, 0.15625, 0.0, 0.0]",4,[0.     0.     0.0391],0.0390625,0.6327557671830446
Love mine,"[0.5, 0.5, 0.3125]",3,[0.4062 0.5    0.5   ],0.5,1.375819952495863
Many people,"[0.39999999999999997, 0.5]",2,[0.425 0.45  0.475],0.475,0.7626387609901181
Marshmallow,"[0.25, 0.0, 0.0, 0.0]",4,[0.     0.     0.0625],0.0625,1.0132864547718488
Mobile store,"[0.525, 0.0]",2,[0.1312 0.2625 0.3938],0.39375000000000004,0.6393029318086036
New Textra messages,"[0.043181818181818175, 0.043181818181818175]",2,[0.0432 0.0432 0.0432],0.043181818181818175,0.7216748327011651
New messages,"[0.17159090909090907, 0.028787878787878782]",2,[0.0645 0.1002 0.1359],0.1358901515151515,0.7216748327011651
OP,"[0.0, 0.5, 0.0, 1.0, 0.0, 0.0]",6,[0.    0.    0.375],0.375,1.1134014721491745
