,sentiment,occurences,sentimentsSummary,sentimentEdges,score
000 mAh battery,"[-0.10833333333333334, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333]",4,[0.0354 0.0833 0.0833],0.08333333333333333,1.7312639936491507
13MP f/2.0 aperture main camera,"[0.08333333333333333, 0.08333333333333333, 0.08333333333333333]",3,[0.0833 0.0833 0.0833],0.08333333333333333,1.0562465921529154
16 GB,"[0.08333333333333333, -0.25, -0.25]",3,[-0.25   -0.25   -0.0833],-0.25,0.8575555115685283
2 GB RAM,"[0.4, 0.0, 0.0]",3,[0.  0.  0.2],0.2,0.8575555115685283
3 GB,"[0.5, 0.0, 0.5, -0.3, 0.5, 0.0, 0.7]",7,[0.  0.5 0.5],0.5,1.5189398394246814
3.5 mm headphone jack,"[0.4625, -0.04999999999999999, 0.8, 0.5, 0.45]",5,[0.45   0.4625 0.5   ],0.5,2.0881497948946306
32 GB,"[0.08333333333333333, 0.08333333333333333, -0.3, 0.08333333333333333, 0.0]",5,[0.     0.0833 0.0833],0.08333333333333333,1.2562961169936098
4 GB,"[0.2, 0.0, 0.5, 0.16666666666666666, 0.2]",5,[0.1667 0.2    0.2   ],0.2,1.2562961169936098
4 gb,"[0.0, 0.0, -0.04055555555555557, 0.0]",4,[-0.0101  0.      0.    ],-0.010138888888888892,1.0821145751755532
5.0 update,"[0.2875, 0.0, 0.0]",3,[0.     0.     0.1438],0.14375,1.019121489228317
5.5”curved display,"[0.5, 0.5, 0.5]",3,[0.5 0.5 0.5],0.5,0.6158474389937951
6.0 update,"[0.0, -0.125, 0.35, 0.0]",4,[-0.0312  0.      0.0875],0.0875,1.2859881401163973
64 GB,"[-0.10833333333333334, 0.16666666666666666, 0.0, 0.0]",4,[-0.0271  0.      0.0417],0.041666666666666664,1.0821145751755532
8 GB,"[0.5, 0.0, 0.0, -0.13715277777777776]",4,[-0.0343  0.      0.125 ],0.125,1.0821145751755532
App,"[-0.2, 0.0]",2,[-0.15 -0.1  -0.05],-0.15000000000000002,0.7061292862153775
Apps,"[0.0, 0.05357142857142857, 0.0, 0.0]",4,[0.     0.     0.0134],0.013392857142857142,1.2207012107857214
Battery life,"[0.7, 0.75]",2,[0.7125 0.725  0.7375],0.7375,0.6625813755464813
Buy,"[0.22222222222222224, 0.85]",2,[0.3792 0.5361 0.6931],0.6930555555555555,0.6280937270359803
Call quality,"[0.7, 0.7, 0.475]",3,[0.5875 0.7    0.7   ],0.7,1.115706910829959
Contact Service,"[0.6428571428571428, 0.0, 0.4]",3,[0.2    0.4    0.5214],0.5214285714285714,1.1754994327189165
Factory reset,"[-0.07777777777777779, 0.0]",2,[-0.0583 -0.0389 -0.0194],-0.05833333333333335,0.710273734555309
Funny thing,"[0.25, 0.25]",2,[0.25 0.25 0.25],0.25,0.6670292284808056
