,sentiment,occurences,sentimentsSummary,sentimentEdges,score
000 phones,"[0.0, -0.09133333333333334, 0.0]",3,[-0.0457  0.      0.    ],-0.04566666666666667,0.9014533608730662
10 mobile device,"[0.125, 0.125]",2,[0.125 0.125 0.125],0.125,0.7147306461826647
100 people,"[0.25, 0.13636363636363635, 0.0, 0.0]",4,[0.     0.0682 0.1648],0.16477272727272727,0.7815163638085145
12 pm,"[0.325, -0.16666666666666666, 0.0]",3,[-0.0833  0.      0.1625],0.1625,0.8341465432481804
128 GB,"[-0.08333333333333333, 0.2857142857142857, 0.35, 0.35, -0.025, -0.025, -0.025, -0.025, -0.025, -0.025, 0.0, 0.0]",12,[-0.025  -0.025   0.0714],0.07142857142857142,1.9396700867440815
128 GB 2,"[0.26666666666666666, -0.1875, 0.5]",3,[0.0396 0.2667 0.3833],0.3833333333333333,0.8575555115685283
"128 GB 6"" XL device","[0.5, 0.5]",2,[0.5 0.5 0.5],0.5,0.8095407471181163
128 GB model,"[0.0, 0.45]",2,[0.1125 0.225  0.3375],0.3375,0.7854909772278816
128 GB version,"[0.13999999999999999, 0.13999999999999999, 0.13999999999999999, 0.13999999999999999, 0.13999999999999999, 0.13999999999999999]",6,[0.14 0.14 0.14],0.13999999999999999,2.016486523017879
128 gb,"[1.0, 0.25, 0.0, 0.0]",4,[0.     0.125  0.4375],0.4375,1.0821145751755532
128 gb storage,"[0.1, 0.25833333333333336, 0.0, 0.0]",4,[0.     0.05   0.1396],0.13958333333333334,1.5469956842540828
2 XL order,"[0.0, -0.2125, 0.0]",3,[-0.1062  0.      0.    ],-0.10625,0.9426653801596806
2 cents,"[0.0, 0.0, 0.0, -0.4]",4,[-0.1  0.   0. ],-0.1,0.9159970385686446
200 off coupon,"[0.06818181818181818, -0.10185185185185186]",2,[-0.0593 -0.0168  0.0257],-0.05934343434343435,0.7880066438016113
3 phones,"[0.0, 0.31785714285714284, 0.31785714285714284]",3,[0.1589 0.3179 0.3179],0.31785714285714284,0.9014533608730662
3-day sale,"[1.0, 0.0, 1.0, 0.625, 1.0, 0.0, 1.0]",7,[0.3125 1.     1.    ],1.0,1.3338458241105018
3.5 mm,"[0.0, 0.3, 0.0]",3,[0.   0.   0.15],0.15,0.631192215413311
3.5 mm adapter,"[-1.0, 0.25, 0.0, 0.55, 0.0, 0.35000000000000003, 0.4166666666666667, 0.0]",8,[0.     0.125  0.3667],0.3666666666666667,1.950571074265619
3.5 mm headphone jack,"[0.0, 0.16, 0.25, -0.05, -0.05208333333333333]",5,[-0.05  0.    0.16],0.16,2.0881497948946306
3.5 mm jack,"[0.0, 0.0, -0.16666666666666666, 0.2]",4,[-0.0417  0.      0.05  ],0.05,1.3043650063813481
300 dollar difference,"[0.4, 0.4]",2,[0.4 0.4 0.4],0.4,0.7114101288426545
3040 mAh battery,"[0.0, 0.18055555555555555]",2,[0.0451 0.0903 0.1354],0.13541666666666666,0.8656319968245754
32 GB verion,"[0.13999999999999999, 0.13999999999999999, 0.13999999999999999, 0.13999999999999999, 0.13999999999999999, 0.13999999999999999]",6,[0.14 0.14 0.14],0.13999999999999999,1.3986127991563049
35 restocking fee,"[0.0, -0.05, 0.25]",3,[-0.025  0.     0.125],0.125,0.9585246795174455
360 camera mod,"[0.13999999999999999, 0.13999999999999999, 0.13999999999999999, 0.13999999999999999, 0.13999999999999999, 0.13999999999999999]",6,[0.14 0.14 0.14],0.13999999999999999,1.2514077893279716
360 degree camera,"[0.0, 0.0, 0.2, 0.0]",4,[0.   0.   0.05],0.05,0.9048519057927062
360 video,"[0.0, 0.0, 0.03333333333333333]",3,[0.     0.     0.0167],0.016666666666666666,0.864835293489991
399 bundle price,"[0.16666666666666666, 0.16666666666666666]",2,[0.1667 0.1667 0.1667],0.16666666666666666,0.7555961216021595
64 GB version,"[0.3, 0.0]",2,[0.075 0.15  0.225],0.22499999999999998,0.7800834721800864
700 device,"[0.35, -0.08333333333333329, 0.0]",3,[-0.0417  0.      0.175 ],0.175,0.7792413242105017
75 BB Gift card,"[0.6333333333333333, 0.6333333333333333]",2,[0.6333 0.6333 0.6333],0.6333333333333333,0.8417175088917586
8 am,"[0.0, -0.25, 0.0, 0.0]",4,[-0.0625  0.      0.    ],-0.0625,1.3624306453087072
8.0 beta,"[0.16666666666666666, 0.0, 0.05]",3,[0.025  0.05   0.1083],0.10833333333333334,0.809194379143582
8.1 beta,"[0.0, 0.0, 0.4166666666666667, 0.0, 0.0, 0.0, 0.13636363636363635, 0.0, 0.16666666666666666, 0.5, 0.1875, 0.0, 0.0]",13,[0.     0.     0.1667],0.16666666666666666,1.8892402936454304
AMOLED displays,"[0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65, 0.65]",8,[0.65 0.65 0.65],0.65,1.2164919123611861
Alexa app,"[0.0, 0.06666666666666668]",2,[0.0167 0.0333 0.05  ],0.05000000000000001,0.833936063656472
Anyone having issues,"[-0.09999999999999999, -0.01875]",2,[-0.0797 -0.0594 -0.0391],-0.0796875,1.0309311105145798
BBB,"[0.02500000000000001, -0.3, 0.06666666666666665, -0.3, -0.3]",5,[-0.3   -0.3    0.025],-0.3,0.9498333329140352
BBB complaint,"[-0.3, 0.018750000000000017, -0.16666666666666666]",3,[-0.2333 -0.1667 -0.074 ],-0.23333333333333334,0.9494367630929189
Battery life,"[0.4000000000000001, 0.0, 1.0, 0.7, 0.6666666666666666, 0.475, 0.0]",7,[0.2    0.475  0.6833],0.6833333333333333,1.860101085904112
Beta 2,"[0.2, 0.375, 0.05909090909090909, 0.0, 0.0]",5,[0.     0.0591 0.2   ],0.2,1.1854483385591306
Beta 3,"[0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.1]",9,[0.  0.  0.2],0.2,1.618388758287164
Blatant security missteps,"[-0.5, -0.5]",2,[-0.5 -0.5 -0.5],-0.5,0.6149875191770576
Bluetooth headphones,"[0.0, 0.5833333333333334, 0.0]",3,[0.     0.     0.2917],0.2916666666666667,1.315699852084552
Bluetooth tech,"[0.1, 0.1, 0.1]",3,[0.1 0.1 0.1],0.1,1.0990890010710082
Bottom line,"[0.0, 0.06666666666666667]",2,[0.0167 0.0333 0.05  ],0.05,0.7217078593682164
Buy,"[1.0, 1.0, 0.5, 0.75, 0.75, 0.3666666666666667, 1.0]",7,[0.625 0.75  1.   ],1.0,1.7632820161079645
CC info,"[0.0, -0.25]",2,[-0.1875 -0.125  -0.0625],-0.1875,0.8175843674311288
Call quality,"[0.8, 0.0, 0.0]",3,[0.  0.  0.4],0.4,1.115706910829959
Camera app,"[0.0, 0.5]",2,[0.125 0.25  0.375],0.375,0.7061292862153775
Customer service,"[-0.25416666666666665, 0.3090909090909091, 0.0, 0.0]",4,[-0.0635  0.      0.0773],0.07727272727272727,1.6116674300700937
Dark theme,"[-0.15, -0.078125]",2,[-0.132  -0.1141 -0.0961],-0.13203125,0.7184168705256745
Did anyone,"[0.0, 0.0, 0.14166666666666666, 0.0]",4,[0.     0.     0.0354],0.035416666666666666,1.2242823184829374
FB messenger,"[0.4166666666666667, 0.0, 0.0]",3,[0.     0.     0.2083],0.20833333333333334,0.848925513700182
FedEx site,"[0.09999999999999999, 0.0]",2,[0.025 0.05  0.075],0.075,0.6771841759283161
Flick scrolling,"[0.8, 0.4166666666666667]",2,[0.5125 0.6083 0.7042],0.7041666666666667,0.6685106999132896
Full screen videos,"[0.175, 0.175]",2,[0.175 0.175 0.175],0.175,0.6140226756802588
Good grief,"[-0.050000000000000044, -0.050000000000000044, -0.050000000000000044, 0.18, -0.1305555555555556]",5,[-0.05 -0.05 -0.05],-0.050000000000000044,1.4631581063100334
Good job,"[0.35, 0.3666666666666667]",2,[0.3542 0.3583 0.3625],0.36250000000000004,0.7636056932017851
Good luck,"[0.7, 0.7, 0.2333333333333333, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.6875]",10,[0.7 0.7 0.7],0.7,2.667441133885319
Good news,"[0.7, 0.35, 0.7, 0.1666666666666667]",4,[0.3042 0.525  0.7   ],0.7,1.4694432997505849
Good point,"[0.7, 0.7, 0.7]",3,[0.7 0.7 0.7],0.7,1.1216250039208415
Great news,"[0.30000000000000004, 0.8]",2,[0.425 0.55  0.675],0.675,0.7434396564840143
Great point,"[0.8, 0.8, 0.8]",3,[0.8 0.8 0.8],0.8,1.1359891370813289
Home,"[0.0, 0.2, 0.2]",3,[0.1 0.2 0.2],0.2,0.6781546677927358
