,sentiment,occurences,sentimentsSummary,sentimentEdges,score
Bluetooth speaker,"[0.0, 0.125, 0.0, 0.3489989177489177, 0.0, 0.0]",6,[0.     0.     0.0938],0.09375,1.995857069786993
Buy,"[1.0, 1.0]",2,[1. 1. 1.],1.0,0.6280937270359803
anything,"[0.3619047619047619, 0.0]",2,[0.0905 0.181  0.2714],0.2714285714285714,0.6363768525962907
app,"[0.125, 0.0, 0.0]",3,[0.     0.     0.0625],0.0625,1.1191884393123699
bedroom,"[0.0, 0.4, 0.0]",3,[0.  0.  0.2],0.2,0.617058483200339
getting one,"[0.0, 0.0, 0.4]",3,[0.  0.  0.2],0.2,0.7106735914330274
house,"[0.0, 0.05, 0.0]",3,[0.    0.    0.025],0.025,0.6263975405585787
incoming calls,"[0.05, 0.0]",2,[0.0125 0.025  0.0375],0.037500000000000006,0.7604850019742487
morning,"[1.0, 0.0, 0.0]",3,[0.  0.  0.5],0.5,0.7730260279247207
sound quality,"[0.3333333333333333, 0.4, 0.2]",3,[0.2667 0.3333 0.3667],0.3666666666666667,0.9477019467141129
voice match,"[-0.125, 0.21428571428571427, 0.7, 0.0]",4,[-0.0312  0.1071  0.3357],0.3357142857142857,0.7726915151562554
weather,"[0.0, 0.25, 0.0]",3,[0.    0.    0.125],0.125,0.6231598450267658
