,sentiment,occurences,sentimentsSummary,sentimentEdges,score
-I am,"[0.16666666666666666, 0.16666666666666666]",2,[0.1667 0.1667 0.1667],0.16666666666666666,0.6812153226543536
-In reference,"[0.35, 0.0, 0.7, 0.35, 0.0, 0.7, 0.35, 0.0, 0.7, 0.35, 0.0, 0.7]",12,[0.   0.35 0.7 ],0.7,1.7050719388945983
-mail app,"[0.0, 0.325, 0.0, 0.0, 0.0, 0.0, 0.43333333333333335, 0.0625, 0.13636363636363635]",9,[0.     0.     0.1364],0.13636363636363635,2.2383768786247398
-old daughter,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",16,[0.1 0.1 0.1],0.1,1.087604993414403
.20 cents,"[0.0, 0.0, 0.09375, 0.09375]",4,[0.     0.0469 0.0938],0.09375,0.9159970385686446
.26 mm thickness,"[-0.125, -0.125]",2,[-0.125 -0.125 -0.125],-0.125,0.6566652794412554
/data partition,"[-0.15, 0.0, 0.225, 0.005681818181818177]",4,[-0.0375  0.0028  0.0605],0.060511363636363634,0.888122526415408
0.05 mm,"[0.4166666666666667, 0.4166666666666667, 0.4166666666666667]",3,[0.4167 0.4167 0.4167],0.4166666666666667,0.631192215413311
0.15 mm,"[-0.4, -0.4, 0.0]",3,[-0.4 -0.4 -0.2],-0.4,0.631192215413311
0.26 mm,"[0.12291666666666667, 0.0, -0.016666666666666663, 0.0, 0.0, -0.016666666666666663, 0.0, 0.0]",8,[-0.0042  0.      0.    ],-0.004166666666666666,1.1947138467808276
0.4 mm,"[0.0, 0.09, 0.0, 0.0, 0.09, 0.0, -0.1875]",7,[0.    0.    0.045],0.045,1.117995266070177
000 people,"[0.0, 0.0, 0.0, 0.032499999999999994]",4,[0.     0.     0.0081],0.008124999999999999,0.7815163638085145
000 songs,"[0.0, 0.2, 0.0, 0.0]",4,[0.   0.   0.05],0.05,0.8566402846465325
1 16 gb,"[0.04861111111111111, 0.04861111111111111, 0.04861111111111111, 0.04861111111111111]",4,[0.0486 0.0486 0.0486],0.04861111111111111,1.0821145751755532
1 GB,"[0.125, -0.0638888888888889, 0.0, 0.11666666666666668, -0.125, -0.016666666666666663, 0.0, 0.4, 0.0]",9,[-0.0167  0.      0.1167],0.11666666666666668,1.7151110231370565
1 MB,"[0.0, 0.26666666666666666, 0.0, -0.05, 0.17222222222222222, 0.16666666666666666, 0.32222222222222224, 0.0]",8,[0.     0.0833 0.1958],0.1958333333333333,1.4811042487949282
1 am,"[0.0, -0.3166666666666666, 0.0]",3,[-0.1583  0.      0.    ],-0.1583333333333333,1.0797007413238136
1 app,"[-0.125, 0.0, 0.0]",3,[-0.0625  0.      0.    ],-0.0625,1.1191884393123699
1 bar,"[0.0, 0.0, 0.0, 0.0, 0.11666666666666665, -0.14583333333333331, 0.0, -0.1875, 0.0, 0.0, 0.8, -0.15555555555555559, 0.0, 0.0, 0.0, 0.15, 0.0, 0.1, 0.0, 0.25, -0.08333333333333333, 0.0369047619047619, 0.0, 0.3333333333333333, 0.0972222222222222, 0.11818181818181818, 0.0, 0.3666666666666667, 0.41666666666666663, 0.0]",30,[0.     0.     0.1125],0.11249999999999999,2.113591778371437
1 button,"[-0.15555555555555559, 0.19206349206349208]",2,[-0.0687  0.0183  0.1052],0.10515873015873017,0.6384679264739628
1 dock door 54,"[0.0, -0.25]",2,[-0.1875 -0.125  -0.0625],-0.1875,0.6713861539071726
1 gb,"[-0.07777777777777779, 0.0, 0.0, 0.5, 0.0, 0.30000000000000004]",6,[0.    0.    0.225],0.22500000000000003,1.3986127991563049
1 gig,"[0.24999999999999997, 0.21666666666666667, 0.2638888888888889, -0.16666666666666666, 0.1952380952380952, 0.03968253968253968, -0.16666666666666666, 0.0, 0.0]",9,[0.     0.0397 0.2167],0.21666666666666667,1.4998783366701913
1 mm,"[0.35, -0.25, -0.25, -0.25, 0.0, 0.25, 0.5, 0.16153846153846155, 0.4000000000000001]",9,[-0.25    0.1615  0.35  ],0.35,1.262384430826622
1 pm,"[-0.16666666666666666, 0.0, -0.16666666666666666]",3,[-0.1667 -0.1667 -0.0833],-0.16666666666666666,0.8341465432481804
1 speaker,"[-0.3333333333333333, 0.0, 0.25, 0.4]",4,[-0.0833  0.125   0.2875],0.2875,1.0341433865480665
1 thing,"[0.8, 0.5, -0.8]",3,[-0.15  0.5   0.65],0.65,0.7602208445337414
1 type,"[0.14404761904761904, 0.14404761904761904, 0.0]",3,[0.072 0.144 0.144],0.14404761904761904,0.9733055785596191
1 update,"[0.0, -0.09999999999999999]",2,[-0.075 -0.05  -0.025],-0.075,0.6429940700581986
1.00 MB,"[-0.2, 0.23129251700680273, 0.26666666666666666]",3,[0.0156 0.2313 0.249 ],0.24897959183673468,0.7824982313329131
1.2 GB,"[0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4]",19,[0.4 0.4 0.4],0.4,2.2983721382932747
1.2A charger,"[0.0, 0.09523809523809525, 0.0, 0.0]",4,[0.     0.     0.0238],0.02380952380952381,0.97026294270048
1.2Ghz 400 processor,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",16,[0.2 0.2 0.2],0.2,1.6676510089567174
1.5 GB,"[0.0, 0.2, -0.15, -0.11666666666666663, 0.0, 0.5]",6,[-0.0875  0.      0.15  ],0.15000000000000002,1.3986127991563049
1.7 GB,"[-0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, -0.15, 0.0]",19,[-0.15 -0.15 -0.15],-0.15,2.2983721382932747
1.7 GHz dual core,"[0.25, -0.0888888888888889, 0.25, -0.0888888888888889, 0.25, -0.0888888888888889, 0.25, -0.0888888888888889, 0.25, -0.0888888888888889, 0.25, -0.0888888888888889, 0.25, -0.0888888888888889, 0.25, -0.0888888888888889, 0.25, -0.0888888888888889, 0.25, -0.0888888888888889, 0.25, -0.0888888888888889, 0.25, -0.0888888888888889, 0.25, -0.0888888888888889, 0.25, -0.0888888888888889, 0.25, -0.0888888888888889, 0.25, -0.0888888888888889]",32,[-0.0889  0.0806  0.25  ],0.25,2.96805179321144
100 GB,"[0.4, -0.03888888888888889, 0.0]",3,[-0.0194  0.      0.2   ],0.2,0.8575555115685283
100 MB,"[0.44678571428571423, 0.0, 0.03333333333333333, 0.25]",4,[0.025  0.1417 0.2992],0.2991964285714286,0.9874028325299522
100 mins,"[0.0, 0.0, 0.0, 0.4166666666666667]",4,[0.     0.     0.1042],0.10416666666666667,0.8220654898403863
100 other companies,"[0.19166666666666665, 0.19166666666666665, 0.19166666666666665, 0.19166666666666665, 0.19166666666666665, 0.19166666666666665, 0.19166666666666665, 0.19166666666666665]",8,[0.1917 0.1917 0.1917],0.19166666666666665,2.5453715194561704
100 people,"[0.0, 0.6, 0.6, 0.55]",4,[0.4125 0.575  0.6   ],0.6,0.7815163638085145
1040p display,"[0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.8, 0.0]",17,[0.8 0.8 0.8],0.8,1.588210144795839
