,sentiment,occurences,sentimentsSummary,sentimentEdges,score
-Google Store version,"[0.2, 0.2]",2,[0.2 0.2 0.2],0.2,0.6734699385655861
0 bars,"[0.0, -0.15, -0.10714285714285714, -0.10714285714285714, 0.4, 0.25, 0.6033333333333334]",7,[-0.1071  0.      0.325 ],0.325,1.1228672635438124
000 mAh battery,"[0.0, 0.0, 0.4121212121212121]",3,[0.     0.     0.2061],0.20606060606060606,1.371994254391327
000 nit brightness number,"[-0.5, -0.5]",2,[-0.5 -0.5 -0.5],-0.5,0.9673514345268645
1 TB,"[0.20714285714285713, 0.0, 0.0, -0.05]",4,[-0.0125  0.      0.0518],0.05178571428571428,0.6260122722237437
1 app,"[0.0, -0.8]",2,[-0.6 -0.4 -0.2],-0.6000000000000001,0.7061292862153775
1 bar,"[0.13194444444444442, -0.15555555555555559, 0.0, 0.0, -0.07777777777777779, -0.07777777777777779, -0.15, -0.10714285714285714, 0.3333333333333333, 0.0, 0.25, 0.0, -0.15, -0.15]",14,[-0.1393 -0.0389  0.    ],-0.13928571428571426,1.639978292527025
1 gb,"[0.0, -0.4318181818181818, -0.20833333333333331]",3,[-0.3201 -0.2083 -0.1042],-0.32007575757575757,0.8575555115685283
1 million,"[-0.13333333333333333, 0.0, 0.7, 0.0, 0.4]",5,[0.  0.  0.4],0.4,0.6607497491672756
1 thing,"[0.0, 0.2, 0.0]",3,[0.  0.  0.1],0.1,0.7602208445337414
1.5 gb,"[0.0, 0.78125, 0.04999999999999999]",3,[0.025  0.05   0.4156],0.415625,0.8575555115685283
1.5 hrs,"[0.0, 0.3333333333333333, -0.15555555555555559]",3,[-0.0778  0.      0.1667],0.16666666666666666,0.7598497650227735
1/13 was shipping,"[-0.1, -0.1]",2,[-0.1 -0.1 -0.1],-0.1,0.9081431428120297
1/20 ship date,"[0.125, 0.125]",2,[0.125 0.125 0.125],0.125,0.8943945650031343
10 GB,"[-0.3, -0.3, -0.08240740740740742, 0.0, 0.0, 0.4, 0.5, 0.0, 0.0, -0.3, 0.45, 0.0, 0.0]",13,[-0.0824  0.      0.    ],-0.08240740740740742,2.002149876779496
10 am,"[0.0, 0.4, 0.14285714285714285]",3,[0.0714 0.1429 0.2714],0.27142857142857146,1.0797007413238136
10 computers USB 3.0 port,"[0.65, 0.65]",2,[0.65 0.65 0.65],0.65,0.8004016775088139
10 device limit,"[0.375, 0.0]",2,[0.0938 0.1875 0.2812],0.28125,0.662226490270261
10 mins,"[0.09166666666666667, -0.15, 0.0, 0.0, 0.2833333333333333]",5,[0.     0.     0.0917],0.09166666666666667,0.9543884783488673
10 percent battery,"[0.022222222222222213, 0.022222222222222213]",2,[0.0222 0.0222 0.0222],0.022222222222222213,0.9163937581030321
10/13 free shipping,"[0.4, 0.4]",2,[0.4 0.4 0.4],0.4,0.7961941629462909
10/16 orders waiting,"[-0.1, -0.1]",2,[-0.1 -0.1 -0.1],-0.1,0.6830564265931228
