,sentiment,occurences,sentimentsSummary,sentimentEdges,score
Android apps,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.6103506053928607
Chrome OS,"[0.36534090909090905, 0.2, 0.3, 0.0, 0.25, 0.0, 0.13636363636363635]",7,[0.0682 0.2    0.275 ],0.275,2.3932560138338546
Chrome app,"[0.0, 0.6428571428571428]",2,[0.1607 0.3214 0.4821],0.4821428571428571,0.9233736037271563
ISO image,"[0.08333333333333333, 0.0]",2,[0.0208 0.0417 0.0625],0.0625,0.7159124589842291
Thanks,"[0.2, 0.2, 0.2, 0.06666666666666667, 0.2, 0.5333333333333333]",6,[0.2 0.2 0.2],0.2,1.0595679053507387
android app,"[0.196875, 0.0]",2,[0.0492 0.0984 0.1477],0.14765625,0.7061292862153775
android apps,"[0.0, 0.3, 0.11428571428571428, 0.45, 0.5]",5,[0.1143 0.3    0.45  ],0.45,1.4171902183931933
base model,"[-0.8, -0.4, -0.35000000000000003, -0.10000000000000002, 0.06666666666666665]",5,[-0.4  -0.35 -0.1 ],-0.4,1.6558988213993884
battery life,"[0.0, 0.24444444444444446, 1.0, 0.0, 0.525]",5,[0.     0.2444 0.525 ],0.525,1.5384663110304893
case,"[0.0, 0.0, 0.4285714285714286, 0.0]",4,[0.     0.     0.1071],0.10714285714285715,1.3567051808873725
chrome OS,"[0.0, 0.5, 0.5]",3,[0.25 0.5  0.5 ],0.5,1.3511725955091827
device,"[0.0, -0.025, 0.0]",3,[-0.0125  0.      0.    ],-0.0125,0.7792413242105017
enterprise users,"[0.175, 0.16666666666666666]",2,[0.1688 0.1708 0.1729],0.17291666666666664,0.694965937783222
file browser,"[-0.1, 0.0]",2,[-0.075 -0.05  -0.025],-0.07500000000000001,0.6389249957779151
hardware,"[0.025, 0.0, 0.5, 0.5]",4,[0.0188 0.2625 0.5   ],0.5,1.2528352813686596
heavy duty development,"[-0.26666666666666666, -0.26666666666666666, -0.26666666666666666]",3,[-0.2667 -0.2667 -0.2667],-0.26666666666666666,1.3881761927654515
light bar,"[0.17500000000000002, 0.4]",2,[0.2312 0.2875 0.3438],0.34375000000000006,0.6289216496207221
many people,"[0.5, 0.5]",2,[0.5 0.5 0.5],0.5,0.7626387609901181
only one,"[-0.4, 0.0]",2,[-0.3 -0.2 -0.1],-0.30000000000000004,0.6392907286881806
only thing,"[0.0, 0.305, -0.046875]",3,[-0.0234  0.      0.1525],0.1525,1.3802940423379768
other apps,"[-0.125, 0.3125]",2,[-0.0156  0.0938  0.2031],0.203125,0.9438530778041819
others,"[0.4166666666666667, 0.0]",2,[0.1042 0.2083 0.3125],0.3125,0.6220682846843032
pen clip,"[0.2, 0.0]",2,[0.05 0.1  0.15],0.15000000000000002,0.705277198713052
pixel book,"[0.25, 0.24444444444444446, 1.0, 0.0, 0.0, 1.0]",6,[0.0611 0.2472 0.8125],0.8125,1.0353554842426433
same way,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.8050357795764411
security,"[0.0, -0.15555555555555559]",2,[-0.1167 -0.0778 -0.0389],-0.1166666666666667,0.6149875191770576
spec sheet,"[0.375, 0.0]",2,[0.0938 0.1875 0.2812],0.28125,0.6290783020475276
tablet mode,"[0.0, 0.20625000000000002, 0.0]",3,[0.     0.     0.1031],0.10312500000000001,1.182191099119349
true multi window support,"[0.07499999999999998, 0.196875, 0.09583333333333333]",3,[0.0854 0.0958 0.1464],0.14635416666666667,1.507427392158407
using apps,"[-0.16666666666666666, 0.2]",2,[-0.075   0.0167  0.1083],0.10833333333333336,0.9294520890735286
web apps,"[0.5, 0.22999999999999998, 0.0, 0.0, 0.0]",5,[0.   0.   0.23],0.22999999999999998,2.065867520680005
windows apps,"[-0.04999999999999999, 0.0]",2,[-0.0375 -0.025  -0.0125],-0.03749999999999999,0.6103506053928607
