,sentiment,occurences,sentimentsSummary,sentimentEdges,score
3 GB RAM,"[0.225, 0.0, 0.0]",3,[0.     0.     0.1125],0.1125,0.8575555115685283
32 GB internal memory,"[0.0, 0.16458333333333333]",2,[0.0411 0.0823 0.1234],0.1234375,0.9241426915677622
5.5 inch screen,"[0.14999999999999997, 0.10476190476190476, 0.10714285714285714]",3,[0.106  0.1071 0.1286],0.12857142857142856,0.6467263787225664
Good point,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.7076665873233614
Great hardware,"[0.06666666666666668, 0.05875000000000001]",2,[0.0607 0.0627 0.0647],0.06468750000000001,0.8667950176182153
Indian version,"[0.0, 0.0, 0.0, -0.041666666666666664]",4,[-0.0104  0.      0.    ],-0.010416666666666666,1.1271662306953243
Mod note,"[0.35, 0.2, 0.2]",3,[0.2   0.2   0.275],0.275,0.7672971730312741
ON,"[0.4, 0.4]",2,[0.4 0.4 0.4],0.4,0.7198667434272906
Thanks,"[0.2, 0.2, 0.225, 0.2, 0.2, 0.2, 0.2, 0.2333333333333333]",8,[0.2    0.2    0.2062],0.20625000000000002,1.2296904559216688
battery life,"[0.7, 0.4333333333333333, 0.5, 0.0, 0.6000000000000001]",5,[0.4333 0.5    0.6   ],0.6000000000000001,1.5384663110304893
case,"[0.0, 0.0, 0.0, 0.2]",4,[0.   0.   0.05],0.05,1.3567051808873725
display,"[0.5, 0.0, 0.5]",3,[0.25 0.5  0.5 ],0.5,0.6158474389937951
durability test,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.772627573286192
enjoyable corners,"[0.5625, 0.5625]",2,[0.5625 0.5625 0.5625],0.5625,0.734653387391853
exact reason,"[0.25, -0.020833333333333343, 0.25]",3,[0.1146 0.25   0.25  ],0.25,1.0138141568553882
fingerprint sensor,"[0.5549999999999999, 0.0, 0.0, -0.05]",4,[-0.0125  0.      0.1387],0.13874999999999998,1.6749226176066065
firmware finder app,"[0.2, -0.2]",2,[-0.1  0.   0.1],-0.10000000000000002,1.0182595439366868
forums,"[0.8, 0.8, 0.35]",3,[0.575 0.8   0.8  ],0.8,0.72980669261417
