,sentiment,occurences,sentimentsSummary,sentimentEdges,score
Good luck,"[0.875, 0.875]",2,[0.875 0.875 0.875],0.875,0.8029797929674225
Thanks,"[0.2, -0.075, 0.2]",3,[0.0625 0.2    0.2   ],0.2,0.6496710867101825
app,"[0.0, -0.125, 0.0]",3,[-0.0625  0.      0.    ],-0.0625,1.1191884393123699
beta test,"[0.1875, 0.0]",2,[0.0469 0.0938 0.1406],0.140625,0.842608496136224
custom recovery,"[0.0, 0.43333333333333335, 0.0, 0.25, -0.5, 0.45]",6,[0.     0.125  0.3875],0.3875,1.807290695483799
customer service,"[0.05, 0.125]",2,[0.0688 0.0875 0.1062],0.10625,0.8058337150350469
device,"[0.0, -0.125, -0.6666666666666666]",3,[-0.3958 -0.125  -0.0625],-0.3958333333333333,0.7792413242105017
factory reset,"[0.13412698412698412, 0.3, -0.125, 0.35762786865234375]",4,[0.0693 0.2171 0.3144],0.3144069671630859,1.420547469110618
issue,"[0.5, 0.13636363636363635, 0.0]",3,[0.0682 0.1364 0.3182],0.3181818181818182,0.8662454500999403
landscape mode,"[0.35762786865234375, 0.35762786865234375, 0.35762786865234375, 0.35762786865234375, 0.1418422544845427]",5,[0.3576 0.3576 0.3576],0.35762786865234375,1.3964730574360675
low light conditions,"[0.2, 0.3]",2,[0.225 0.25  0.275],0.27499999999999997,0.9936435655646125
media content,"[0.7, 0.0]",2,[0.175 0.35  0.525],0.5249999999999999,0.7680632819908778
mobile data,"[0.3333333333333333, 0.0, 0.0]",3,[0.     0.     0.1667],0.16666666666666666,0.6283375685423909
notification panel,"[0.17222222222222222, 0.10277777777777779]",2,[0.1201 0.1375 0.1549],0.1548611111111111,0.8333186327115192
processor cores,"[0.0, -0.15]",2,[-0.1125 -0.075  -0.0375],-0.11249999999999999,0.6434067338333891
running apps,"[-0.5, 0.0]",2,[-0.375 -0.25  -0.125],-0.375,0.9057355992233422
same thing,"[0.0, -0.05]",2,[-0.0375 -0.025  -0.0125],-0.037500000000000006,0.8729198869700509
sure notifications,"[0.5, 0.5, 0.5]",3,[0.5 0.5 0.5],0.5,1.231515958533179
videos,"[0.0, 0.2333333333333333, 0.0]",3,[0.     0.     0.1167],0.11666666666666665,0.6406120612657411
was using,"[0.0, -0.05]",2,[-0.0375 -0.025  -0.0125],-0.037500000000000006,0.9451648335069538
working,"[-0.5, 0.0, 0.0]",3,[-0.25  0.    0.  ],-0.25,0.8280881816661183
