,sentiment,occurences,sentimentsSummary,sentimentEdges,score
000MAH battery,"[0.0, 0.40714285714285714]",2,[0.1018 0.2036 0.3054],0.3053571428571429,0.6625813755464813
128 gb,"[0.0, 0.16666666666666669, 0.0, 0.75, 0.3, 0.2857142857142857]",6,[0.0417 0.2262 0.2964],0.2964285714285714,1.3986127991563049
6 gb ram,"[0.0, 0.0, 0.75, 0.23939393939393935, 0.3]",5,[0.     0.2394 0.3   ],0.3,1.2562961169936098
ad version,"[0.0, 0.05]",2,[0.0125 0.025  0.0375],0.037500000000000006,0.736824622886517
enough people,"[0.0, 0.125]",2,[0.0312 0.0625 0.0938],0.09375,0.8167132316077915
good price,"[0.23939393939393935, 0.7]",2,[0.3545 0.4697 0.5848],0.5848484848484847,0.7956499354874587
nice blue color,"[0.3, 0.3]",2,[0.3 0.3 0.3],0.3,1.0440239791448678
notification sound,"[0.1375, 0.4]",2,[0.2031 0.2688 0.3344],0.33437500000000003,0.798024599257075
price,"[-0.3, 0.25, -0.15555555555555559]",3,[-0.2278 -0.1556  0.0472],-0.2277777777777778,0.8484225792745048
warranty,"[0.0, 0.0, 0.2]",3,[0.  0.  0.1],0.1,0.9318939680809352
wireless charging,"[0.0, 0.15]",2,[0.0375 0.075  0.1125],0.11249999999999999,0.7437001163733141
