,sentiment,occurences,sentimentsSummary,sentimentEdges,score
1 MB limit,"[0.0, 0.45833333333333337]",2,[0.1146 0.2292 0.3438],0.34375,0.6638336131331584
1 person,"[-0.3, -0.3]",2,[-0.3 -0.3 -0.3],-0.3,0.6114232234961368
1 security patch,"[-0.3, 0.0, -0.20833333333333331]",3,[-0.2542 -0.2083 -0.1042],-0.25416666666666665,1.4107559985710227
1.3 update,"[0.0, 0.0, 0.4375]",3,[0.     0.     0.2188],0.21875,1.019121489228317
1.53 update,"[0.0, 0.5, -0.04583333333333334, 1.0, -0.3770833333333334, 0.0]",6,[-0.0344  0.      0.375 ],0.375,1.6621155592865153
100 GB,"[0.07, 0.07, 0.0, 0.0, 0.0]",5,[0.   0.   0.07],0.07,1.2562961169936098
100 credit,"[0.0, 0.0, -0.15, -0.1, 0.0, 1.0, 0.25, 0.25, 0.25]",9,[0.   0.   0.25],0.25,1.413518850043624
100 credit coupon codes,"[-0.25, -0.25]",2,[-0.25 -0.25 -0.25],-0.25,0.7929512570441041
100 dollars,"[0.4, 0.0, 0.0, 0.31212121212121213, 0.0]",5,[0.     0.     0.3121],0.31212121212121213,0.673880059442239
100 off coupon,"[0.25, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, -0.3125]",8,[0.     0.     0.0625],0.0625,2.364019931404834
100 percent,"[0.26666666666666666, -0.051851851851851864, 0.125]",3,[0.0366 0.125  0.1958],0.19583333333333333,0.8410472334273166
10:00 AM,"[0.10000000000000002, 0.10000000000000002, 0.10000000000000002]",3,[0.1 0.1 0.1],0.10000000000000002,1.0797007413238136
11 pm,"[-0.25, -0.075, 0.0, 0.13511904761904764]",4,[-0.1188 -0.0375  0.0338],-0.11875,1.0525757459481149
128 GB card,"[0.0, 0.11666666666666665, -0.225, 0.0]",4,[-0.0562  0.      0.0292],-0.05625,1.5079509902077737
16 gb,"[0.29523809523809524, -0.25, 0.0, 0.0]",4,[-0.0625  0.      0.0738],0.07380952380952381,1.0821145751755532
1900 MHz,"[0.5, 0.0, 0.0, 0.0]",4,[0.    0.    0.125],0.125,0.6244859376214211
2 TB memory possibility,"[-0.125, 0.0]",2,[-0.0938 -0.0625 -0.0312],-0.09375,0.7959522996305614
2 bars,"[0.0, 0.0, 0.13214285714285715, 0.37777777777777777]",4,[0.     0.0661 0.1936],0.1935515873015873,0.7999467788852472
2 cards,"[0.0, 0.5666666666666667, 0.4]",3,[0.2    0.4    0.4833],0.48333333333333334,0.7896146300526014
2 cents,"[0.0, 0.0, 0.46939393939393936, 0.2, -0.25, 0.0, 0.0, 0.0]",8,[0.   0.   0.05],0.05,1.3739955578529668
2 factory resets,"[-0.3, 0.10000000000000002]",2,[-0.2 -0.1  0. ],-0.19999999999999998,0.6569934862313053
2 other devices running,"[-0.125, -0.125, -0.125, -0.125, -0.125, -0.125, -0.125, -0.125, -0.125]",9,[-0.125 -0.125 -0.125],-0.125,3.400673621774446
2-year old phones,"[-0.075, 0.26666666666666666]",2,[0.0104 0.0958 0.1813],0.18125000000000002,0.7333154816153826
2.0 program,"[0.35, 0.35, 0.35]",3,[0.35 0.35 0.35],0.35,0.6502102729253015
20 feet,"[0.3, 0.0, 0.26]",3,[0.13 0.26 0.28],0.28,0.7150057822619642
2016 flagship,"[0.0, 0.1619047619047619, 0.13333333333333333, -0.20833333333333331]",4,[-0.0521  0.0667  0.1405],0.14047619047619048,0.8339041219045923
24 bit,"[0.0, 0.14978354978354977, 0.2298809523809524, -0.056249999999999994]",4,[-0.0141  0.0749  0.1698],0.16980790043290042,1.3017588946609426
24-bit audio,"[0.0, 0.2, 0.0, 0.0, 0.2575, 0.5]",6,[0.     0.1    0.2431],0.24312499999999998,1.125451344087573
24-bit high-definition Dolby audio,"[0.14978354978354977, 0.2298809523809524]",2,[0.1698 0.1898 0.2099],0.20985660173160176,0.645007902797039
3 GB,"[0.0, -0.21250000000000002, 0.0]",3,[-0.1062  0.      0.    ],-0.10625000000000001,0.8575555115685283
3 factory resets,"[0.31378968253968254, 0.05000000000000001]",2,[0.1159 0.1819 0.2478],0.2478422619047619,0.6569934862313053
3 half hrs,"[-0.19666666666666668, -0.19666666666666668]",2,[-0.1967 -0.1967 -0.1967],-0.19666666666666668,0.6668954757925284
3 words,"[0.13636363636363635, -0.18181818181818182, 0.13636363636363635, 0.5681818181818181, 0.07878787878787878, 0.03712121212121212, 0.12727272727272726, 0.1840909090909091]",8,[0.0684 0.1318 0.1483],0.14829545454545454,1.0341186720801772
3.5 mm headphone jack,"[0.0, 0.13333333333333333, -0.4]",3,[-0.2     0.      0.0667],-0.2,1.4253839850097147
3.5 mm jack,"[0.0, 0.5]",2,[0.125 0.25  0.375],0.375,0.6521825031906741
30 mins,"[0.0, 0.49, 0.0, 0.0, 0.0, 0.0, 0.7]",7,[0.    0.    0.245],0.245,1.153914799578552
