,sentiment,occurences,sentimentsSummary,sentimentEdges,score
1.27.502.5 android sercurity patch level,"[0.13636363636363635, 0.13636363636363635]",2,[0.1364 0.1364 0.1364],0.13636363636363635,0.8408806631853022
100 coupon,"[0.0, -0.0225, 0.0, -0.1]",4,[-0.0419 -0.0112  0.    ],-0.041875,0.6580952397858616
2 GB,"[0.0, 0.0, 0.0, 0.2025681818181818, 0.3333333333333333, 0.0]",6,[0.     0.     0.1519],0.15192613636363633,1.3986127991563049
3 GB,"[0.0, 0.0, 0.0, 0.2025681818181818, 0.2025681818181818, 0.2025681818181818, 0.304957264957265, 0.2058627087198516, 0.1]",9,[0.     0.2026 0.2026],0.2025681818181818,1.7151110231370565
3.0 charger,"[0.2222222222222222, 0.0, 0.0]",3,[0.     0.     0.1111],0.1111111111111111,0.7689151900098105
32 GB,"[0.0, 0.0, 0.2058627087198516, 0.1, 0.0]",5,[0.  0.  0.1],0.1,1.2562961169936098
32 GB model,"[0.0, 0.2025681818181818]",2,[0.0506 0.1013 0.1519],0.15192613636363633,0.7854909772278816
32 gb,"[0.5, 0.01785714285714285, 0.25, 0.4]",4,[0.192 0.325 0.425],0.42500000000000004,1.0821145751755532
32 gb model,"[0.016666666666666677, 0.0]",2,[0.0042 0.0083 0.0125],0.012500000000000008,0.7854909772278816
399 price,"[0.0, 0.10000000000000002, 0.0]",3,[0.   0.   0.05],0.05000000000000001,0.8484225792745048
399 price point,"[-0.045, 0.10000000000000002]",2,[-0.0087  0.0275  0.0638],0.06375000000000001,0.7507085483144313
5 using Tapatalk,"[0.0, 0.033333333333333326, 0.0, 0.19, 0.0, 0.0066666666666666706, 0.0, 0.0066666666666666706]",8,[0.     0.0033 0.0133],0.013333333333333334,1.8294063172393773
53 fps,"[0.05, 0.06888888888888889, 0.0]",3,[0.025  0.05   0.0594],0.059444444444444446,0.6995833979259414
Adoptable storage,"[0.26666666666666666, -0.125]",2,[-0.0271  0.0708  0.1688],0.16875,0.7259468498534375
Battery life,"[0.0, 0.27777777777777773, 0.0, 0.15625, -0.3, 0.0]",6,[0.     0.     0.1172],0.1171875,1.7127480094638958
Chrome browser,"[0.13636363636363635, 0.0]",2,[0.0341 0.0682 0.1023],0.10227272727272727,0.7008271165038626
Deep Garnet,"[0.05, -0.09583333333333333, 0.05, -0.2916666666666667, 0.3333333333333333]",5,[-0.0958  0.05    0.05  ],-0.09583333333333333,0.786652498991534
Deep Garnet color,"[0.0, 0.0, 0.0625]",3,[0.     0.     0.0312],0.03125,1.0635635626066269
Default ringtone,"[0.0, 0.16999999999999998, 0.0]",3,[0.    0.    0.085],0.08499999999999999,1.1619318655797093
European LTE band support,"[0.3, 0.3]",2,[0.3 0.3 0.3],0.3,0.8420152255220464
Good luck,"[0.7, 0.44166666666666665, 0.875]",3,[0.5708 0.7    0.7875],0.7875,1.2726928606902024
Home button,"[0.14285714285714285, -0.23402777777777778, -0.23402777777777778, -0.23402777777777778, -0.23402777777777778, -0.23402777777777778, -0.23402777777777778, -0.5]",8,[-0.234 -0.234 -0.234],-0.23402777777777778,2.5238535402326043
LTE network,"[0.5, 0.0, 0.0]",3,[0.   0.   0.25],0.25,0.6898972289701053
MicroSD card slot,"[0.24, 0.03125]",2,[0.0834 0.1356 0.1878],0.1878125,0.6308346444153144
OS,"[-0.30000000000000004, 0.0, 0.0]",3,[-0.15  0.    0.  ],-0.15000000000000002,0.9624225974326619
Only thing,"[0.018518518518518514, 0.0]",2,[0.0046 0.0093 0.0139],0.013888888888888885,0.8708685799884505
PIN,"[0.0, 0.5, 0.5, 0.5, 0.5, 0.5]",6,[0.5 0.5 0.5],0.5,1.4525404044783143
Plastic build,"[-0.05641025641025638, -0.05641025641025638]",2,[-0.0564 -0.0564 -0.0564],-0.05641025641025638,0.862837073885425
Sense,"[0.5, -0.15555555555555559]",2,[0.0083 0.1722 0.3361],0.3361111111111111,0.6114620314382921
Terrible sound quality,"[-0.05641025641025638, -0.05641025641025638]",2,[-0.0564 -0.0564 -0.0564],-0.05641025641025638,0.7524092510793257
Thanks,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.1]",8,[0.2 0.2 0.2],0.2,1.2296904559216688
Thanks everyone,"[0.44999999999999996, 0.2]",2,[0.2625 0.325  0.3875],0.38749999999999996,0.830682126386706
Twitter apps,"[0.0, 0.0, -0.04166666666666666]",3,[-0.0208  0.      0.    ],-0.02083333333333333,1.317091111547394
Unlocked model,"[0.4166666666666667, 0.0]",2,[0.1042 0.2083 0.3125],0.3125,0.7981192665813793
WiFi calling,"[0.075, 0.0, 0.78]",3,[0.0375 0.075  0.4275],0.4275,1.19154682560462
accessories,"[0.0, 0.1, -0.44999999999999996, 0.25]",4,[-0.1125  0.05    0.1375],0.1375,0.8538387812033107
additional cost,"[0.0, 0.2]",2,[0.05 0.1  0.15],0.15000000000000002,0.6228708141271866
adoptable storage,"[-0.4, 0.0, 0.5]",3,[-0.2   0.    0.25],0.25,1.1505985345343501
album name,"[0.0, -0.16666666666666666]",2,[-0.125  -0.0833 -0.0417],-0.125,0.8141114918368333
app,"[0.4, 0.5, 0.0, -0.16666666666666666, 0.03333333333333333, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.3125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",18,[0.    0.    0.025],0.025,2.944506164840117
apps,"[0.5, 0.0, 0.018518518518518514, 0.0, 0.0, 0.0]",6,[0.     0.     0.0139],0.013888888888888885,1.5777334272330008
average user,"[-0.15, -0.15, -0.15]",3,[-0.15 -0.15 -0.15],-0.15,0.9301493452545563
back,"[0.0, 0.1, 0.0, 0.0, 0.25, 0.0, 0.0]",7,[0.   0.   0.05],0.05,1.6470668392979415
band 12,"[-0.15555555555555559, 0.0, 0.4166666666666667, 0.0, -0.3125]",5,[-0.1556  0.      0.    ],-0.15555555555555559,1.0795010716404152
battery issue,"[0.0, 0.0, 0.41818181818181815]",3,[0.     0.     0.2091],0.20909090909090908,1.466963947539793
battery life,"[-0.15, 0.4666666666666667, 0.4, 0.31, 0.25, -0.07291666666666666, 0.4166666666666667, 0.0, 0.2, 0.0, 0.0, -1.0, 0.0, 0.7, 0.0, 0.5, 0.44999999999999996, 0.0, -0.5850000000000001, 0.7, 0.5, 0.09999999999999999, 0.0, 0.0, 0.25833333333333336, 0.52, 0.0, 0.5, 0.0, 0.0, -0.07500000000000001, -0.09166666666666667, -0.3, 0.43333333333333335, -0.3, 0.0625, 0.0, 0.0, -0.5, 0.0, 0.2, 0.0]",42,[0.     0.     0.3775],0.37750000000000006,3.5728490953680083
battery pack,"[0.14666666666666667, 0.0, 0.0]",3,[0.     0.     0.0733],0.07333333333333333,1.335057567248377
big deal,"[0.05892857142857143, 0.0, 0.16666666666666666]",3,[0.0295 0.0589 0.1128],0.11279761904761904,1.0665995463688442
body ratio,"[0.0, 0.125]",2,[0.0312 0.0625 0.0938],0.09375,0.7393112055823595
bottom bezel,"[0.0666666666666667, 0.0]",2,[0.0167 0.0333 0.05  ],0.05000000000000002,0.7708184688865686
build quality,"[1.0, 0.45]",2,[0.5875 0.725  0.8625],0.8625,0.7643149769713367
cache partition,"[0.4, 0.26666666666666666, 0.0]",3,[0.1333 0.2667 0.3333],0.33333333333333337,1.2782731860586836
capable device,"[0.0, 0.0, 0.3181818181818182]",3,[0.     0.     0.1591],0.1590909090909091,1.036059023648417
car,"[0.0, 0.0, 0.375]",3,[0.     0.     0.1875],0.1875,0.9926461636082761
carbon grey,"[-0.05, -0.05, -0.05]",3,[-0.05 -0.05 -0.05],-0.05,1.0944100334112672
card,"[0.25, 0.4, 0.0, 0.0]",4,[0.     0.125  0.2875],0.2875,0.803143550768946
carrier,"[0.0, 0.21428571428571427, 0.5]",3,[0.1071 0.2143 0.3571],0.35714285714285715,0.9862273319749154
carrier versions,"[-0.053571428571428575, 0.0]",2,[-0.0402 -0.0268 -0.0134],-0.04017857142857143,0.8307600636195849
carriers,"[1.0, -0.8, 0.0]",3,[-0.4  0.   0.5],0.5,0.7534673951167414
case,"[0.0, 0.0, 0.4, -0.05]",4,[-0.0125  0.      0.1   ],0.1,1.3567051808873725
charge,"[0.0, 0.21428571428571427, 0.2681818181818182]",3,[0.1071 0.2143 0.2412],0.24123376623376624,0.6679606446580285
charging,"[0.27777777777777773, 0.6, 0.0, 0.65]",4,[0.2083 0.4389 0.6125],0.6124999999999999,0.8700547376798868
charging port,"[-0.05641025641025638, -0.05641025641025638]",2,[-0.0564 -0.0564 -0.0564],-0.05641025641025638,0.6523030337165191
clear case,"[0.10000000000000002, 0.10000000000000002]",2,[0.1 0.1 0.1],0.10000000000000002,0.9619672624300294
color,"[0.5, -0.125, 0.1, 0.03125]",4,[-0.0078  0.0656  0.2   ],0.2,0.9627157723157332
coverage area,"[0.0, 0.0, 0.3181818181818182]",3,[0.     0.     0.1591],0.1590909090909091,1.1194331699143742
current version,"[0.0, -0.15]",2,[-0.1125 -0.075  -0.0375],-0.11249999999999999,0.7002396549437276
custom ROM,"[-0.2, 0.023809523809523808]",2,[-0.144  -0.0881 -0.0321],-0.14404761904761906,0.6545671900921622
custom notification tone,"[0.7, 0.7, 0.0]",3,[0.35 0.7  0.7 ],0.7,1.556229402072986
customer service,"[0.24, 0.0]",2,[0.06 0.12 0.18],0.18,0.8058337150350469
daily driver,"[-0.07291666666666666, 0.3]",2,[0.0203 0.1135 0.2068],0.20677083333333332,0.7854267592083822
deal breaker,"[0.0, 0.21428571428571427]",2,[0.0536 0.1071 0.1607],0.1607142857142857,0.6570090840347022
deep garnet color,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.6710338964629804
deep garnet order,"[0.125, 0.0]",2,[0.0312 0.0625 0.0938],0.09375,0.7589252125590868
default messaging app,"[0.0, 0.16666666666666666]",2,[0.0417 0.0833 0.125 ],0.125,1.055947143148121
developer options,"[-0.046875, 0.0, 0.0]",3,[-0.0234  0.      0.    ],-0.0234375,1.0590173117007342
device,"[0.0, 0.0, 0.0, 0.0, 0.55, 0.8, 0.0, 0.4166666666666667, 0.0, 0.0, 0.35, 0.15, 0.0, 0.0, -0.1]",15,[0.   0.   0.25],0.25,1.92080923042806
devices,"[0.0, 0.475, 0.2]",3,[0.1    0.2    0.3375],0.3375,0.7214503684804439
difference,"[0.0, 0.375, 0.0]",3,[0.     0.     0.1875],0.1875,0.8919243714651481
dot view case,"[0.14666666666666667, 0.0]",2,[0.0367 0.0733 0.11  ],0.11,0.82475907079215
early December 2015,"[0.1, 0.1]",2,[0.1 0.1 0.1],0.1,0.8343795499459354
email,"[0.0, 0.0, 0.10714285714285714, 0.0, 0.0, 0.0, 0.08333333333333333]",7,[0.     0.     0.0417],0.041666666666666664,1.736608974745552
email notifications,"[-0.1, 0.0]",2,[-0.075 -0.05  -0.025],-0.07500000000000001,0.8959779223920561
email saying,"[0.0, 0.0, 0.1, 0.05]",4,[0.     0.025  0.0625],0.0625,1.5637342468304618
example,"[0.0, 0.04999999999999999, 0.0]",3,[0.    0.    0.025],0.024999999999999994,0.6598240224399003
expandable storage,"[0.008333333333333338, -0.05641025641025638, 0.07500000000000001, -0.05641025641025638]",4,[-0.0564 -0.024   0.025 ],-0.05641025641025638,1.3739582678931173
factory reset,"[-0.125, 0.16, 0.1, 0.0, 0.4, -0.3125, 0.0, 0.0, 0.5]",9,[0.   0.   0.16],0.16,2.2515144690346744
fast charge,"[0.2, 0.35]",2,[0.2375 0.275  0.3125],0.31249999999999994,0.7663632498162143
feature,"[0.0, 0.35, 0.0]",3,[0.    0.    0.175],0.175,0.9407387620323595
few games,"[-0.2, -0.2]",2,[-0.2 -0.2 -0.2],-0.2,0.7587547836556777
finger print scanner,"[1.0, -0.25, 0.0, -0.16666666666666666, 0.16666666666666666, 0.0, 0.0]",7,[-0.0833  0.      0.0833],-0.08333333333333333,2.6760874171315066
fingerprint reader,"[0.0, 0.07500000000000001]",2,[0.0188 0.0375 0.0563],0.05625000000000001,0.789508374119287
fingerprint scanner,"[0.175, 0.0, 0.0, -0.16666666666666666, 0.0, 0.125, 0.5, 0.0, 0.8, 0.2, 0.5, 0.33]",12,[0.     0.15   0.3725],0.3725,2.787576088641726
fingerprint sensor,"[0.3, 0.0, 0.03333333333333335, 0.0]",4,[0.     0.0167 0.1   ],0.1,1.6749226176066065
fitness apps,"[0.3333333333333333, 0.4]",2,[0.35   0.3667 0.3833],0.38333333333333336,0.7795490403205824
flagships,"[-0.0625, 0.0, 0.45000000000000007]",3,[-0.0312  0.      0.225 ],0.22500000000000003,0.8063149122055189
following message,"[0.0, 0.2]",2,[0.05 0.1  0.15],0.15000000000000002,0.6631562507765097
free access,"[0.4, 0.2]",2,[0.25 0.3  0.35],0.35000000000000003,0.7257628083447846
