,sentiment,occurences,sentimentsSummary,sentimentEdges,score
000 ads,"[0.05333333333333332, 0.0, 0.0]",3,[0.     0.     0.0267],0.02666666666666666,0.7217449010458855
10 min,"[-0.16666666666666666, 0.0, -0.15555555555555559]",3,[-0.1611 -0.1556 -0.0778],-0.16111111111111112,0.8338067744123265
1080p display,"[0.0, 0.7, 0.32083333333333336, 0.0625, 0.3, 0.0]",6,[0.0156 0.1812 0.3156],0.31562500000000004,1.0044039119157633
1080p resolution,"[0.1, 0.0, 0.0]",3,[0.   0.   0.05],0.05,0.9099729844266903
15 min,"[0.06666666666666667, 0.44166666666666665, 0.44166666666666665, 0.0, 0.5]",5,[0.0667 0.4417 0.4417],0.44166666666666665,1.2215048459092843
15 mins,"[-0.04999999999999999, -0.4, 0.0]",3,[-0.225 -0.05  -0.025],-0.225,0.6514714872669906
16 GB,"[0.1, 0.0, 0.0, 0.0]",4,[0.    0.    0.025],0.025,1.0821145751755532
16 gb,"[-0.09184472934472934, 0.0, 0.12470238095238093]",3,[-0.0459  0.      0.0624],0.06235119047619046,0.8575555115685283
16:9 aspect ratio,"[-0.2, -0.2]",2,[-0.2 -0.2 -0.2],-0.2,0.6200177201117368
2 K display,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.3125]",6,[0.     0.0833 0.1667],0.16666666666666666,1.0044039119157633
2 apps,"[0.25, 0.0, 0.08916666666666666, 0.0]",4,[0.     0.0446 0.1294],0.129375,1.2207012107857214
2 cents,"[0.0, 0.35, 0.39285714285714285]",3,[0.175  0.35   0.3714],0.37142857142857144,0.7259104784514662
2 hrs,"[0.35, 0.25, -0.4]",3,[-0.075  0.25   0.3  ],0.3,0.7598497650227735
2 phones,"[-0.4, 0.0, 0.0, -0.25, 0.14069264069264067, 0.2]",6,[-0.1875  0.      0.1055],-0.1875,1.4702071077048717
2.0 car charger,"[0.0, 0.42992424242424243]",2,[0.1075 0.215  0.3224],0.3224431818181818,0.864752050070385
2.0 charger,"[0.0, 0.03958333333333333, 0.24444444444444446]",3,[0.0198 0.0396 0.142 ],0.14201388888888888,0.7689151900098105
200 mile road trip,"[0.0, 0.101010101010101]",2,[0.0253 0.0505 0.0758],0.07575757575757575,0.641020436777563
2015 flagship device,"[-0.25, 0.5]",2,[-0.0625  0.125   0.3125],0.3125,0.7277623465752667
2015 flagship devices,"[0.0, -0.25]",2,[-0.1875 -0.125  -0.0625],-0.1875,0.7020248179425219
3 buttons,"[-0.0029761904761904934, -0.125, 0.2857142857142857]",3,[-0.064  -0.003   0.1414],0.14136904761904762,0.7402208564476355
3000 mAh battery,"[-0.00416666666666667, 0.0]",2,[-0.0031 -0.0021 -0.001 ],-0.0031250000000000028,0.8656319968245754
32 GB,"[-0.05555555555555555, 0.0, 0.0, 0.0, -0.8]",5,[-0.0556  0.      0.    ],-0.05555555555555555,1.2562961169936098
