,sentiment,occurences,sentimentsSummary,sentimentEdges,score
3000 mAh,"[0.0, 0.0, 0.26857142857142857]",3,[0.     0.     0.1343],0.13428571428571429,0.6966093375435327
3000 mAh battery,"[0.041666666666666664, 0.13939393939393943]",2,[0.0661 0.0905 0.115 ],0.11496212121212125,0.8656319968245754
3000mAh battery,"[-0.25, 0.5]",2,[-0.0625  0.125   0.3125],0.3125,0.6625813755464813
Battery life,"[0.3, 0.16666666666666666]",2,[0.2    0.2333 0.2667],0.26666666666666666,0.6625813755464813
Thanks,"[0.2, 0.05, 0.2, 0.2]",4,[0.1625 0.2    0.2   ],0.2,0.8197936372811127
battery,"[0.0, 0.2, 0.0]",3,[0.  0.  0.1],0.1,1.0501666339174147
battery life,"[0.0, -0.3, 0.4166666666666667, 0.5, 0.35, 0.376984126984127, 1.0, -0.15, 0.5]",9,[0.    0.377 0.5  ],0.5,2.1003332678348294
battery size,"[-0.08392857142857144, 0.2222222222222222]",2,[-0.0074  0.0691  0.1457],0.1456845238095238,0.8152164920589585
build quality,"[0.45666666666666667, 0.5]",2,[0.4675 0.4783 0.4892],0.48916666666666664,0.7643149769713367
card slot,"[0.0, 0.13939393939393943]",2,[0.0348 0.0697 0.1045],0.10454545454545458,0.6308346444153144
case,"[-0.1909722222222222, 0.5, 0.05555555555555555]",3,[-0.0677  0.0556  0.2778],0.2777777777777778,1.0751634181202994
fingerprint sensor,"[0.2, -0.09999999999999992]",2,[-0.025  0.05   0.125],0.12500000000000006,0.8374613088033033
low light,"[0.2, 0.2]",2,[0.2 0.2 0.2],0.2,0.7748298302733668
much bulk,"[-0.03333333333333335, 0.2]",2,[0.025  0.0833 0.1417],0.1416666666666667,0.8619597788137823
only one,"[0.25, 0.0]",2,[0.0625 0.125  0.1875],0.1875,0.6392907286881806
other USB-C devices,"[-0.125, -0.125]",2,[-0.125 -0.125 -0.125],-0.125,0.8521130375671512
other argument,"[-0.125, -0.065]",2,[-0.11  -0.095 -0.08 ],-0.11,0.7539165000609019
other devices,"[-0.041666666666666664, -0.125]",2,[-0.1042 -0.0833 -0.0625],-0.10416666666666667,0.8521130375671512
other members,"[-0.15625, -0.041666666666666664]",2,[-0.1276 -0.099  -0.0703],-0.12760416666666666,0.7716389560579174
overall dimensions,"[0.0, 0.19999999999999998]",2,[0.05 0.1  0.15],0.15,0.6365522077845489
phones,"[0.04375000000000002, 0.5, 0.5]",3,[0.2719 0.5    0.5   ],0.5,0.9014533608730662
seamless updates,"[0.39999999999999997, 0.3]",2,[0.325 0.35  0.375],0.375,0.6956397859393212
secondary screen,"[-0.08392857142857144, -0.09999999999999999, -0.3, -0.3]",4,[-0.3   -0.2   -0.096],-0.3,0.7994332100904471
small battery,"[-0.17564102564102566, -0.25]",2,[-0.2314 -0.2128 -0.1942],-0.23141025641025642,0.9028204167339623
top device,"[0.2375, 0.19230769230769232]",2,[0.2036 0.2149 0.2262],0.22620192307692305,0.7871658549700928
