,sentiment,occurences,sentimentsSummary,sentimentEdges,score
0.9 megapixels,"[0.16428571428571428, 0.16428571428571428, 0.16428571428571428, 0.16428571428571428, 0.16428571428571428, 0.16428571428571428]",6,[0.1643 0.1643 0.1643],0.16428571428571428,1.0672853239724696
1080p smartphone videos,"[0.16, -0.8, -0.8, -0.8]",4,[-0.8  -0.8  -0.56],-0.8,1.5693291157914688
1080p video,"[-0.4, -0.05, 0.0, 0.0, 0.2857142857142857, 0.0]",6,[-0.0375  0.      0.    ],-0.037500000000000006,1.41048561209153
1080p videos,"[0.0, 0.19999999999999998, 0.10833333333333334]",3,[0.0542 0.1083 0.1542],0.15416666666666667,0.6406120612657411
12.2 megapixels,"[0.16428571428571428, 0.16428571428571428, 0.16428571428571428]",3,[0.1643 0.1643 0.1643],0.16428571428571428,0.6544030002734925
128 gb,"[0.3, 0.16666666666666666, 0.25000000000000006, 0.2, 0.0, 0.0]",6,[0.0417 0.1833 0.2375],0.23750000000000004,1.3986127991563049
128 gb model,"[0.2, 0.0]",2,[0.05 0.1  0.15],0.15000000000000002,0.7854909772278816
128 gb storage,"[0.0, 0.175]",2,[0.0438 0.0875 0.1312],0.13124999999999998,0.7734978421270414
16:9 aspect ratio,"[-0.0625, 0.0, 0.0]",3,[-0.0312  0.      0.    ],-0.03125,0.9827048361597285
18:9 aspect ratio,"[0.0, 0.2, -0.3]",3,[-0.15  0.    0.1 ],-0.15,0.9827048361597285
18:9 ratio,"[0.25, 0.0, -0.25]",3,[-0.125  0.     0.125],-0.125,0.7244719492700041
2 Echo Dots,"[-0.6999999999999998, 0.0]",2,[-0.525 -0.35  -0.175],-0.5249999999999999,0.7115282196336494
2 bars,"[0.0, 0.5, 0.0]",3,[0.   0.   0.25],0.25,0.6339428235528977
3.5 audio adapter,"[0.0, 0.2375]",2,[0.0594 0.1188 0.1781],0.17812499999999998,0.6762253919864274
3.5 audio jack,"[0.3, 0.0]",2,[0.075 0.15  0.225],0.22499999999999998,0.6781442002760613
3.5 inch adapters,"[0.05888888888888888, 0.05888888888888888]",2,[0.0589 0.0589 0.0589],0.05888888888888888,0.6277704157202896
3.5 jack,"[0.5, 0.11818181818181818, 0.0, 0.0, 0.0, 0.25, 0.0]",7,[0.     0.     0.1841],0.18409090909090908,1.1285660204687091
3.5 mm,"[0.0, 0.0, 0.4166666666666667, 0.0, 0.4333333333333333, 0.0]",6,[0.     0.     0.3125],0.3125,1.0294301643402537
3.5 mm adapter,"[0.0, -0.3125, 0.0, 0.30000000000000004, 0.22857142857142856, 0.25, 0.43333333333333335, 0.0]",8,[0.     0.1143 0.2625],0.2625,1.950571074265619
3.5 mm audio,"[0.35, 0.7]",2,[0.4375 0.525  0.6125],0.6124999999999999,0.6756183748824488
3.5 mm headphone jack,"[0.0, 0.1, 0.0, 0.4, 0.325, -0.3499999999999999, 0.3]",7,[0.     0.1    0.3125],0.3125,2.5247024736032553
3.5 mm headphones,"[0.0, -0.25, 0.5]",3,[-0.125  0.     0.25 ],0.25,1.2608037607530311
3.5 mm jack,"[0.3, 0.4123511904761905, 0.09843750000000001, 0.4166666666666667, -0.1875, 0.3, -0.7999999999999999, 0.009999999999999998, 0.1787878787878788, 0.0, 0.0, 0.0, -0.25, 0.0, 0.0, 0.0, 0.0, 0.3875]",18,[0.     0.     0.2697],0.26969696969696966,2.7195521255580224
360 degree sound recording,"[0.4, 0.4]",2,[0.4 0.4 0.4],0.4,0.8049531049943425
3rd party apps,"[-0.1, -0.11538461538461539]",2,[-0.1115 -0.1077 -0.1038],-0.11153846153846153,0.7750514100933567
4 GB RAM,"[0.7, 0.0, 0.0]",3,[0.   0.   0.35],0.35,0.8575555115685283
4 K content,"[0.0, 0.5, -0.13, 0.20000000000000004, 0.4375, 0.20000000000000004, 0.4375, 0.20000000000000004, 0.4375, 0.5]",10,[0.2    0.3188 0.4375],0.4375,1.2382890205444494
4 K smartphone videos,"[-0.8, -0.8, -0.8]",3,[-0.8 -0.8 -0.8],-0.8,1.2436638999096838
4 K video,"[0.0, 0.16, 0.0]",3,[0.   0.   0.08],0.08,0.864835293489991
4 K videos,"[-0.012500000000000011, 0.5, 0.0, 0.19999999999999998, 0.10833333333333334]",5,[0.     0.1083 0.2   ],0.19999999999999998,0.9384797068068411
50 discount,"[0.3, 0.5, 0.0, -0.3499999999999999, 0.0]",5,[0.  0.  0.3],0.3,0.8847440510246857
50 off coupon,"[0.20249999999999999, 0.0, 0.0]",3,[0.     0.     0.1012],0.10124999999999999,1.2489609807446873
6 GB,"[0.04166666666666667, 0.0, 0.05]",3,[0.0208 0.0417 0.0458],0.04583333333333334,0.8575555115685283
6 GB RAM,"[-0.125, 0.4, 0.0, 0.2, 0.0, 0.0, 0.175]",7,[0.     0.     0.1875],0.1875,1.5189398394246814
6 gb,"[0.3375, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.01785714285714285, 0.0, 0.0, 0.0, 0.0]",12,[0.     0.     0.0045],0.004464285714285712,1.9396700867440815
64 GB,"[-0.6999999999999998, 0.07500000000000001, 0.0]",3,[-0.35    0.      0.0375],-0.3499999999999999,0.8575555115685283
64 gb,"[0.16666666666666666, 0.4, 0.5]",3,[0.2833 0.4    0.45  ],0.45,0.8575555115685283
64 gb versions,"[0.3, 0.3]",2,[0.3 0.3 0.3],0.3,0.7715994476508768
8.0 update,"[0.037142857142857165, -0.16249999999999995, 0.0, -0.4, 0.0, 0.0, 0.0]",7,[-0.0812  0.      0.    ],-0.08124999999999998,1.8051125674317359
835 processor,"[-0.07777777777777779, 0.26, 0.3484848484848485, 0.0]",4,[-0.0194  0.13    0.2821],0.2821212121212121,0.8338255044783587
Amazing Silver,"[0.30000000000000004, 0.26666666666666666, 0.19147727272727275, 0.6000000000000001, 0.30000000000000004, 0.18333333333333335, 0.30000000000000004, 0.6000000000000001, 0.6000000000000001, 0.1866666666666667]",10,[0.2103 0.3    0.525 ],0.5250000000000001,2.220398792071415
Amazing silver,"[0.42500000000000004, 0.2, 0.6000000000000001]",3,[0.3125 0.425  0.5125],0.5125000000000001,1.0593994576511363
BBB,"[0.0, 0.0, 0.13636363636363635, 0.0, 0.0, 0.1]",6,[0.    0.    0.075],0.07500000000000001,1.0574330673391854
BBB complaint,"[0.10833333333333334, -0.3, -0.3, 0.11587301587301586, -0.3, -0.3666666666666667, -0.3, -0.3, -0.06999999999999999, -0.15, -0.3]",11,[-0.3  -0.3  -0.11],-0.3,2.072296067980058
Battery life,"[0.0, 0.5, 0.0, 0.0, 0.175, 0.8, 0.0, 0.21468253968253964, 0.7, 0.28500000000000003, 0.4, 0.4, 0.43392857142857144, 0.0, 0.125, 0.2275, -0.09166666666666667, 0.7875, 0.6666666666666666, 0.3333333333333333, 0.125]",21,[0.     0.2275 0.4339],0.43392857142857144,2.9102677198215265
Big difference,"[0.1619047619047619, 0.0, 0.0]",3,[0.    0.    0.081],0.08095238095238096,1.294077560372312
