,sentiment,occurences,sentimentsSummary,sentimentEdges,score
12core GPU work,"[0.15999999999999998, 0.15999999999999998]",2,[0.16 0.16 0.16],0.15999999999999998,0.6905070173295949
18.9 ratio,"[-0.2, 0.0, 0.0, -0.06666666666666667, -1.0, 0.0, 0.15625]",7,[-0.1333  0.      0.    ],-0.13333333333333333,1.2832164115872857
18:9 ratio,"[0.0, 0.0, 0.0, 0.4166666666666667]",4,[0.     0.     0.1042],0.10416666666666667,0.9141818168447142
2.9 GB free RAM,"[0.12222222222222222, 0.12222222222222222]",2,[0.1222 0.1222 0.1222],0.12222222222222222,0.7908528959179865
2nd full charge,"[0.175, 0.175]",2,[0.175 0.175 0.175],0.175,0.6268118596108575
4 gb,"[0.0, 0.0, -0.3, 0.03472222222222223]",4,[-0.075   0.      0.0087],-0.075,1.0821145751755532
6 gb,"[0.0, 0.0, 0.25, 0.0, 0.0, 0.375]",6,[0.     0.     0.1875],0.1875,1.3986127991563049
64 gb,"[0.0, 0.0, -0.3]",3,[-0.15  0.    0.  ],-0.15,0.8575555115685283
Battery life,"[1.0, 0.475, -0.7, 0.0, 0.875, 1.0]",6,[0.1188 0.675  0.9688],0.96875,1.7127480094638958
Bluetooth device,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.7546043518191936
Bluetooth devices,"[0.25, 0.0, -0.8]",3,[-0.4    0.     0.125],-0.4,1.1568040834968893
Bluetooth headphones,"[-0.16666666666666666, 0.5444444444444444]",2,[0.0111 0.1889 0.3667],0.36666666666666664,0.8301141834497093
Cheers,"[0.0, 0.5, 0.0, -0.25]",4,[-0.0625  0.      0.125 ],0.125,1.0025889880104735
Chinese OEMs,"[0.35, 0.35]",2,[0.35 0.35 0.35],0.35,0.7307434708020284
Chinese government,"[-0.09999999999999996, 0.0, -0.12857142857142856, 0.07083333333333333, 0.05, 0.05, 0.0, 0.0]",8,[-0.025  0.     0.05 ],0.05,1.7924488727431716
Desktop mode,"[0.2, -0.125, 0.07777777777777779]",3,[-0.0236  0.0778  0.1389],0.1388888888888889,0.9665013267727112
Good luck,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.8029797929674225
Good question,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.7516068297607835
Memory side,"[0.19027777777777777, 0.19027777777777777]",2,[0.1903 0.1903 0.1903],0.19027777777777777,0.6618077622795333
Nice review,"[0.6, 0.75, 0.125]",3,[0.3625 0.6    0.675 ],0.675,1.3303867640481475
One thing,"[0.35, 0.0, 0.19444444444444445, 0.6]",4,[0.1458 0.2722 0.4125],0.4125,0.9592919002031174
SD card,"[0.6, 0.0, 0.0]",3,[0.  0.  0.3],0.3,1.21133682074998
SD cards,"[0.8, 0.0]",2,[0.2 0.4 0.6],0.6000000000000001,0.8231344174965785
Thanks,"[0.2, 0.16666666666666666, 0.2, 0.0566666666666667, 0.2, 0.2, 0.2, 0.2, 0.2]",9,[0.2 0.2 0.2],0.2,1.299342173420365
Wireless charging,"[0.325, 0.0]",2,[0.0812 0.1625 0.2438],0.24375000000000002,0.7437001163733141
aggressive battery management,"[0.0, 0.07619047619047618]",2,[0.019  0.0381 0.0571],0.057142857142857134,0.9265150680298506
aggressive battery optimization,"[0.5, 0.0, 0.0]",3,[0.   0.   0.25],0.25,1.5854194814260654
alarm clock,"[-0.1625, -0.35416666666666663, 0.2857142857142857, 0.0]",4,[-0.2104 -0.0812  0.0714],-0.21041666666666667,1.4777235678945795
anything,"[0.0, 0.25, 0.5]",3,[0.125 0.25  0.375],0.375,1.0086334476920757
app,"[0.0, 0.0, 0.0, 0.5, 0.0, -0.25, 0.05, 0.0]",8,[0.     0.     0.0125],0.0125,2.1183878586461327
app store,"[0.2, 0.0, 0.0]",3,[0.  0.  0.1],0.1,1.3804029065681387
apps,"[0.0, 0.16666666666666669, -0.5, 0.0, 0.0, -0.3125]",6,[-0.2344  0.      0.    ],-0.234375,1.5777334272330008
apps icon,"[0.175, -0.1111111111111111]",2,[-0.0396  0.0319  0.1035],0.1034722222222222,0.6103506053928607
