,sentiment,occurences,sentimentsSummary,sentimentEdges,score
4k video,"[0.0, 0.0, 0.049999999999999996]",3,[0.    0.    0.025],0.024999999999999998,0.864835293489991
Thanks,"[0.11212121212121212, 0.2, 0.2]",3,[0.1561 0.2    0.2   ],0.2,0.6496710867101825
battery life,"[-0.6999999999999998, 0.6, 0.0, 0.3333333333333333]",4,[-0.175   0.1667  0.4   ],0.4,1.3251627510929627
black border,"[-0.16666666666666666, -0.16666666666666666, -0.16666666666666666, -0.08333333333333333, -0.3833333333333333, 0.15972222222222224, -0.13333333333333333, -0.08333333333333333, -0.18333333333333335, -0.08333333333333333, -0.075, -0.075, -0.075, 0.08333333333333333, -0.08333333333333333, -0.08333333333333333, 0.08666666666666667]",17,[-0.1667 -0.0833 -0.075 ],-0.16666666666666666,1.4072670542355996
bought one,"[0.0, 0.16666666666666666]",2,[0.0417 0.0833 0.125 ],0.125,0.663919277134011
difference,"[0.0, -0.09999999999999999, 0.0]",3,[-0.05  0.    0.  ],-0.049999999999999996,0.8919243714651481
factory reset,"[0.0, 0.0, -0.04999999999999999, 0.0]",4,[-0.0125  0.      0.    ],-0.012499999999999997,1.420547469110618
full internet access,"[0.35, 0.35]",2,[0.35 0.35 0.35],0.35,0.9284542993769971
heavy user,"[-0.2, -0.2]",2,[-0.2 -0.2 -0.2],-0.2,0.7033507713017434
individual pixels,"[0.0, 0.049999999999999996]",2,[0.0125 0.025  0.0375],0.0375,0.6142262812547382
old software,"[0.05, 0.1]",2,[0.0625 0.075  0.0875],0.08750000000000001,0.7916747223928203
same issues,"[0.1, -0.1]",2,[-0.05  0.    0.05],-0.05000000000000001,0.8862124291020567
was expecting,"[0.5, 0.25]",2,[0.3125 0.375  0.4375],0.4375,0.7836619186835271
