,sentiment,occurences,sentimentsSummary,sentimentEdges,score
Advanced settings,"[0.4, 0.4]",2,[0.4 0.4 0.4],0.4,0.8326801642259484
Did anyone,"[0.31666666666666665, 0.7000000000000001]",2,[0.4125 0.5083 0.6042],0.6041666666666667,0.6121411592414687
None option,"[0.05000000000000001, 0.2, -0.2, 0.0]",4,[-0.05    0.025   0.0875],0.08750000000000001,1.3731894618619382
Power button,"[0.45, 0.0, 0.17532467532467533]",3,[0.0877 0.1753 0.3127],0.31266233766233764,1.0119477213744235
Thanks,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.24285714285714285]",8,[0.2 0.2 0.2],0.2,1.2296904559216688
answer,"[0.0, 0.0, 0.2]",3,[0.  0.  0.1],0.1,0.7083256459244747
anything relating,"[0.03214285714285715, 0.26666666666666666]",2,[0.0908 0.1494 0.208 ],0.2080357142857143,0.7448199372122398
apps including,"[0.5, 0.5]",2,[0.5 0.5 0.5],0.5,0.8939029960197804
battery,"[0.0, 0.0, 0.0, 0.27999999999999997, 0.0, -0.05, 0.25, 0.21111111111111114]",8,[0.     0.     0.2208],0.22083333333333335,1.9877441266394438
battery life,"[0.0, -0.78]",2,[-0.585 -0.39  -0.195],-0.585,0.6625813755464813
bottom part,"[0.0, 0.2]",2,[0.05 0.1  0.15],0.15000000000000002,0.6738265588524623
cache partition,"[0.3, 0.0]",2,[0.075 0.15  0.225],0.22499999999999998,0.8065005862770069
complete lack,"[0.1, -0.10000000000000002]",2,[-0.05 -0.    0.05],-0.05000000000000001,0.6695871682695168
device storage,"[0.4, 0.0]",2,[0.1 0.2 0.3],0.30000000000000004,0.7385269270578677
different options,"[0.25, 0.0]",2,[0.0625 0.125  0.1875],0.1875,0.6230925743675746
double tap,"[-0.025, 0.03409090909090909, 0.06818181818181818]",3,[0.0045 0.0341 0.0511],0.05113636363636363,1.3686828363875116
easy way,"[0.48333333333333334, 0.48333333333333334]",2,[0.4833 0.4833 0.4833],0.48333333333333334,0.7497416786240656
email accounts,"[-0.3125, 0.0]",2,[-0.2344 -0.1562 -0.0781],-0.234375,0.773837781083313
factory reset,"[0.0, 0.3, 0.3, 0.0, 0.0, 0.4, 0.0, 0.0, -0.5, 0.4, -0.1, 0.0, 0.0]",13,[0.  0.  0.3],0.3,2.6283251381008683
firmware version,"[0.0, -0.020833333333333332]",2,[-0.0156 -0.0104 -0.0052],-0.015625,0.7359949115039863
glass protector,"[0.13636363636363635, 0.2]",2,[0.1523 0.1682 0.1841],0.1840909090909091,0.7048578632652585
guest mode,"[0.0, 0.0, 0.11224489795918367, 0.11224489795918367, 0.0]",5,[0.     0.     0.1122],0.11224489795918367,1.4735398104177948
hard reset,"[-0.2916666666666667, -0.09583333333333334, -0.5]",3,[-0.3958 -0.2917 -0.1938],-0.39583333333333337,1.2542576806618968
hardware problem,"[0.0, 0.0, 0.25]",3,[0.    0.    0.125],0.125,1.568356352400854
holding volume,"[0.0, -0.051851851851851864]",2,[-0.0389 -0.0259 -0.013 ],-0.038888888888888896,0.7200759447844178
home screen,"[0.0, 0.25, -0.11666666666666665, 0.125, 0.0]",5,[0.    0.    0.125],0.125,0.9934786312676203
keyboard app,"[0.26666666666666666, 0.0]",2,[0.0667 0.1333 0.2   ],0.2,0.9439306333167444
last night,"[0.20833333333333334, 0.0]",2,[0.0521 0.1042 0.1562],0.15625,0.6639010612363101
