,sentiment,occurences,sentimentsSummary,sentimentEdges,score
4000 battery,"[0.5, 0.5]",2,[0.5 0.5 0.5],0.5,0.6625813755464813
IR blaster,"[0.0, 0.2]",2,[0.05 0.1  0.15],0.15000000000000002,0.7256567210598253
Power button,"[0.15, 0.0]",2,[0.0375 0.075  0.1125],0.11249999999999999,0.6384679264739628
TV code,"[0.1, 0.0]",2,[0.025 0.05  0.075],0.07500000000000001,0.859171528878925
Thanks,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",6,[0.2 0.2 0.2],0.2,1.0595679053507387
WiFi calling,"[0.8, 0.8]",2,[0.8 0.8 0.8],0.8,0.7517823450475752
Wicked good deal,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.7550258090864744
anything,"[0.0, 0.8]",2,[0.2 0.4 0.6],0.6000000000000001,0.6363768525962907
app,"[-0.07777777777777779, 0.0]",2,[-0.0583 -0.0389 -0.0194],-0.05833333333333335,0.7061292862153775
app drawer,"[0.0, 0.2, -0.125, 0.0, -0.02749999999999999]",5,[-0.0275  0.      0.    ],-0.02749999999999999,2.1424181740344923
back button,"[0.19642857142857142, 0.0]",2,[0.0491 0.0982 0.1473],0.14732142857142858,0.933221294104104
battery life,"[0.3333333333333333, 0.3833333333333333, -0.19583333333333333]",3,[0.0687 0.3333 0.3583],0.3583333333333333,1.0501666339174147
battery percentage,"[0.0, 0.43333333333333335, 0.0]",3,[0.     0.     0.2167],0.21666666666666667,1.4157149105250022
big deal,"[0.0, 0.0, 0.0, 0.20000000000000004]",4,[0.   0.   0.05],0.05000000000000001,1.3458987778998461
bought one,"[1.0, -0.125]",2,[0.1562 0.4375 0.7188],0.71875,0.663919277134011
box,"[0.0, 0.3, 0.20535714285714285, 0.05000000000000001]",4,[0.0375 0.1277 0.229 ],0.22901785714285716,0.689987527211165
build quality,"[0.6000000000000001, 1.0]",2,[0.7 0.8 0.9],0.9,0.7643149769713367
camera app,"[0.5, 0.39166666666666666]",2,[0.4188 0.4458 0.4729],0.47291666666666665,0.7061292862153775
capacitive button,"[0.0, -0.044444444444444446]",2,[-0.0333 -0.0222 -0.0111],-0.03333333333333333,0.8674777607235326
cell reception,"[0.0, 0.8, 0.0, 0.8]",4,[0.  0.4 0.8],0.8,1.5523846307212346
change log,"[0.0, 0.0, 0.08333333333333333]",3,[0.     0.     0.0417],0.041666666666666664,1.3473913050804127
charger,"[0.0, 0.0, -0.125]",3,[-0.0625  0.      0.    ],-0.0625,0.7689151900098105
charging,"[0.2, 0.0, 0.06481481481481481]",3,[0.0324 0.0648 0.1324],0.13240740740740742,0.6895020663987016
coming today,"[0.0, 0.2333333333333333, 0.0, 0.2333333333333333]",4,[0.     0.1167 0.2333],0.2333333333333333,1.387392636592076
custom ROM,"[0.0, -0.625, -0.625]",3,[-0.625  -0.625  -0.3125],-0.625,1.037464450498494
daily driver,"[0.0, 0.287037037037037, 0.15, 0.1952380952380952, 0.0]",5,[0.     0.15   0.1952],0.1952380952380952,1.823704458682274
different colors,"[0.0, 0.16666666666666666]",2,[0.0417 0.0833 0.125 ],0.125,0.7042530176467199
discount,"[0.0, 0.5, 0.0]",3,[0.   0.   0.25],0.25,0.6039317697640751
ear hole,"[0.45, 0.225]",2,[0.2812 0.3375 0.3938],0.39375000000000004,0.7224758733811545
easy software,"[0.43333333333333335, 0.43333333333333335]",2,[0.4333 0.4333 0.4333],0.43333333333333335,0.9263174482124976
factory reset,"[0.0, 0.13333333333333333]",2,[0.0333 0.0667 0.1   ],0.1,0.710273734555309
fast charging,"[0.2, 0.13333333333333333, 0.2]",3,[0.1667 0.2    0.2   ],0.2,1.2278038837398453
fast chip,"[0.1, 0.1]",2,[0.1 0.1 0.1],0.1,0.8050935170745526
fingerprint reader,"[0.25, 0.0]",2,[0.0625 0.125  0.1875],0.1875,0.789508374119287
fingerprint sensor,"[0.2, -0.44375000000000003, 0.2, 0.2857142857142857]",4,[0.0391 0.2    0.2214],0.22142857142857145,1.6749226176066065
first flash sale,"[0.25, 0.375, 0.375]",3,[0.3125 0.375  0.375 ],0.375,0.7530560515694117
flash sales,"[0.2, 0.43333333333333335, -0.125, 0.0]",4,[-0.0312  0.1     0.2583],0.25833333333333336,0.6514820989764268
full price,"[0.375, 0.31785714285714284]",2,[0.3321 0.3464 0.3607],0.3607142857142857,0.7132087009996205
glass protector,"[-0.15555555555555559, 0.7, 0.2]",3,[0.0222 0.2    0.45  ],0.44999999999999996,1.117173281613875
glass screen protector,"[0.325, 0.0]",2,[0.0812 0.1625 0.2438],0.24375000000000002,0.7048578632652585
good deal,"[0.44999999999999996, 0.13096590909090908]",2,[0.2107 0.2905 0.3702],0.3702414772727272,0.6706686255767433
good downloads,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.7306811911079458
got Direct TV code,"[0.1, 0.1]",2,[0.1 0.1 0.1],0.1,1.0937038486482453
great deal,"[1.0, 0.8, 0.8]",3,[0.8 0.8 0.9],0.9,1.0781308928975641
great price,"[0.24, 0.8]",2,[0.38 0.52 0.66],0.6600000000000001,0.8036385463167564
headphone jack,"[-0.06666666666666667, 0.4041666666666666, 0.2]",3,[0.0667 0.2    0.3021],0.3020833333333333,1.1634779489611016
headphones,"[0.0, 0.5, 0.0, 0.2, 0.5, 0.5, 0.4, 0.1]",8,[0.075 0.3   0.5  ],0.5,1.7982041214725757
heavy user,"[-0.2, -0.2]",2,[-0.2 -0.2 -0.2],-0.2,0.7033507713017434
home page,"[0.4, 0.0, 0.8, 0.0]",4,[0.  0.2 0.5],0.5,1.3514605940698778
home screen,"[-0.044444444444444446, 0.0, 0.39166666666666666]",3,[-0.0222  0.      0.1958],0.19583333333333333,0.6781546677927358
home screen preview,"[0.0, -0.025]",2,[-0.0188 -0.0125 -0.0062],-0.018750000000000003,0.6473118556878499
huge battery,"[-0.20000000000000004, 0.24, 0.45000000000000007]",3,[0.02  0.24  0.345],0.34500000000000003,1.48598507785422
info,"[0.2, 0.09166666666666667, 0.2]",3,[0.1458 0.2    0.2   ],0.2,0.8061226476695145
last night,"[0.0, 0.0, 0.4]",3,[0.  0.  0.2],0.2,1.0522582862485315
left speaker,"[0.125, 0.0]",2,[0.0312 0.0625 0.0938],0.09375,0.7657977706690369
multitasking pane,"[0.0, 0.0, 0.26666666666666666]",3,[0.     0.     0.1333],0.13333333333333333,0.9985466197039577
new ones,"[0.13636363636363635, 0.13636363636363635]",2,[0.1364 0.1364 0.1364],0.13636363636363635,0.7953690279947598
new update,"[0.13636363636363635, 0.13636363636363635, 0.48034090909090904]",3,[0.1364 0.1364 0.3084],0.3083522727272727,1.3644630221805811
notification drawer,"[0.25, 0.3333333333333333]",2,[0.2708 0.2917 0.3125],0.3125,0.8670988846494786
notification light,"[0.012500000000000011, 0.45]",2,[0.1219 0.2312 0.3406],0.340625,0.7829042209613484
notification shade,"[0.0, 0.19814814814814816, -0.15555555555555559, -0.6333333333333334, 0.45999999999999996, 0.04166666666666666, 0.0]",7,[-0.0778  0.      0.1199],0.11990740740740741,2.2849405982852975
one thing,"[0.0, -1.0, 0.0]",3,[-0.5  0.   0. ],-0.5,0.7602208445337414
only problem,"[0.22857142857142856, 0.35]",2,[0.2589 0.2893 0.3196],0.3196428571428571,0.9971754292571362
other devices,"[-0.0625, -0.125]",2,[-0.1094 -0.0938 -0.0781],-0.109375,0.8521130375671512
patch level,"[0.1622612681436211, 0.5]",2,[0.2467 0.3311 0.4156],0.41556531703590527,0.8408806631853022
pocket,"[-0.2, 0.0, 0.0]",3,[-0.1  0.   0. ],-0.1,0.7453519736808663
portable battery,"[0.0, 0.4444444444444444, 0.4444444444444444]",3,[0.2222 0.4444 0.4444],0.4444444444444444,1.282121080092158
portable quick charge,"[0.41666666666666663, 0.41666666666666663]",2,[0.4167 0.4167 0.4167],0.41666666666666663,0.8819379716714132
positive review,"[0.23878787878787877, 0.29545454545454547]",2,[0.253  0.2671 0.2813],0.2812878787878788,0.6347739183418425
power button,"[0.1, -0.025]",2,[0.0062 0.0375 0.0688],0.06875,0.6384679264739628
price,"[0.3181818181818182, 0.0, 0.125, 0.8, 0.0, 0.0]",6,[0.     0.0625 0.2699],0.26988636363636365,1.3837176281406283
price point,"[0.6000000000000001, 0.5, 0.5, 0.0, 0.6000000000000001]",5,[0.5 0.5 0.6],0.6000000000000001,1.7430912694033849
quick charging,"[0.3333333333333333, 0.3333333333333333]",2,[0.3333 0.3333 0.3333],0.3333333333333333,0.7601636189970905
quick settings,"[0.04166666666666666, -0.16666666666666666, 0.25, 0.27083333333333337, 0.3333333333333333, 0.0]",6,[0.0104 0.1458 0.2656],0.265625,2.1672360971021845
quick toggles,"[0.16666666666666666, 0.2259259259259259]",2,[0.1815 0.1963 0.2111],0.21111111111111108,0.7765192361335277
recent apps button,"[0.16666666666666666, 0.26666666666666666]",2,[0.1917 0.2167 0.2417],0.24166666666666667,1.1055646093700262
return policy,"[0.2, 0.0, 0.0]",3,[0.  0.  0.1],0.1,1.0052600553238942
sales tax,"[0.0, 0.0, 0.0, -0.16666666666666666]",4,[-0.0417  0.      0.    ],-0.041666666666666664,1.329754449665436
same thing,"[0.08333333333333333, 0.0, 0.0]",3,[0.     0.     0.0417],0.041666666666666664,1.383545286981281
