,sentiment,occurences,sentimentsSummary,sentimentEdges,score
Settings,"[0.5, 0.0, 0.0]",3,[0.   0.   0.25],0.25,0.8815376911692204
Thanks,"[0.2, 0.2, 0.2, 0.2]",4,[0.2 0.2 0.2],0.2,0.8197936372811127
app drawer,"[0.0, 0.2]",2,[0.05 0.1  0.15],0.15000000000000002,0.9226892851470587
bit,"[0.0, 0.5]",2,[0.125 0.25  0.375],0.375,0.6508794473304713
cache partition,"[0.0, 0.4]",2,[0.1 0.2 0.3],0.30000000000000004,0.8065005862770069
card,"[-0.042045454545454546, 0.13636363636363635, -0.16666666666666666, 0.0]",4,[-0.0732 -0.021   0.0341],-0.07320075757575757,0.803143550768946
custom ROM,"[-0.3020833333333333, 0.07777777777777778]",2,[-0.2071 -0.1122 -0.0172],-0.20711805555555557,0.6545671900921622
device,"[0.010714285714285716, 0.0, 0.25, -0.1875, 0.0, 0.0]",6,[0.    0.    0.008],0.008035714285714287,1.2708878608673295
different causes,"[-0.0625, 0.0]",2,[-0.0469 -0.0312 -0.0156],-0.046875,0.6355418881696687
ex file explorer,"[-0.125, -0.125]",2,[-0.125 -0.125 -0.125],-0.125,0.8432318477449663
factory reset,"[0.0, 0.0, 0.5, 0.0, 0.4, 0.1, 0.0]",7,[0.   0.   0.25],0.25,1.9939904647120827
fingerprint scanner,"[0.25, 0.75]",2,[0.375 0.5   0.625],0.625,0.7775746853923781
folding style case,"[-0.6000000000000001, -0.3]",2,[-0.525 -0.45  -0.375],-0.525,0.8042883580688418
front flash,"[0.09166666666666666, 0.0, 0.0]",3,[0.     0.     0.0458],0.04583333333333333,0.9129628718180152
important photos,"[0.2, 0.4]",2,[0.25 0.3  0.35],0.35000000000000003,0.6943043297357769
installing,"[0.75, 0.75, 0.75, 0.75]",4,[0.75 0.75 0.75],0.75,1.0201280874404588
king user,"[0.75, 0.75, 0.75, 0.75, 0.15]",5,[0.75 0.75 0.75],0.75,1.277207831667428
low light,"[0.08333333333333333, 0.3666666666666667]",2,[0.1542 0.225  0.2958],0.29583333333333334,0.7748298302733668
microphone,"[0.0, 0.225, 0.0]",3,[0.     0.     0.1125],0.1125,0.7094355525992546
mobile data,"[0.0, 0.0, 0.0, 0.5, 0.5, 0.2]",6,[0.    0.1   0.425],0.425,1.0247744358225301
much space,"[0.20000000000000004, 0.14]",2,[0.155 0.17  0.185],0.18500000000000003,0.8311402796220811
official system update,"[0.4, 0.4]",2,[0.4 0.4 0.4],0.4,1.001715729155854
one speaker,"[0.0, 0.0, 0.35714285714285715, 0.31785714285714284]",4,[0.     0.1589 0.3277],0.32767857142857143,1.0341433865480665
other options,"[0.342989417989418, -0.125]",2,[-0.008  0.109  0.226],0.22599206349206352,0.8259534846055421
power button,"[-0.15555555555555559, 0.0, 0.16666666666666666]",3,[-0.0778  0.      0.0833],0.08333333333333333,1.0119477213744235
recovery mode,"[0.0, 0.4]",2,[0.1 0.2 0.3],0.30000000000000004,0.7215248266174269
removing charger,"[0.0, -0.4]",2,[-0.3 -0.2 -0.1],-0.30000000000000004,0.8500404719720126
repair shop,"[0.6499999999999999, 0.0]",2,[0.1625 0.325  0.4875],0.48749999999999993,0.6888214862743294
right speaker,"[0.22857142857142856, 0.22857142857142856, 0.22857142857142856]",3,[0.2286 0.2286 0.2286],0.22857142857142856,1.321907379556799
safe mode,"[0.325, 0.45, 0.342989417989418]",3,[0.334  0.343  0.3965],0.396494708994709,1.0577634525910373
same thing,"[0.0, 0.05]",2,[0.0125 0.025  0.0375],0.037500000000000006,0.8729198869700509
sd card,"[0.0, 0.14, 0.0, 0.0]",4,[0.    0.    0.035],0.035,1.528536883615635
system update kraft 40>>>>>>it downloads,"[0.75, 0.75, 0.75, 0.75]",4,[0.75 0.75 0.75],0.75,2.0388342067459995
twrp recovery manager,"[0.010714285714285716, 0.010714285714285716, 0.0, -0.042045454545454546, -0.3020833333333333]",5,[-0.042   0.      0.0107],-0.042045454545454546,1.6367646410417367
