,sentiment,occurences,sentimentsSummary,sentimentEdges,score
01 security patch,"[0.25, 0.0, 0.0]",3,[0.    0.    0.125],0.125,1.4107559985710227
100 percent,"[0.0, 0.0, 0.24074074074074073]",3,[0.     0.     0.1204],0.12037037037037036,0.8410472334273166
100 percent brightness,"[0.075, -0.16666666666666666, 0.0]",3,[-0.0833  0.      0.0375],-0.08333333333333333,1.2717942040305414
128 GB option,"[0.0, 0.30476190476190473]",2,[0.0762 0.1524 0.2286],0.22857142857142854,0.8222411161395392
16 MP f/1.8 Primary camera,"[1.1102230246251566e-17, 1.1102230246251566e-17]",2,[0. 0. 0.],1.1102230246251566e-17,0.789240879500805
163 apps,"[0.4166666666666667, 0.4875]",2,[0.4344 0.4521 0.4698],0.46979166666666666,0.6103506053928607
2 K display,"[0.0, 0.0, 0.2028571428571429, -0.20833333333333334]",4,[-0.0521  0.      0.0507],-0.052083333333333336,0.7771129458439365
2 hrs,"[0.275, 0.0, -0.6999999999999998]",3,[-0.35    0.      0.1375],-0.3499999999999999,0.7598497650227735
2.0 charger,"[0.0, 0.4000000000000001, 0.0, 0.3333333333333333]",4,[0.     0.1667 0.35  ],0.35000000000000003,0.97026294270048
2800 mAh,"[-0.25, 0.0, 0.7, -0.4]",4,[-0.2875 -0.125   0.175 ],-0.2875,0.8790231153438345
2800 mAh battery,"[-0.050833333333333335, 0.0, 0.0, -0.35]",4,[-0.1256 -0.0254  0.    ],-0.125625,1.7312639936491507
2800 mah battery,"[0.06000000000000001, 0.0, 0.07142857142857142, 0.011904761904761904]",4,[0.0089 0.036  0.0629],0.06285714285714286,1.7312639936491507
2800mAh battery,"[0.025, 0.24166666666666667]",2,[0.0792 0.1333 0.1875],0.1875,0.6625813755464813
2800mah battery,"[0.3, 0.5, 0.11111111111111112]",3,[0.2056 0.3    0.4   ],0.4,1.0501666339174147
2nd full charge,"[0.25, 0.25]",2,[0.25 0.25 0.25],0.25,0.6268118596108575
3 apps,"[0.25, 0.0, 0.4875]",3,[0.125  0.25   0.3688],0.36875,0.9673828218401401
3 home screens,"[0.25, 0.05]",2,[0.1  0.15 0.2 ],0.2,0.660810976916444
3 pm,"[-0.0625, 0.0, 0.3333333333333333]",3,[-0.0312  0.      0.1667],0.16666666666666666,0.8341465432481804
3.0 car charger,"[0.0, 0.26666666666666666]",2,[0.0667 0.1333 0.2   ],0.2,0.864752050070385
3.0 charger,"[0.3333333333333333, 0.17083333333333334, 0.35, 0.35, 0.24166666666666667, 0.16666666666666666, 0.4166666666666667, 0.2]",8,[0.1927 0.2875 0.35  ],0.35,1.45539441405072
3.0 chargers,"[0.20833333333333331, 0.0, 0.0, -0.8, 0.1111111111111111, 0.25]",6,[0.     0.0556 0.184 ],0.1840277777777778,1.1952313183535017
3.0 compatibility,"[0.048333333333333325, 0.0, 0.17619047619047618, 0.17619047619047618]",4,[0.0362 0.1123 0.1762],0.17619047619047618,0.648207459702258
3000mAh battery,"[0.1875, -0.05454545454545454]",2,[0.006  0.0665 0.127 ],0.12698863636363636,0.6625813755464813
31st security update,"[0.25, 0.0]",2,[0.0625 0.125  0.1875],0.1875,0.953407771275869
32 GB,"[0.09999999999999999, 0.0, 0.25, 0.25]",4,[0.075 0.175 0.25 ],0.25,1.0821145751755532
32 bit,"[0.3, 0.0, 0.0, 0.6000000000000001, 0.0]",5,[0.  0.  0.3],0.3,1.5112952751413804
32 gb,"[0.06666666666666667, 0.0, 0.0, 0.16666666666666666, 0.275]",5,[0.     0.0667 0.1667],0.16666666666666666,1.2562961169936098
3rd party launcher,"[0.0, -0.03333333333333333, 0.0, 0.0, 0.1, 0.0, 0.03333333333333333, 0.0, 0.4, 0.0]",10,[0.    0.    0.025],0.025,2.4596252159968337
4 GB,"[0.1, 0.3536458333333333, 0.0, 0.5, 0.0]",5,[0.     0.1    0.3536],0.3536458333333333,1.2562961169936098
4 different phones,"[0.16666666666666666, 0.16666666666666666]",2,[0.1667 0.1667 0.1667],0.16666666666666666,0.7444073184368736
4 gigs,"[0.0, 0.2, 0.2, 0.6, 0.030000000000000006]",5,[0.03 0.2  0.2 ],0.2,0.8482962708306969
4 pm,"[0.0, 0.0, 0.35, -0.15555555555555559]",4,[-0.0389  0.      0.0875],0.0875,1.0525757459481149
4k content,"[0.5, 0.5, 0.0, 0.45, 0.0]",5,[0.   0.45 0.5 ],0.5,0.8655268820591983
4k speeds,"[0.17634920634920637, 0.17634920634920637, 0.17634920634920637]",3,[0.1763 0.1763 0.1763],0.17634920634920637,0.6540593736945717
4k video,"[0.0, 0.32222222222222224, 0.15146520146520145]",3,[0.0757 0.1515 0.2368],0.23684371184371183,0.864835293489991
4th button,"[0.0, 0.0, 0.2]",3,[0.  0.  0.1],0.1,1.0119477213744235
5.5 inches,"[0.0, 1.0, 0.0]",3,[0.  0.  0.5],0.5,0.7661862874988873
6 foot cable,"[0.0, 0.0, 0.05833333333333335]",3,[0.     0.     0.0292],0.029166666666666674,1.142587362682724
6 hrs,"[0.03645833333333334, 0.5, 0.75, 0.2833333333333333]",4,[0.2216 0.3917 0.5625],0.5625,0.9588236499942965
64 GB SD card,"[0.21428571428571427, 0.21428571428571427, 0.0]",3,[0.1071 0.2143 0.2143],0.21428571428571427,1.5752261410255577
64 gb,"[0.8, 0.0, 0.1, 0.0]",4,[0.    0.05  0.275],0.275,1.0821145751755532
6hrs 19 mins,"[0.325, 0.0, 0.307220458984375]",3,[0.1536 0.3072 0.3161],0.3161102294921875,0.6514714872669906
7 am,"[-0.1875, 0.0, -0.09375]",3,[-0.1406 -0.0938 -0.0469],-0.140625,1.0797007413238136
7 update,"[0.0, -0.125, 0.0, 0.0]",4,[-0.0312  0.      0.    ],-0.03125,1.2859881401163973
7.0 update,"[0.0, 0.0, 0.0, -0.21, -0.475, -0.475, 0.0, 0.0, 0.7, 0.0, 0.0, 0.0]",12,[-0.0525  0.      0.    ],-0.0525,2.305109629344714
8 am,"[0.3333333333333333, 0.05000000000000002, 0.0]",3,[0.025  0.05   0.1917],0.19166666666666665,1.0797007413238136
8 hrs,"[-0.25, 0.5, 0.0, 0.05]",4,[-0.0625  0.025   0.1625],0.1625,0.9588236499942965
820 processor,"[0.5666666666666667, -0.3499999999999999, 0.25, 0.25, 0.0, 0.15146520146520145, -0.1]",7,[-0.05    0.1515  0.25  ],0.25,1.1704220670672425
9 hrs,"[0.390625, 0.0, 0.0, 0.0, 0.09965277777777776]",5,[0.     0.     0.0997],0.09965277777777776,1.113159785482102
970 mA,"[0.25, 0.25, 0.25, 0.125, 0.25]",5,[0.25 0.25 0.25],0.25,0.8435174731641362
Adoptable Storage,"[0.0, 0.0, 0.35]",3,[0.    0.    0.175],0.175,1.1505985345343501
Anyone having,"[0.07142857142857142, 0.0, 0.0]",3,[0.     0.     0.0357],0.03571428571428571,1.331233490607826
Anyone using,"[0.0, 0.05]",2,[0.0125 0.025  0.0375],0.037500000000000006,0.8006103340384453
Apps,"[0.0, 0.4, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0]",8,[0.  0.  0.1],0.1,1.8310518161785818
Back buttons,"[0.11041666666666666, 0.0, 0.17857142857142858]",3,[0.0552 0.1104 0.1445],0.1444940476190476,1.309302300515866
Battery life,"[0.0, 0.20833333333333331, 0.0625, 0.0, 0.3444444444444444, 0.0625, -0.2, 0.5, 0.4166666666666667, 0.7, 0.7, 0.5, 0.0, 0.875, 0.5, 0.5, -0.13333333333333336, 0.5, 0.5, 0.0, -0.22499999999999992, -0.22499999999999992, 0.1595238095238095, 0.5, 0.0, 0.08750000000000001, 0.0, 0.2711538461538462, 0.0, 0.45, -0.6, -0.4666666666666666]",32,[0.     0.1235 0.5   ],0.5,3.3129068777324067
Big enough screen,"[0.06666666666666667, 0.0]",2,[0.0167 0.0333 0.05  ],0.05,0.8657720603095727
Bluetooth headphones,"[0.6, 0.3333333333333333, 0.0, 0.0]",4,[0.     0.1667 0.4   ],0.4,1.6602283668994187
Bluetooth speaker,"[0.0, 0.625, 0.20000000000000004]",3,[0.1    0.2    0.4125],0.41250000000000003,1.2237541595009884
Bluetooth texting,"[0.05, 0.1181818181818182]",2,[0.067  0.0841 0.1011],0.10113636363636365,0.7342857049583218
Bottom line,"[0.0, 0.5333333333333333, 0.0, 0.0, 0.0, 0.48333333333333334]",6,[0.     0.     0.3625],0.3625,1.865587752942577
Buy,"[0.5, 1.0, 1.0, 1.0, 1.0, 0.4166666666666667, 0.5, 0.1767857142857143, -0.5]",9,[0.4167 0.5    1.    ],1.0,1.9910100085804374
CPU foreground,"[0.1, 0.25, 0.0, -0.16666666666666666, -0.16666666666666666]",5,[-0.1667  0.      0.1   ],-0.16666666666666666,1.458443390500227
Cheers,"[0.1, 0.35, 0.0, 0.0, 0.43333333333333335, -0.35, 0.0]",7,[0.    0.    0.225],0.22499999999999998,1.4073115651459773
Clear case,"[-0.049999999999999996, -0.049999999999999996]",2,[-0.05 -0.05 -0.05],-0.049999999999999996,0.9619672624300294
Conspiracy theory,"[0.0, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857]",6,[0.2857 0.2857 0.2857],0.2857142857142857,1.2192708585072778
Did someone,"[0.0, 0.5, 0.0]",3,[0.   0.   0.25],0.25,0.9442107873647175
Expandable storage,"[0.06666666666666667, 0.0]",2,[0.0167 0.0333 0.05  ],0.05,0.6869791339465586
Factory reset,"[0.0, 0.0, 0.0, -0.1277777777777778, 0.0, -0.15000000000000002]",6,[-0.0958  0.      0.    ],-0.09583333333333335,1.8360309690726462
Fast Charging,"[0.2, 0.2, 0.1, 0.2, 0.2, 0.17777777777777778, 0.12000000000000002, 0.2]",8,[0.1633 0.2    0.2   ],0.2,2.3239740054061766
Fast charging,"[0.2, 0.2, 0.3458333333333333, 0.12000000000000002]",4,[0.18   0.2    0.2365],0.23645833333333335,1.5493160036041178
First impressions,"[0.25, 0.25, 0.5083333333333333]",3,[0.25   0.25   0.3792],0.37916666666666665,0.6935613103369657
Folks,"[0.0, 0.0, 0.0, -0.15555555555555559]",4,[-0.0389  0.      0.    ],-0.038888888888888896,0.9108280268324281
Form factor,"[0.8, 0.2]",2,[0.35 0.5  0.65],0.6500000000000001,0.7409002857555613
G line,"[0.2, 0.3, 0.3, 0.0, 0.0]",5,[0.  0.2 0.3],0.3,0.939414509058351
G series,"[0.0, 0.0, 0.1, 0.0, 0.06818181818181818, -0.03472222222222222, -0.125]",7,[-0.0174  0.      0.0341],0.03409090909090909,0.8682282765393307
G2,"[0.0, 0.0, 0.29464285714285715, 0.35, 0.0, 0.0, 0.0, 0.5, 0.7, 0.0, 0.25, 0.0, 0.7, 0.0, 0.0]",15,[0.     0.     0.3223],0.32232142857142854,2.133569581722719
GPS,"[0.0, 0.0, -0.2, -0.125, 0.0, -0.25, 0.2, 0.8, 0.0, 0.0, -0.125, 0.0, 0.05]",13,[-0.125  0.     0.   ],-0.125,1.779349029713922
Good job,"[0.3916666666666666, 0.27777777777777773, 0.24999999999999997, 0.35]",4,[0.2708 0.3139 0.3604],0.3604166666666666,1.5272113864035701
Good lord,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.6069317764432725
Good luck,"[0.6875, 0.875, 0.35, 0.875, 0.7, 0.875, 0.19166666666666665, 0.7, 0.7, 0.7, 0.7, 0.875, 0.7, 0.7, 0.375, 0.875, 0.875, 0.875, 0.7, 0.7, 0.875, 0.875, 0.35, 0.62, 0.4375, 0.06666666666666671, 0.7, 0.18125, 0.875, 0.7]",30,[0.6369 0.7    0.875 ],0.875,3.940133994575521
Good point,"[0.7, 0.7, 0.7]",3,[0.7 0.7 0.7],0.7,1.1216250039208415
Good question,"[0.7, 0.7, 0.875]",3,[0.7    0.7    0.7875],0.7875,1.1912686404567518
Good review,"[0.7, 0.4666666666666666, 0.7, 0.7]",4,[0.6417 0.7    0.7   ],0.7,1.4375544245527547
Good thing,"[0.35, 0.7, 0.7]",3,[0.525 0.7   0.7  ],0.7,1.2012613476737715
Great camera,"[0.8, 0.8, 0.6375]",3,[0.7188 0.8    0.8   ],0.8,0.7742616911663012
Great cameras,"[0.20833333333333334, 0.20833333333333334]",2,[0.2083 0.2083 0.2083],0.20833333333333334,0.6943202421553136
Great case,"[0.8, 0.5]",2,[0.575 0.65  0.725],0.7250000000000001,0.9039094500859796
Great device,"[0.8, 0.8]",2,[0.8 0.8 0.8],0.8,0.7743030789605843
Great idea,"[0.9, 0.4]",2,[0.525 0.65  0.775],0.775,0.822645464096583
Great news,"[0.6083333333333334, 1.0, 0.35000000000000003]",3,[0.4792 0.6083 0.8042],0.8041666666666667,1.1783239770761809
Great size,"[0.8, 0.8]",2,[0.8 0.8 0.8],0.8,0.6791877288741254
HD video,"[0.0, 0.0, 0.1]",3,[0.   0.   0.05],0.05,0.864835293489991
HUGE difference,"[0.4000000000000001, 0.30000000000000004]",2,[0.325 0.35  0.375],0.37500000000000006,0.8720151885588343
