,sentiment,occurences,sentimentsSummary,sentimentEdges,score
2nd generation,"[0.1388888888888889, 0.35, 0.0, 0.18141233766233766, 0.0, 0.25, 0.0]",7,[0.     0.1389 0.2157],0.21570616883116883,1.2832802089715223
3rd gen,"[0.175, 0.0, -0.2]",3,[-0.1     0.      0.0875],-0.1,0.6032840751922894
3rd party apps,"[0.0, -0.0625]",2,[-0.0469 -0.0312 -0.0156],-0.046875,0.7750514100933567
5 GHz band,"[0.0, -0.07777777777777779]",2,[-0.0583 -0.0389 -0.0194],-0.05833333333333335,0.6597426803238706
5.1 update,"[0.5, 0.2, -0.19999999999999998, 0.0, 0.39999999999999997, 0.0, -0.25, 0.3166666666666667, 0.0]",9,[0.     0.     0.3167],0.3166666666666667,2.038242978456634
Buy,"[0.4166666666666667, 1.0, 0.35714285714285715, 1.0]",4,[0.4018 0.7083 1.    ],1.0,1.2561874540719606
Counterfeit cards,"[0.25, 0.25]",2,[0.25 0.25 0.25],0.25,0.64744347203142
Good luck,"[0.7, 0.7, 0.7, 0.875]",4,[0.7    0.7    0.7437],0.7437499999999999,1.605959585934845
Internal storage,"[0.3333333333333333, 0.19642857142857142]",2,[0.2307 0.2649 0.2991],0.29910714285714285,0.6688702420913953
Many thanks,"[0.35, 0.375]",2,[0.3562 0.3625 0.3688],0.36875,0.7738948108863504
Mobile,"[0.5, 0.0, 0.0]",3,[0.   0.   0.25],0.25,0.6283375685423909
Mobile bookmarks,"[0.0, 0.13636363636363635]",2,[0.0341 0.0682 0.1023],0.10227272727272727,0.6300963282583084
OS,"[-0.125, 0.0, 0.2333333333333333]",3,[-0.0625  0.      0.1167],0.11666666666666665,0.9624225974326619
OTA update,"[0.31666666666666665, 0.25]",2,[0.2667 0.2833 0.3   ],0.3,0.9180003530840322
PIN,"[-0.5, 0.0, 0.0]",3,[-0.25  0.    0.  ],-0.25,0.890621071384282
Play Store app,"[0.0, 0.05]",2,[0.0125 0.025  0.0375],0.037500000000000006,0.8709372656703592
Play store,"[0.0, 0.17222222222222222, 0.0, 0.0]",4,[0.     0.     0.0431],0.043055555555555555,0.7705700939940124
Power button,"[-0.05, -0.09333333333333335, -0.09333333333333335, -0.09333333333333335, 0.0, 0.0]",6,[-0.0933 -0.0717 -0.0125],-0.09333333333333335,1.6504156478483862
SD card,"[0.0, -0.041666666666666664, 0.20476190476190478, 1.0]",4,[-0.0104  0.1024  0.4036],0.4035714285714286,1.528536883615635
SIM card,"[0.0, 0.0, 0.38333333333333336]",3,[0.     0.     0.1917],0.19166666666666668,0.6364762053324088
Straight talk,"[0.4666666666666666, 0.11212121212121212]",2,[0.2008 0.2894 0.378 ],0.378030303030303,0.868572835796705
Thanks,"[0.19259259259259257, 0.05, 0.2, -0.1, -0.024999999999999994, 0.35, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.053968253968253964, 0.2, 0.2, 0.2, 0.2, 0.2]",19,[0.1963 0.2    0.2   ],0.2,1.7412119735762146
URL address,"[0.0, 0.3416666666666667]",2,[0.0854 0.1708 0.2562],0.25625,0.6281285824470367
USB charging,"[0.0, 0.0, -0.132010582010582]",3,[-0.066  0.     0.   ],-0.066005291005291,1.1166315224126364
USB port,"[0.1, 0.1, 0.0]",3,[0.05 0.1  0.1 ],0.1,1.0411269017352072
Volume Down button,"[-0.09333333333333335, -0.09333333333333335]",2,[-0.0933 -0.0933 -0.0933],-0.09333333333333335,1.0221381931015299
XT1562 using Tapatalk,"[0.2, 0.0]",2,[0.05 0.1  0.15],0.15000000000000002,0.6098021057464592
anything,"[0.0, -0.031249999999999972, 0.0]",3,[-0.0156  0.      0.    ],-0.015624999999999986,1.0086334476920757
app data,"[0.10000000000000002, 0.10000000000000002]",2,[0.1 0.1 0.1],0.10000000000000002,0.7061292862153775
apps,"[0.2, 0.5, 0.041666666666666664, 0.15, 0.0, 0.0, 0.0]",7,[0.     0.0417 0.175 ],0.175,1.7134707762304857
authentication page,"[0.22916666666666669, 0.0, 0.0]",3,[0.     0.     0.1146],0.11458333333333334,1.0865608794474846
